Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,2998
low confidence hdp.4,2811
low confidence hdp.5,1395
low confidence hdp.6,1382
low confidence hdp.7,1180
low confidence hdp.8,992
low confidence hdp.9,833
low confidence hdp.10,800
low confidence hdp.11,800
low confidence hdp.12,797
low confidence hdp.13,601
low confidence hdp.14,599
low confidence hdp.15,200
low confidence hdp.16,19
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
