Type,Subtype,Indel_size,Repeat_MH_size,hdp.0,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13
DEL,C,1,0,0.0111851578557447,0.00484381153146862,0.00037389172303187,0.02245508263875,0.040919908074431,0.125204823735397,0.0305487539488326,0.334411730906057,0.0134542442738013,0.0643886305455517,0.0068864847234115,0.00160053424202949,0.0482373127168142,0.0229146725840291
DEL,C,1,1,0.0100650671897148,0.000121629882739895,0.000617506101946218,0.0284763115983235,0.0245005748391939,0.207565728520032,0.00556066402050262,0.0998667996876988,0.00219145251602445,0.0174665023062979,0.00239405533947725,0.000276773737318009,0.0136666536265664,0.0267523717285479
DEL,C,1,2,0.00901313532189403,9.37384246468842e-05,1.32296523091847e-05,0.0263715205723784,0.00327130486835246,0.174701864331857,0.00811254488092436,0.00182306819155475,0.000574248700204951,0.00546284049316446,0.0019242143162432,0.000109920843045485,0.00271441488615307,0.0230989274536995
DEL,C,1,3,0.00914657129352952,0.00248566848278575,0.00191107228696908,0.0140634852989484,0.00544129326817986,0.063672828724486,0.00105327502051013,0.0108093655970673,0.000509228570446202,0.00562664889303235,0.00129153641078409,0.000409254361172088,0.00344111412379708,0.016644514243844
DEL,C,1,4,0.00772664959268504,0.00379664858575141,0.000777149632839096,0.00276900349238209,0.0012717728433243,0.0437988975889109,0.0024944821721728,0.0129033634792312,0.0022637311399847,0.00437031281148699,0.00104760460648574,0.000342524602335715,0.00325216248031901,0.00311633275300664
DEL,C,1,5+,0.008825985658824,0.0143017604502602,0.00386912117152579,0.00256183244280051,0.000869808399190991,0.022199602269811,0.00134145595392236,0.000280134199680512,0.00228274055166276,0.000930225870772101,0.00236189761070673,0.000650499920466546,0.0289186350448935,0.00194590920845043
DEL,T,1,0,0.0115401355142341,0.00797965503069523,0.00159298437079361,0.10250323155664,0.0347705118636032,0.0377518553088939,0.00409052330282194,0.105635759128576,0.0202261055909666,0.0532634951238609,0.00583132220421182,0.00122096176075641,0.040059196270785,0.0241344528136141
DEL,T,1,1,0.00996575232763946,0.000267818214737396,1.03341032414489e-05,0.106728557701061,0.0105606979451322,0.0136069350380242,0.000423082118415314,0.0445189090343382,0.000789661441400825,0.495861854999435,0.00133139453546781,0.000140664098448637,0.00393390459388731,0.00126515227689608
DEL,T,1,2,0.0114080057383135,0.0071897154399518,0.00116701100509804,0.1153836353113,0.00909642089679161,0.0167875094588961,0.0115396037499232,0.0863693889019306,0.012012104443799,0.0241225265365072,0.00168413303236503,0.000774721933090023,0.00924127651721255,0.00361882601571941
DEL,T,1,3,0.0112977495743759,0.0200213021539842,0.00316663657708159,0.0899293117718672,0.0101577800899789,0.0203033325587567,0.0220770218527985,0.113322003593265,0.0189850406977473,0.0624877921853348,0.000916251099707837,0.00102476072082427,0.0194343072126753,0.00394259374552773
DEL,T,1,4,0.0112339289569313,0.0460859907288467,0.00642813897019614,0.0528512156164793,0.00156929810098203,0.0159645459406083,0.0175510438498285,0.094293242630066,0.0143503970269863,0.022741417838678,0.00133370710554963,0.00209390499313902,0.0385459677306988,0.00510811391231008
DEL,T,1,5+,0.0125025111721613,0.792319280622109,0.0395740259676994,0.0310795826005539,0.00996297465209157,0.00789270372439412,0.00720573871687729,0.00141509845520794,0.0442420803821211,0.00568942673562988,0.00324869062571874,0.00420739927388829,0.00678724512357111,0.00386178951673242
INS,C,1,0,0.00892387859067785,7.67493060707085e-06,4.44381857937492e-06,0.000177100733519305,0.00263766144318808,0.00241245706331955,0.00208877872417406,3.16217396521216e-05,0.506798412493888,0.00314327245208173,8.68968142953144e-05,0.000108825036459494,0.000122535445123009,0.000369686483313639
INS,C,1,1,0.00972723556408357,0.000202599179518108,1.84340973467764e-05,0.000906471956386407,0.00187623434140775,0.00188859384655981,0.00180976557841561,2.73968478187752e-05,0.0143890970556135,0.00210555099150923,0.00013260741399908,0.167012275636926,0.000185189199723859,0.00056032074487462
INS,C,1,2,0.00611206299951141,2.79453125516734e-05,4.99389270261174e-06,0.00322998724216418,0.00085106181054995,0.0018135140865743,0.000121108639944133,2.93166011895543e-05,0.000626018845673941,0.00104741131510205,5.25894996600165e-05,0.0955273477886019,0.000905823510846316,0.000618607591085227
INS,C,1,3,0.0145681342920513,0.000419317012789044,0.000700153320490455,0.000156950678004923,1.07255282242578e-05,0.00671676784907111,2.62372436836304e-05,1.30884698924343e-05,0.00189556360693484,0.000387052310717542,0.000264654719233661,0.0382152856547223,0.000133180866812151,0.00108740398318471
INS,C,1,4,0.00721458252472563,0.00285924721222822,0.00181767235145937,4.83519960910793e-05,0.000103707478933672,0.00745385743826844,0.000381498540275569,4.48022252387085e-05,0.00152671509657319,0.000113171653839168,9.4218109702924e-05,0.0121562092744513,0.00509333301455814,0.000810198121338514
