Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.998),hdp.2 (ID8 0.999),hdp.3 (ID5 0.975),hdp.4 (ID6 1),hdp.5 (ID3 0.974),hdp.6 (ID1 1),hdp.7 (ID4 0.998),hdp.8 (False Positive) (ID3 0.967),hdp.9 (ID11 0.999),hdp.10 (ID13 0.999),hdp.11 (ID9 0.997),hdp.12 (ID14 0.915),hdp.13 (ID12 0.993),hdp.14 (ID10 0.987),hdp.15 (False Positive) (ID5 0.973)
DEL,C,1,0,0.00454465495108351,0.0387444675218226,0.0198139563204683,0.0298361905091235,0.139272405219131,0.000256337431699684,0.00831017051581266,0.103562398335734,0.00281097827160522,0.0509899082725261,0.323131368229266,0.0127772534627819,0.0486688601709808,0.0102865037595853,0.0196927356311246
DEL,C,1,1,0.000113133081689505,0.0220375834608431,0.0264597941805903,0.00563667127594594,0.142734313568998,0.000722914920530803,0.00229444339072104,0.303711623686587,0.00123191643489967,0.0145018061812883,0.0949052730162825,0.00169594637796978,0.0116017916041017,0.0232160978834007,0.0282880562702462
DEL,C,1,2,2.67155144955585e-06,0.00290862959091583,0.0277970609325756,0.00783341988061567,0.202099652937027,9.01432701208775e-06,0.00145900249824563,0.157088404571221,0.000197298285771761,0.0063421464244885,0.00263457947817183,0.000975994905707131,0.00194602767130587,0.0174605777784404,0.0261468906528143
DEL,C,1,3,0.0024076969351942,0.00579981032947478,0.0132091542454946,0.000919229845588886,0.0647520895393147,0.00169240607917008,0.00124689853704098,0.0539664688938936,0.000403904156643655,0.00565295955923661,0.00934888716555891,0.000717954211200493,0.00574082415211224,0.00745516079495475,0.015696643206476
DEL,C,1,4,0.00330322946988206,0.00102912601608391,0.00226779963285637,0.0029342234767025,0.046582365975601,0.000784665721075452,0.00169861785190778,0.0379593636098348,0.000237481032198677,0.00327296038655776,0.0113372773773847,0.00270285127630552,0.00309604799670712,0.00405329516596345,0.00274477829483507
DEL,C,1,5+,0.0136176553078179,0.000640929962872146,0.00206901609891304,0.00168569152445702,0.0240612890634984,0.00333673638869621,0.0024182952085422,0.0217456406584433,0.000772066686095,0.001378952141939,0.00113552527827479,0.00523218540278248,0.0345116654196194,0.00646738131091,0.00245749758893156
DEL,T,1,0,0.0070938301579172,0.0357972036216242,0.0699403578763171,0.0039701829300418,0.0428306284793347,0.0010415865421202,0.00427794850792991,0.0298413405661343,0.000672773268165225,0.0483706299292885,0.0970203956451452,0.0237196897631295,0.0251114186078623,0.0336135255617014,0.147536840666962
DEL,T,1,1,3.39830646847746e-06,0.00948842544033196,0.110405351494692,0.000276464316858633,0.0104658262422997,8.81623106964161e-06,0.000818062319943048,0.0139165893086552,0.00103413025152185,0.530739381698806,0.044898056297675,0.000573404140178162,0.00397493411833141,0.00116410478135763,0.09559202703061
DEL,T,1,2,0.00579351077559841,0.0086708028344989,0.157610311982824,0.0119941911947056,0.0114354105366269,0.000773345403432365,0.000973155126912559,0.0182433906716028,0.000715545624962743,0.0214903563052038,0.0790469529704474,0.0122431967242093,0.0206907018208745,0.00280748835845522,0.0896044909539999
DEL,T,1,3,0.0161397981349678,0.00850014126223345,0.0810444294324326,0.0215005934368313,0.0149319630757041,0.00278293578190552,0.00118825849268485,0.0160182638247872,0.00157056741428218,0.0593042641676748,0.117312765198433,0.0226297966296396,0.0163985553734593,0.00745953413942023,0.0811113849471006
DEL,T,1,4,0.035865488092665,0.0014047365987065,0.0548426599546201,0.0176734002094549,0.0122405333652225,0.00403950899072955,0.0012320138514525,0.016614401143642,0.00124784191316911,0.0169401767079711,0.0887306756300923,0.0206510815630603,0.0387486882037061,0.00949751266033526,0.0495161988472953
DEL,T,1,5+,0.785119902851203,0.00876088705212803,0.0289703847514496,0.00403575312180886,0.00747720078524402,0.00199272273335438,0.00584358152361394,0.00711626096299381,0.00655897015073722,0.0084168600416597,0.00197797094985279,0.0688508061475533,0.00562470109135576,0.0030508053414439,0.0227020180664194
INS,C,1,0,2.66748162144989e-06,0.0029818684041887,0.000321276769809842,0.00219098016297454,0.00280454089258393,7.91870900030637e-06,0.000191782152729501,0.00175888390277633,0.000320461155813166,0.00202103703598304,6.28309298268889e-05,0.57518461010081,0.00133788919200461,0.000407118612059497,0.000539479073408471
INS,C,1,1,0.000214295054707333,0.00201887108383364,0.00147016852736951,0.00160042497044694,0.00215020474893638,2.31073467622282e-05,8.43428070930818e-05,0.000776974700554838,0.166423787485314,0.00163921800740558,0.000245141042947625,0.0165964242179235,0.00252215886222285,0.00199563659495376,0.00106276729516389
INS,C,1,2,6.50649233340142e-06,0.00132817029815338,0.00281230324553514,0.000266035160185908,0.00101048162632957,1.51136305604131e-05,0.000116156716215033,0.00265093143300135,0.0939501760215716,0.00168751536224621,0.000713771313241456,0.00120525873674678,0.00399642693516916,0.00118120058244997,0.00314312715453078
INS,C,1,3,0.000481124613414441,0.000135192808003086,0.000541907663985584,0.00021334971508804,0.00635959016419504,0.000896742507309306,0.000429645045295952,0.00628034519136461,0.0382862509015941,0.000177755474232836,0.000164367903335274,0.00172253576503536,0.00139030692515567,0.00275143003394312,0.000393134197693798
INS,C,1,4,0.00244118057382997,0.000737650403852716,0.000215364762554647,0.000410979522816945,0.00658693445313898,0.00178933076961197,9.90252856320613e-05,0.0057561541229028,0.0106058180788707,0.000153654997765452,0.000216198648578153,0.00208674379246507,0.00404150000069581,0.00269179351850471,0.000250347836357168
INS,C,1,5+,0.0101963938460148,0.00103583553961622,0.000318674072549864,0.00039456502690991,0.00912914393962907,0.0222061967804713,0.000382755477260986,0.00669861185936974,0.00181083821997189,0.0010670630558793,0.00062625117244706,0.00130932011412812,0.0160737664398788,0.0115281360110129,0.000474464264105317
INS,T,1,0,0.00140247962603061,0.00423231494079342,0.00512664099499861,0.00706445613370696,0.0220631368693102,0.00220593358853531,0.00153084216944439,0.0179668489744974,0.000838971209099716,0.0381409802487052,0.0123405763705014,0.0375813065277529,0.00576278084269469,0.00777540888285897,0.00588123420682464
INS,T,1,1,8.55070885062414e-06,0.0051018511212334,0.0127284988232479,0.00123175596043991,0.0512801866181669,3.40455764386553e-05,0.00118451766226902,0.0381223037335896,0.296257694004508,0.00481855286298284,0.00917825359691928,0.00271029684815629,0.00258284901048772,0.035004249101725,0.0144538508503515
INS,T,1,2,0.000551472755034008,0.00120074390001137,0.0318983471842118,0.000317723909449244,0.0398861052487251,0.000236641950975315,0.0004309706248427,0.0325038483040041,0.161684650384773,0.00369543209884041,0.00216910278776628,0.00272347605380453,0.00209956988080146,0.0016616721084987,0.0291873107368621
INS,T,1,3,0.00142530729187695,0.000798019069089783,0.0177774323211431,0.00092031433328449,0.0254448932223371,0.00382623082139342,0.000875994639625922,0.0223732677061793,0.114135625901633,0.00790766517485681,0.00171887531589949,0.000713389043058421,0.00140770219058191,0.00328517684711682,0.0197538757288507
INS,T,1,4,0.00438848692559756,0.00146298296800918,0.0107733175490055,0.00145121753832675,0.00824098174561981,0.0156246103892758,0.000920884604615794,0.00658275193784135,0.055174138474473,0.014943577555126,0.00139110218098432,0.00492313982373614,0.0025380851941242,0.00121976552910013,0.0116191040853015
INS,T,1,5+,0.0539725597374922,0.0178163470752927,0.00197802517283799,0.0120019556101834,0.0305108829938466,0.895948642628107,0.00646409878991663,0.0154826901971451,0.0116573875422602,0.00923365410971109,0.0309692956009602,0.0313185480037077,0.00957644152245219,0.0162165600663953,0.00175516918273676
DEL,repeats,2,0,0.000207772283061508,0.00828977656176907,0.0285722013144624,0.00146303845420883,0.00734289580976648,0.000580933340033891,0.0690855550158874,0.00695905450069841,0.000262989319858853,0.0216324141536931,0.013062783509944,0.000887150755466035,0.00362169426174262,0.00124898742166495,0.0293378724391558
DEL,repeats,2,1,0.00277924200825966,0.00919852322500633,0.0242622516270975,0.0026343884500036,0.0102326352436772,0.00158193521635314,0.220114326068394,0.00623509346407034,0.00152115214392529,0.00524193075318067,0.00389970859096075,0.00695915046786044,0.00481137579231568,0.0147383696370621,0.027250006783985
DEL,repeats,2,2,0.00159601913880156,0.000705255133220616,0.00480247133955668,0.00212770288804961,0.0114735348093683,0.000535870680194146,0.0500067919101183,0.0129049704160627,0.0010664691056668,0.00291683246589452,0.00105459860911525,0.00447940819768874,0.00108082582515021,0.00529254195677347,0.00390760386099588
DEL,repeats,2,3,0.000723346828584879,0.000165712957729308,0.0002615766984334,0.000439189113470454,0.00749725571916695,0.000419229994237722,0.0115009865232596,0.00692301780269794,8.49692446237906e-05,0.000151081066878735,7.90718662515648e-05,0.000495429437894379,0.00082925163094143,0.00129391359662855,0.000195987835945593
DEL,repeats,2,4,0.000767043410150552,0.000232295091786308,0.00089950072123283,0.000255368449065574,0.00301911217421407,9.64137439495689e-05,0.0031532616648641,0.00211579978771043,0.000189704597390336,9.17071330536888e-05,0.000386637193198379,0.000279956218950573,0.0102144998582866,0.00126767352983565,0.000805307613611273
DEL,repeats,2,5+,2.54887520236188e-06,0.000653200072218066,0.0211857577382576,8.58733506969109e-05,0.000597046009418063,6.71987595055144e-06,0.00231250722047673,0.000223679396997545,0.00470636038956998,0.000797986056216251,9.95327905004348e-05,0.000154943980631513,0.239157994933571,0.000564360224432086,0.0224401497665441
DEL,repeats,3,0,1.87967918093886e-05,0.0103593628474852,0.0183050667663607,0.00113666704644393,0.0012645277240664,0.00011362052419311,0.00473665519972956,0.000547482932912056,0.000778947293359883,0.00468561463478875,0.00286321816951982,0.00140082727911876,0.00589900509905483,0.0045258151566204,0.0169557948799743
DEL,repeats,3,1,0.00509827773816549,0.00164489697036528,0.00536902251994939,0.00520522850315837,0.000512063385682582,0.00451126261755197,0.0978676390399263,0.000444095390059899,0.000809647311956287,0.00143706321079716,0.00461702353212931,0.00547382681768352,0.00185394873298299,0.0286338765225948,0.00625083244744122
