Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 1),hdp.2 (ID11 0.991),hdp.3 (ID1 1),hdp.4 (ID4 0.999),hdp.5 (ID9 1),hdp.6 (ID8 1),hdp.7 (ID3 1),hdp.8 (ID6 1),hdp.9 (ID14 0.999),hdp.10 (ID5 1),hdp.11 (ID13 1),hdp.12 (False Positive) (ID1 0.814)
DEL,C,1,0,0.00474077609118599,0.0103048345575266,0.000429764403374882,0.00747045682111229,0.33634260662228,0.0410693729410121,0.123938689930492,0.0313355116953685,0.0121960645069648,0.0224622994819096,0.0639357444041318,0.00240721017710256
DEL,C,1,1,3.77047962317459e-05,0.00793843330397436,0.000900025040277619,0.00285170945669383,0.10069309783044,0.0243767165968757,0.206039381846974,0.00563450547472476,0.00200992002354871,0.0283229030291431,0.0173651554516885,0.00063534338175912
DEL,C,1,2,4.88787184278897e-07,0.00629117447158736,5.32390598196578e-05,0.00211143803504109,0.00253575858476223,0.00313198709038301,0.173864202927439,0.00802260251574401,0.000665819828099975,0.0263748492852005,0.00523409687743378,0.000116449942466806
DEL,C,1,3,0.00245853668068076,0.00331923305816428,0.00197476370207068,0.00115586088348851,0.0109184951949363,0.0054058571160717,0.0631578564871048,0.00117891405772029,0.000475692698816705,0.0140056070409581,0.00551809576434405,0.00224981456436584
DEL,C,1,4,0.00380033420744888,0.00177682583145617,0.000772746157782605,0.00101326679382898,0.0130422838276455,0.00107742244174348,0.0433719764972989,0.00251197258412612,0.00207539286352564,0.00278988487260374,0.00444178337595431,0.00211360288347645
DEL,C,1,5+,0.0144186129764312,0.00173434869065581,0.00365568258789546,0.00231746631686762,0.000306477609707259,0.000988306504687601,0.0221067459931132,0.0012324209653959,0.00232791233322008,0.0024618319540848,0.00101506423568963,0.00832035991111491
DEL,T,1,0,0.00779002742525231,0.0144299873717101,0.00172341054673183,0.0067830783425773,0.10550095211597,0.0348706779176173,0.0379702668848956,0.00434158496445099,0.0187025604085557,0.10186650722139,0.0533047676185688,0.00465932445849566
DEL,T,1,1,6.50295765657887e-07,0.0121555721765925,7.96099297249021e-05,0.00201401046889644,0.0442783413338112,0.0107692609508716,0.0139641117616383,0.000479291651423234,0.000902977547314395,0.106628940187244,0.494707186228209,0.000304081713284716
DEL,T,1,2,0.00691413080540886,0.0138756229210194,0.0013552714078306,0.00263156394351114,0.0861285915250482,0.00950616143517174,0.017160801432304,0.0115588954607181,0.0110146847740278,0.114544948811026,0.0239882670069943,0.00393392667180944
DEL,T,1,3,0.01994104585637,0.0111338550026261,0.00280307261514224,0.00138216742642887,0.113532795275562,0.0103138150333741,0.0206793315841259,0.0222410751026473,0.017440142348418,0.0893367067993633,0.062188535922664,0.0104003003374574
DEL,T,1,4,0.0464209145018413,0.00803917001802453,0.00511722372045425,0.00156260373849275,0.0947261872165078,0.00148755046203652,0.0162017596473438,0.0178330531199968,0.0134569749151987,0.0526552441711694,0.0227378609534384,0.023169285936513
DEL,T,1,5+,0.801445677758206,0.0100553627416304,0.0140103222548519,0.00287658335772014,0.00203699610706219,0.0100648082350569,0.00844284968811447,0.0076869942363153,0.0378668045774268,0.0308988139611479,0.00615954152615861,0.357655139061957
