"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.98244534632615,0.988304450737894,0.989329784954132,0.989349595393518,0.989427870084903
"falseNeg",2,3,3,3,3
"falsePos",5,7,7,7,7
"truePos",8,8,8,8,9
"TPR",0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.818181818181818
"PPV",0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.642857142857143
