"","mean","stdev"
"averCosSim",0.987771409499319,0.00301306108189895
"falseNeg",2.8,0.447213595499958
"falsePos",6.6,0.894427190999916
"truePos",8.2,0.447213595499958
"TPR",0.745454545454545,0.0406557814090871
"PPV",0.555238095238095,0.0489805366499954
