Type,Subtype,Indel_size,Repeat_MH_size,hdp.0 (False Positive) (ID1 0.75),hdp.1 (ID2 1),hdp.2 (ID1 1),hdp.3 (ID5 0.974),hdp.4 (ID8 0.998),hdp.5 (ID3 0.993),hdp.6 (ID9 0.999),hdp.7 (ID6 0.986),hdp.8 (ID13 0.997),hdp.9 (ID14 0.921),hdp.10 (ID4 0.995),hdp.11 (False Positive) (ID5 0.517),hdp.12 (ID11 0.989),hdp.13 (False Positive) (ID5 0.303)
DEL,C,1,0,0.0168454905306448,0.0025871095494777,0.000379250405568498,0.0181534124636702,0.0311810284182137,0.115315697591718,0.344051250362677,0.0294462687720287,0.0464464361047071,0.0126312419902638,0.0101315328602214,0.0294394114087201,0.005509220530083,0.026075354988124
DEL,C,1,1,0.0158989500920591,1.82262863388181e-05,0.000417957978579763,0.02874339709286,0.0202393593047601,0.204658066491278,0.0982302780089519,0.00618154792257901,0.012738852478983,0.0030906422346892,0.00202029183158533,0.00235570702354945,0.00986243514033949,0.000908378799860053
DEL,C,1,2,0.0108540688300621,5.55073436707087e-07,1.30636772653294e-06,0.0261446869381851,0.00233852066575163,0.205560645509095,0.00240448614918878,0.00727050880253832,0.00655608990589737,0.000506398361746892,0.00336792021783934,0.000412210414881114,0.00170327850462613,4.38004253026744e-06
DEL,C,1,3,0.009124924043112,0.00147482896589108,0.00160088845254402,0.0130098969516285,0.00564469274258882,0.0716795206360836,0.0115933455472087,0.000775045823790631,0.00394003732131843,0.00108426963085211,0.00178025994849331,0.00451795190741932,0.00195424955072129,0.0234044045176211
DEL,C,1,4,0.0103732161992802,0.00212241105687125,0.000780247776654103,0.00152103788875807,0.00128009214451087,0.045217808778907,0.013370574965181,0.00275688801014992,0.00394274696643577,0.00245574867870741,0.00251556311956017,0.00639309425876672,0.00326773285473819,0.020924826547995
DEL,C,1,5+,0.0330382183971541,0.00941045164313616,0.00266984585257881,0.00133209862059128,0.000574946994535409,0.0258282770038966,0.000859258217494697,0.00176523302476627,0.00120924758425429,0.00463583848300808,0.00252097345723048,0.00314743601463703,0.000891460713592172,0.0105637956731902
DEL,T,1,0,0.0579035463249747,0.00391381307480521,0.00162526167981753,0.0798165148315694,0.0313711897057727,0.0254173299592018,0.109285517929395,0.00321807057807137,0.0363493564641779,0.0206904978368199,0.00774699307506077,0.0154079977856265,0.0149905715170407,0.0270837494414273
DEL,T,1,1,0.0217347955849637,1.68490998440764e-07,1.20568505557343e-06,0.104608239855524,0.00895226912867062,0.00584399389829669,0.0373272951924455,0.00149778189525388,0.544751637471729,0.000773601295417486,0.00324940162143531,0.000522539847207698,0.00392266643839827,2.57993149168205e-06
DEL,T,1,2,0.0345982964302741,0.00415187469341589,0.000521673556386288,0.159417223797561,0.00745204174480116,0.00691007080523261,0.0853952685084053,0.00945952391484994,0.0178103535901929,0.00830708485029535,0.00518099865794743,0.114727268513918,0.0164370844250594,0.0719314321490263
DEL,T,1,3,0.0564037487406015,0.0132994826002151,0.00172389098867693,0.0727467003992048,0.00872823868174732,0.00938440761279249,0.101239495178655,0.0225735803337408,0.0551839822481783,0.0169227843987342,0.00698120415016932,0.562972269830831,0.00360138399971861,0.0357643517412476
DEL,T,1,4,0.0913101270203217,0.0355784440179388,0.00347021631364109,0.0389899296868206,0.00068515820928633,0.0105712454076593,0.0890132710075736,0.0178715251474376,0.012713382931981,0.0106307562950331,0.00418102867408501,0.0356207189230292,0.0050139114414305,0.0387052147475942
DEL,T,1,5+,0.0713648111920829,0.875543451783886,0.000723876060309469,0.0248039074460926,0.00977851322167566,0.00870584326315189,0.00305344497436224,0.00367100584411597,0.00570921710255634,0.0147645594919096,0.00171174254939121,0.0107543841183771,0.00633813508963016,0.0124287836772972
INS,C,1,0,0.000460643372937937,1.48752517861385e-07,1.03529036902535e-06,0.000422657058260669,0.00268195992369864,0.00275124646017859,0.000198534813891454,0.00186893365341338,0.00300032118378139,0.62046516306404,0.000438748730109488,0.000274117689417972,0.000760580522483547,2.55545780212516e-06
INS,C,1,1,0.00119739222409461,8.23113585426998e-05,4.056305829134e-05,0.00085072857481144,0.00210649705558044,0.00127127713748328,0.00020376401860891,0.00192434583808073,0.0024720847366739,0.0187915616726448,0.000358290287889607,0.00106893096186882,0.133675460857382,0.000752754786806923
INS,C,1,2,0.00102461396675014,6.17178975859321e-06,8.62586261418725e-06,0.0025433242914938,0.00147067160473424,0.00195247577724202,0.000319087551496391,0.000124343682654628,0.0019787913087306,0.000844336460679132,0.000224638772572471,0.000887840436284725,0.0732577853749338,0.000173201452994789
INS,C,1,3,0.0018224882102151,0.000145091584927234,0.000815313248076336,0.00023704369091734,0.000134483521501731,0.00640435138023553,0.000241428147645163,0.00015982199256437,0.000440948873901353,0.00113427719863768,0.000892182656169669,0.00387535040655336,0.0297894528206163,0.00210813353926068
INS,C,1,4,0.00699099005746908,0.00152474977737185,0.00152620075672868,0.000101487690387284,0.00022464745301208,0.00785781428074666,0.000455432900347344,0.00040989189194881,0.000301035500688405,0.000978523696678177,0.000117147228372147,0.0016345137649437,0.00867654515163694,0.0242256679264576
INS,C,1,5+,0.032553913690352,0.00443151420355868,0.0177765065275184,0.000127225663905436,0.000701395350247907,0.00991532899019463,0.00116049321245678,0.000631687666677182,0.000807222931587111,0.000855399450523764,0.000973484521276215,0.00158411004500859,0.00148486466197587,0.0274959447829729
