Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4
DEL,C,1,0,0.0172212254608349,0.0225907246338435,0.22685541045385,0.0751809096441817
DEL,C,1,1,0.021004249190978,0.0223769934452616,0.06815300662773,0.115052734770475
DEL,C,1,2,0.0190543900255907,0.020884657978084,0.000909612141483284,0.0973904883113857
DEL,C,1,3,0.0106861960077912,0.00998153022073893,0.00813906434586499,0.0379206485286992
DEL,C,1,4,0.00231560530482774,0.00237468590499554,0.00907804715674348,0.0226346842834765
DEL,C,1,5+,0.00288134283777182,0.00756759721695512,0.000633979705620542,0.0119216902900034
DEL,T,1,0,0.0738872631174803,0.0774520216038729,0.0724591986175201,0.0704846082548491
DEL,T,1,1,0.0764383427396635,0.0772491661173649,0.03028417252281,0.0606348043539152
DEL,T,1,2,0.0829157199310891,0.0859937034413558,0.059009691316775,0.0669020592847472
DEL,T,1,3,0.0653154347447281,0.0705241993828276,0.0776745006860687,0.0559023156012483
DEL,T,1,4,0.0391937594248895,0.0520960315035989,0.0654506540120083,0.0349926688621612
DEL,T,1,5+,0.0226240368755897,0.249488132717611,0.000879237346638665,0.0196797878678859
INS,C,1,0,5.01027033518157e-05,6.14713595478734e-06,2.62327773658074e-05,0.00199382142328992
INS,C,1,1,0.000356063531378259,7.09284917860078e-06,2.69858714528641e-05,0.00208780627152581
INS,C,1,2,0.00231132722181013,4.25570950716047e-06,2.15886971622913e-05,0.00271296535047174
INS,C,1,3,0.0001224226781732,4.72856611906719e-07,1.15474426682023e-05,0.00375958573524826
INS,C,1,4,0.000162363436429981,2.60071136548695e-05,8.56016945621084e-05,0.00390759588740206
INS,C,1,5+,0.00737347380736482,0.0036740958745152,0.00863422370810475,0.00381757502596252
INS,T,1,0,0.00531695016875719,0.00553242235930861,0.00986829388542828,0.0123104806723996
INS,T,1,1,0.00965630444257591,0.00925900531774546,0.00691390578190496,0.0274614775607339
INS,T,1,2,0.0215486921762406,0.0226555059896747,0.000873338109623388,0.0342001911792471
INS,T,1,3,0.0146816619108644,0.014082142759194,0.00255474617465859,0.0213304686922085
INS,T,1,4,0.012771671603179,0.00948597649146068,0.00640895619653346,0.00882997239466808
INS,T,1,5+,0.255549767161437,0.0261886905938417,0.304473680114751,0.0129420972137073
DEL,repeats,2,0,0.0204260728620331,0.0199554947356873,0.00978959555333086,0.017629895212009
DEL,repeats,2,1,0.0179576189608762,0.0189142644762687,0.00258235962451733,0.0166997009555574
DEL,repeats,2,2,0.00369501745092377,0.000738129171186388,0.000186892849271231,0.00815174704086787
DEL,repeats,2,3,7.3985671010311e-05,3.26271062215636e-05,2.22162755681718e-05,0.00396558517811631
DEL,repeats,2,4,0.000133962717237491,1.41856983572016e-06,1.20495053929068e-05,0.00261073285228862
DEL,repeats,2,5+,0.0157447715324516,0.0164908743402468,2.47265891916941e-05,0.0111446210073782
DEL,repeats,3,0,0.0123806404352591,0.0122550248107864,0.00113930583803557,0.00887255328509332
DEL,repeats,3,1,0.00553231629758734,0.00705360207981252,0.00487364838438726,0.0030583436839209
DEL,repeats,3,2,0.000143944910945231,4.68128045787652e-05,0.000203209887824125,3.94480621507096e-05
DEL,repeats,3,3,9.80004563528221e-05,4.72856611906719e-07,1.31791465234918e-05,5.43449802724525e-06
DEL,repeats,3,4,0.00410289731554605,0.000327216775439449,1.16729583493784e-05,0.00306237160598815
DEL,repeats,3,5+,0.00617239900431632,0.0059754890046652,1.7948742408184e-05,0.00444804073239387
DEL,repeats,4,0,0.00794670098144617,0.00949496076708691,0.000273373153601572,0.00556972112521729
DEL,repeats,4,1,0.00241728467290718,0.000501700865233029,0.00358686162096975,0.00191761058036667
DEL,repeats,4,2,6.56691734914973e-06,2.26971173715225e-05,2.6860355771688e-05,4.47546896361373e-07
DEL,repeats,4,3,0.00267452089155106,5.20142273097391e-06,1.89528678575929e-05,0.00209042761763307
