Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9
DEL,C,1,0,0.00478316272317395,0.0014131419912431,7.29910166329811e-06,0.0299716077641516,0.06597224101402,0.152117154358013,0.0277748735485537,0.00753008191126104,0.0235916793940038
DEL,C,1,1,5.45514813548155e-05,3.25834994780618e-05,0.000476696667317725,0.0232888328160502,0.015398577502591,0.210564130033961,0.000220496456980408,0.000925936719679467,0.00189166762439399
DEL,C,1,2,1.66653617079785e-06,1.65115768472518e-06,1.61874008675544e-06,0.0159099182790112,0.00232687160269492,0.165568889347138,1.0167410959246e-05,7.45969989428839e-05,0.000856367918304099
DEL,C,1,3,0.00254443420510672,0.00106184774074424,0.00216482657355446,0.0101419350622243,0.00180402844357007,0.0626066653771173,0.006277161709861,0.000639025303920113,0.000754588966268075
DEL,C,1,4,0.00352630242611415,0.000950509188241944,0.00069093344898496,0.00189950527649293,0.00206306988016265,0.0395825072077725,0.0277353990798726,0.00173082176706569,0.00221884769860186
DEL,C,1,5+,0.015488587379585,0.00641464516375521,0.00308595182994038,0.000236394489811512,6.41871275402324e-05,0.0210606865598966,0.0744364843133564,0.00345376476461835,0.00170399929520547
DEL,T,1,0,0.0070980912105183,0.000497544754289148,0.00191832920085856,0.100718646924284,0.0190098186469781,0.0428142228422224,0.0562794014352905,0.0174365361070911,0.00900076376863765
DEL,T,1,1,1.40039740265248e-06,1.40547897004585e-06,1.72272420707385e-06,0.137959305163299,0.000130680272456084,0.00413201103376771,1.13683382170296e-05,0.000206552584399917,0.0313605706845159
DEL,T,1,2,0.00710578361593144,0.00336321553149997,2.91286900422013e-05,0.104657820379043,0.0125808408417509,0.0175078371752451,0.0508243946384422,0.00690770320216832,0.00169142553789867
DEL,T,1,3,0.0136808757957152,0.0146130249013666,1.20605059486811e-05,0.0826049569802755,0.021600451829846,0.0201367502775333,0.153375297947166,0.0163732238567521,0.00816091754106301
DEL,T,1,4,0.0603349496392274,0.0112677432137863,5.74172538030596e-05,0.0415946915536026,0.0161400126823143,0.0191482407125263,0.234518004390165,0.0134345473098792,0.00401444551769478
DEL,T,1,5+,0.805001753993872,0.878919875732413,1.66742866333028e-05,0.00980659408846124,3.28102136978646e-05,0.00194561376832313,0.00054170425353675,0.0752895351194206,0.000509343832336711
INS,C,1,0,1.24971979012549e-06,1.39147806241488e-06,1.56494629123016e-06,0.000437837986241773,0.00164555103618356,0.00146850721337821,1.10060384594562e-05,0.491158799135348,0.000498763259133462
INS,C,1,1,0.000233894866987285,2.20571850436526e-05,8.9500576044346e-06,0.00620084400332747,0.00130008424601749,0.00394039685441582,0.00141094057110278,0.0140501815807156,9.50258794029296e-05
INS,C,1,2,1.72947453047976e-05,1.63130433166115e-05,9.00808625440169e-06,0.0055686752648732,0.000187390838914091,0.00275781757523788,8.08332727753575e-05,0.000564722025115436,9.04002563108163e-05
