Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2999
low confidence hdp.3,2966
low confidence hdp.4,1959
low confidence hdp.5,1922
low confidence hdp.6,1800
low confidence hdp.7,1799
low confidence hdp.8,1396
low confidence hdp.9,1200
low confidence hdp.10,1164
low confidence hdp.11,1114
low confidence hdp.12,793
low confidence hdp.13,771
low confidence hdp.14,598
low confidence hdp.15,547
low confidence hdp.16,298
low confidence hdp.17,201
low confidence hdp.18,200
low confidence hdp.19,200
low confidence hdp.20,68
low confidence hdp.21,40
low confidence hdp.22,26
low confidence hdp.23,4
low confidence hdp.24,4
low confidence hdp.25,2
low confidence hdp.26,2
