Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K,ID83L
DEL,C,1,0,0.0023569,0,0.00049119,0.0044649,0.02323449,0.02037103,0.0898687,0.39987299,0.00136562,0.00331156,1.822e-05,0.00625596
DEL,C,1,1,8.3e-07,1.215e-05,2.68e-06,0.00317968,0.01917845,0.00073149,0.2418487,0.10153048,0.0049085,0.00011408,0.00068527,1.047e-05
DEL,C,1,2,0,2e-07,1e-08,0.0014863,6.86e-06,0.00449093,0.22848692,0,0.00743658,1.092e-05,0.00345238,1.787e-05
DEL,C,1,3,0.00134651,0.00097075,0.01137068,0.01060308,0.0054068,1.99e-05,0.07479624,0.00853806,0.00671655,0.00079903,0.00083187,0.00048752
DEL,C,1,4,0.00257732,0.00029407,0.00991655,0.00036764,1.41e-06,0.00187933,0.04749433,0.01205467,0.00028197,0.00091798,0.00032313,0.00222238
DEL,C,1,5+,0.00899712,0.00083749,0.05518236,0.00066859,0.00067833,0.00062451,0.02633077,4.631e-05,0.00148558,0.00211958,0.00251752,0.00557239
DEL,T,1,0,0.00436502,5.444e-05,0.02583472,0.15036185,0.03617606,0.00026796,0.02962684,0.10612621,0.06212161,0.00607399,0.00218535,0.01963008
DEL,T,1,1,0,1e-08,0,0.00065136,0.0106386,0,0.00292956,0.00665853,0.45976893,0.00108434,2.974e-05,2.9e-07
DEL,T,1,2,0.00321744,6.691e-05,0.02000065,0.18847294,0.00287045,0.01043782,0.00969412,0.08440931,0.03667551,0.00187211,0.00052757,0.01025932
DEL,T,1,3,0.00826421,0.0002595,0.08361928,0.13094277,0.00118703,0.01883824,0.00300429,0.12519021,0.06336588,0.0025784,0.00222652,0.01830815
DEL,T,1,4,0.02007682,0.00024477,0.23147727,0.08701247,0,0.0133444,0.00243068,0.08692496,0.01123914,0.00211493,9.037e-05,0.016422
DEL,T,1,5+,0.91025963,0.00020221,0.02161508,0.02433399,0.00038298,0.00049785,0.00046597,0.00538275,0.001017,0.00123476,0.00255976,0.01555016
INS,C,1,0,0,0,0,9e-08,1.9e-07,0.00115834,2e-07,1.5e-07,5e-08,5.4e-07,3.2e-07,0.55101013
INS,C,1,1,0.00017149,0,1.745e-05,0.00019758,0.00010636,0.00089633,0.00010303,0,0.00059247,0.0009646,0.13969558,0.02048267
INS,C,1,2,2.44e-06,1e-08,2.45e-06,0.00101514,0.00010895,3.19e-06,0.00046712,0,0.00179803,0.00046542,0.09368164,0.00353222
