MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	0.00235690	0.00000000	0.00049119	0.00446490	0.02323449	0.02037103	0.08986870	0.39987299	0.00136562	0.00331156	0.00001822	0.00625596
1:Del:C:1	0.00000083	0.00001215	0.00000268	0.00317968	0.01917845	0.00073149	0.24184870	0.10153048	0.00490850	0.00011408	0.00068527	0.00001047
1:Del:C:2	0.00000000	0.00000020	0.00000001	0.00148630	0.00000686	0.00449093	0.22848692	0.00000000	0.00743658	0.00001092	0.00345238	0.00001787
1:Del:C:3	0.00134651	0.00097075	0.01137068	0.01060308	0.00540680	0.00001990	0.07479624	0.00853806	0.00671655	0.00079903	0.00083187	0.00048752
1:Del:C:4	0.00257732	0.00029407	0.00991655	0.00036764	0.00000141	0.00187933	0.04749433	0.01205467	0.00028197	0.00091798	0.00032313	0.00222238
1:Del:C:5	0.00899712	0.00083749	0.05518236	0.00066859	0.00067833	0.00062451	0.02633077	0.00004631	0.00148558	0.00211958	0.00251752	0.00557239
1:Del:T:0	0.00436502	0.00005444	0.02583472	0.15036185	0.03617606	0.00026796	0.02962684	0.10612621	0.06212161	0.00607399	0.00218535	0.01963008
1:Del:T:1	0.00000000	0.00000001	0.00000000	0.00065136	0.01063860	0.00000000	0.00292956	0.00665853	0.45976893	0.00108434	0.00002974	0.00000029
1:Del:T:2	0.00321744	0.00006691	0.02000065	0.18847294	0.00287045	0.01043782	0.00969412	0.08440931	0.03667551	0.00187211	0.00052757	0.01025932
1:Del:T:3	0.00826421	0.00025950	0.08361928	0.13094277	0.00118703	0.01883824	0.00300429	0.12519021	0.06336588	0.00257840	0.00222652	0.01830815
1:Del:T:4	0.02007682	0.00024477	0.23147727	0.08701247	0.00000000	0.01334440	0.00243068	0.08692496	0.01123914	0.00211493	0.00009037	0.01642200
1:Del:T:5	0.91025963	0.00020221	0.02161508	0.02433399	0.00038298	0.00049785	0.00046597	0.00538275	0.00101700	0.00123476	0.00255976	0.01555016
1:Ins:C:0	0.00000000	0.00000000	0.00000000	0.00000009	0.00000019	0.00115834	0.00000020	0.00000015	0.00000005	0.00000054	0.00000032	0.55101013
