"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.907145425443973
"SBS96B","SBS2",0.999805330350336
"SBS96C","SBS7b",0.996162773334824
"SBS96D","SBS4",0.99093467978366
"SBS96E","SBS5",0.913691905951577
"SBS96F","SBS40",0.936668179901864
"SBS96G","SBS3",0.938335735006744
"SBS96H","SBS44",0.998488440880459
"SBS96I","SBS1",0.999848199575879
"SBS96J","SBS17b",0.999180591829122
"SBS96K","SBS12",0.964606247119495
"SBS96L","SBS18",0.988706397362133
"SBS96M","SBS7c",0.998013785235355
"SBS96N","SBS17a",0.999754948156102
"SBS96O","SBS7d",0.993847600442036
"SBS96P","SBS13",0.999911270955824
"SBS96Q","SBS22",0.980070817210688
"SBS96R","SBS28",0.970132911661029
