Signature,NumberOfPostSamples
low confidence hdp.1,3389
low confidence hdp.2,3200
low confidence hdp.3,3185
low confidence hdp.4,1209
low confidence hdp.5,1197
low confidence hdp.6,1070
low confidence hdp.7,1000
low confidence hdp.8,975
low confidence hdp.9,774
low confidence hdp.10,717
low confidence hdp.11,566
low confidence hdp.12,505
low confidence hdp.13,482
low confidence hdp.14,400
low confidence hdp.15,400
low confidence hdp.16,393
low confidence hdp.17,388
low confidence hdp.18,383
low confidence hdp.19,363
low confidence hdp.20,360
low confidence hdp.21,352
low confidence hdp.22,349
low confidence hdp.23,279
low confidence hdp.24,257
low confidence hdp.25,201
low confidence hdp.26,200
low confidence hdp.27,200
low confidence hdp.28,199
low confidence hdp.29,198
low confidence hdp.30,194
low confidence hdp.31,194
low confidence hdp.32,127
low confidence hdp.33,118
low confidence hdp.34,116
low confidence hdp.35,72
low confidence hdp.36,71
low confidence hdp.37,65
low confidence hdp.38,55
low confidence hdp.39,49
low confidence hdp.40,44
low confidence hdp.41,38
low confidence hdp.42,36
low confidence hdp.43,36
low confidence hdp.44,35
low confidence hdp.45,33
low confidence hdp.46,32
low confidence hdp.47,27
low confidence hdp.48,25
low confidence hdp.49,24
low confidence hdp.50,23
low confidence hdp.51,23
low confidence hdp.52,17
low confidence hdp.53,8
low confidence hdp.54,6
low confidence hdp.55,4
low confidence hdp.56,4
low confidence hdp.57,4
low confidence hdp.58,4
low confidence hdp.59,3
low confidence hdp.60,2
low confidence hdp.61,2
low confidence hdp.62,2
