Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3061
low confidence hdp.3,3000
low confidence hdp.4,2876
low confidence hdp.5,2589
low confidence hdp.6,1792
low confidence hdp.7,1462
low confidence hdp.8,1400
low confidence hdp.9,1397
low confidence hdp.10,1055
low confidence hdp.11,1000
low confidence hdp.12,1000
low confidence hdp.13,995
low confidence hdp.14,819
low confidence hdp.15,591
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,2
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
