Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.998),ID83B (ID1 0.999),ID83C (False Positive) (ID5 0.858),ID83D (False Positive) (ID5 0.302),ID83E (ID8 0.98),ID83F (False Positive) (ID5 0.623),ID83G (ID3 0.972),ID83H (ID6 0.994),ID83I (False Positive) (ID1 0.367),ID83J (ID9 0.971),ID83K (False Positive) (ID1 0.724),ID83L (ID13 0.985),ID83M (ID4 0.99),ID83N (ID11 0.91),ID83O (ID14 0.958)
DEL,C,1,0,0.00068566145879736,1.07984739372569e-09,0.000332279545512564,0.0192252081240026,0.00960792118543081,0.00976972313031974,0.0843186511471868,0.0232505767496058,0.00168084281863518,0.472748364508152,0.00169882573885843,0.00240594105180962,0.00922858504305306,0.0153335503215422,0.0032455560436251
DEL,C,1,1,0,1.42745168680255e-05,0.0177218896515523,3.20957183532755e-07,0.0146580569542454,0.00944180680249701,0.240063125146728,0.000886595366260376,0.00770533999560213,0.10695473607733,0.0283745255297941,0.000718215052397608,7.12079519357752e-06,0.0394707014213788,1.42575923565147e-05
DEL,C,1,2,0,1.80526530391134e-10,0.019162780540064,0,0,0.00161975630137022,0.241218810081482,0.00400965272681788,0.000104585587978363,0,4.46405294951546e-10,0.00402194833804094,0.000523962124451497,0.00446334178335098,1.21746669634604e-09
DEL,C,1,3,0.0012977587133355,0.000620983740004454,0.0130154983280227,0.00947460088690207,0.00461874648237014,0.00583220833618087,0.0834214825183153,1.84591218425797e-36,0.0123845528491074,0.00976481538498774,0.0119189392769888,0.0025296513288049,0.000361862017634849,0.00574613429671451,0.000478430253924671
DEL,C,1,4,0.00155422737429035,2.01691061162105e-05,0.000216325121000409,0.0108165807525351,3.51049513994046e-05,0.0138968715633672,0.0491097182407975,0.00146326268499251,0.00554273437513985,0.0145464918576181,0.0119352931672081,0.000822258014703753,0.00155671824759338,0.00704123706228733,0.00147004351165378
DEL,C,1,5+,0.0075431702061357,5.70385956066151e-05,4.58628606750722e-05,0.00516506642336198,1.65127497166395e-05,0.0724790368230851,0.0230312801486457,0.000353985582740535,0.0263417850918338,4.13397820864248e-09,0.0319280293176383,3.37964651589573e-05,0.00115875000617912,0.025083806887269,0.00377545276352976
DEL,T,1,0,0.000806255772536438,2.64048437929895e-05,0.216129265390336,0.040365926653693,0.0246242441246737,0.0489836843656154,0.0173263773539257,2.05729287699796e-06,0.00913238553780791,0.119197625440429,0.0346186540216671,0.031797119927453,0.00341742993099891,0.0430173525975556,0.0173596286587417
DEL,T,1,1,0,1.50211807144234e-08,0.0300968473154198,5.46559005831782e-10,8.57673971376942e-08,0.0034407416706288,0.00472133203968498,3.40291503567825e-09,3.42270241704412e-08,3.23655760535254e-05,1.15830015379764e-07,0.693611480593681,0.000100633637030711,0.00421067862002041,4.46452446922763e-08
DEL,T,1,2,0.00250799536629698,1.40129846432482e-47,0.15879190068692,0.0105493107218111,0.000658997628583316,0.142463270619046,0.000201797665795311,0.00672702819532137,0.0148755684288366,0.0881906250864267,0.000182488125137752,0.00779487768423691,0.000837866170916279,0.0335270254092148,0.00564653161913157
DEL,T,1,3,0.00152842124790901,0.000367491628671576,0.0799299471683731,0.0630201714763639,0.000318576843053944,0.381005845793989,0.00124856762995023,0.0141130356194119,0.0063865662462393,0.0921028719044807,0.00547096487128775,0.0479361050296575,0.001769248422839,0.0174796577776002,0.013201221968795
DEL,T,1,4,0.00155256112425644,0.000198764244719356,0.0224891526982581,0.709303355813026,6.81981831007761e-10,0.0250517630968761,0.0035411147514383,0.00513094215433522,0.00647632580203779,0.0419843149228435,0.0329277982780727,0.0010082107585394,6.46825635466364e-05,0.00491577575129536,0.00591071890477351
DEL,T,1,5+,0.940352391004562,0.000166879040707619,0.00389289137065026,0.0514591612206215,9.48010470582281e-06,0.0553366284246531,0.000366907804919362,5.8017627619597e-05,0.0158293932832342,0.000169082501824846,0.0068283109273853,0.000677259238680737,6.43768589417744e-05,0.0100238081989479,0.0514156042972755
INS,C,1,0,1.99772065556658e-11,9.25563895595279e-10,6.13911623267072e-08,3.52520554268459e-20,1.7029937311754e-07,2.18673488383559e-08,1.74632528782194e-07,9.1636633130811e-09,7.59504309210075e-09,2.84667347685286e-07,2.76224301991775e-08,1.09912506321632e-06,6.71246789445471e-07,3.09734620345327e-06,0.594193455576897
INS,C,1,1,0.000138789414871242,2.25363820693936e-06,0.00357452963327034,0.000140080533567826,0.000550149344344391,0.000550977746970603,0.000363026588311186,0.00140641856123693,8.70816927636042e-05,0,0.000117402511532418,3.4148199649735e-05,5.07467044167242e-05,0.0816758257773472,0.0155098739825189
INS,C,1,2,7.38648903656371e-06,5.02234283872305e-07,0.00391758193843998,6.28550108706276e-05,0.000624853890761399,0.000178620119571207,0.00154171043090173,4.04632801291882e-06,4.73163559729297e-05,3.16499459586339e-05,4.80278110626387e-05,0.00094844191457014,2.5885769351952e-05,0.0510773699915444,0.00023883024608141
INS,C,1,3,0.000124435960473412,0.000247079415176132,0.000651923790574074,0,1.07246138213668e-06,0.000790405779989669,0.00709200533106923,0,0.00723363210447133,1.15535067044803e-06,0.00272036822309019,5.03767892951146e-06,0.000604785564028134,0.0175699817994609,0.00075843458151212
