Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15
DEL,C,1,0,0.620583948440526,0.0209771490906349,6.5053505028708e-24,0.0947257034470465,0.019575947542004,7.67411439818931e-157,0.0109500763963552,0,2.20621178183037e-93,4.29751554709329e-09,9.4112383831589e-238,5.1137066326006e-15,0.00226123407216018,0.0298781213446289,0.00867655723333665
DEL,C,1,1,0.142823364376119,0,3.67729293965741e-189,0.247752781317376,0.000732501452827988,1.362030718041e-120,0.0194823563728559,0.000381779429645074,0,0,3.73925859940274e-159,0.0262569058404314,0,0,0
DEL,C,1,2,0,0,0.00144609507277153,0.222817297947614,0.00524901487652325,0,0,0,0,0,0,0.0291164086342503,0,0,0
DEL,C,1,3,0.0127455630809088,0.00971694738475447,0.00175763257587157,0.0788230240232113,0,5.30841842773974e-109,0.00524484471584339,0.00191479099797402,1.02188725196458e-210,8.30989833680749e-114,0,0.0156375348190872,0.00162411999054717,0.0114868035628881,9.84651834102881e-05
DEL,C,1,4,0.0187196610121908,0.0379280692274989,0.000794864695667406,0.0490024856639127,0.0016898521024993,2.90865989129528e-66,4.14418284701504e-127,0.000149321036386219,0.00563906887018225,0.00224233542222222,1.32200784287418e-145,1.17592668164015e-262,0.00196130381391112,0.00319088667082126,0.00170550357962309
DEL,C,1,5+,0,0.127293369770642,0,0.0279502586705711,0.000621665952970617,0,0,0.000641920668062775,2.1162638982557e-151,0.00589655925773332,0,1.17114168564698e-156,0.00972549230520684,1.15772454645915e-62,0.00162118377776402
DEL,T,1,0,1.5052931853737e-10,0.0519806248177542,1.44433568505656e-26,0.0308963714541044,4.64535105247979e-49,0.989183262762021,0.0123623651373305,2.36118622001072e-76,5.66563246686119e-14,0.00929042905978137,1.43237561753982e-225,0.104149328641816,0.00352372631522467,1.44347097823257e-24,4.24308380923136e-36
DEL,T,1,1,0,0,0.795729441301864,3.83082784168921e-38,0,0,2.09112032901219e-246,0,0,0,0,0.0816397771689874,0,0,0
DEL,T,1,2,0.137298429670341,0.0605507443706596,1.6036020997666e-142,1.51955205767365e-42,0.00822872233336875,3.30856677974331e-273,7.29109229758829e-44,1.14129225284769e-138,0.0131278233041445,0.00595218531116237,0,0.201163495960168,0.0047243300639176,1.30105263191527e-238,0
DEL,T,1,3,2.91209007303729e-49,0.0227318055144319,1.17997619568627e-80,7.22404693074891e-28,1.56984433629646e-16,1.70243659031444e-157,5.7603096071612e-77,1.04817388165387e-15,0.908451412829326,5.05122924967998e-121,1.11257493132894e-308,5.50994813327803e-05,0.0142928499803656,1.89203130943933e-73,5.4712739111191e-154
DEL,T,1,4,4.90111015110528e-87,0.045653440898334,1.15698437345686e-95,3.58708792642374e-08,2.45534577843468e-68,3.27420474432655e-177,3.57558425081985e-166,8.6074658658085e-58,2.22444031473452e-73,6.94437786853503e-135,1.72626539796002e-294,1.05416555903178e-14,0.0357052496070962,0.901522055825814,1.03560521103137e-186
DEL,T,1,5+,2.01278909405566e-147,5.37201153705615e-60,1.03774180500491e-99,2.44056705444807e-40,3.74777512146425e-95,7.70312093751126e-198,2.23613753503461e-86,2.28237506299796e-26,1.12409467525651e-114,8.41532148387972e-148,7.02505438493972e-284,1.44541266720531e-17,0.874166991848126,7.41896651723805e-101,3.80799493673462e-160
INS,C,1,0,0,0,0,0,0,0,0,0,0,0.744374113861529,0,0,0,0,0
INS,C,1,1,0,0.00227520082462327,0,0,0.00129215305072563,0,0,0,0,0.0198639041839851,0.191822729231466,0,9.38910657971884e-05,2.31022293051524e-180,3.54092140091093e-13
INS,C,1,2,0,0.000121597962692813,0.000975832612544533,0.001345579834559,0,1.57362466567469e-274,0.000555694615502116,0,1.24781295394e-112,8.00220211849719e-146,0.0999829893881187,0.00380002493116515,1.62961188473333e-05,2.52043440005728e-17,0
