MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00219635	0.00000000	0.00287814	0.00217921	0.03233410	0.08581821	0.02335868	0.37566564	0.01210057	0.00304364
1:Del:C:1	0.00000000	0.00001701	0.00206467	0.00573679	0.01957431	0.22980428	0.00141441	0.09844621	0.00087264	0.00008159
1:Del:C:2	0.00000000	0.00000000	0.00215344	0.00911269	0.00003032	0.21006216	0.00390494	0.00000000	0.00143291	0.00000000
1:Del:C:3	0.00201710	0.00171014	0.00908644	0.00629557	0.00486663	0.07466736	0.00003439	0.01067670	0.00097325	0.00056228
1:Del:C:4	0.00314147	0.00049159	0.00638649	0.00020058	0.00025361	0.04380650	0.00171595	0.01453046	0.00216992	0.00140572
1:Del:C:5	0.01385265	0.00178455	0.02025762	0.00014985	0.00024096	0.02582639	0.00098904	0.00029029	0.00223374	0.00348368
1:Del:T:0	0.00487333	0.00080063	0.10014838	0.08454216	0.03457487	0.02533801	0.00037708	0.11666222	0.00565669	0.01604624
1:Del:T:1	0.00000000	0.00000000	0.00312841	0.32904051	0.00601094	0.00360398	0.00002191	0.00768351	0.01361430	0.00000749
1:Del:T:2	0.00596326	0.00004278	0.10952270	0.08777857	0.00465527	0.00406134	0.00826377	0.08800724	0.00278265	0.00552388
1:Del:T:3	0.01647280	0.00124943	0.10510521	0.08295000	0.00323850	0.00378817	0.01993175	0.11375315	0.00547243	0.01255583
1:Del:T:4	0.03620173	0.00223761	0.14550134	0.02847663	0.00048891	0.00269735	0.01409580	0.10546902	0.00415623	0.01028700
1:Del:T:5	0.85090058	0.00043270	0.01317308	0.00259449	0.00021067	0.00078296	0.00015545	0.01055957	0.00065121	0.06187542
1:Ins:C:0	0.00000000	0.00000000	0.00000001	0.00000004	0.00000013	0.00000014	0.00000001	0.00000025	0.00000010	0.52828267
1:Ins:C:1	0.00018865	0.00000604	0.00587601	0.00418487	0.00206829	0.00559438	0.00143161	0.00000000	0.00015440	0.01436637
1:Ins:C:2	0.00001608	0.00000183	0.00463377	0.00437666	0.00157500	0.00393306	0.00001180	0.00000235	0.00011582	0.00052336
1:Ins:C:3	0.00034107	0.00071621	0.00177412	0.00050055	0.00013552	0.00871192	0.00000006	0.00000118	0.00071480	0.00070524
