Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16,W.17,W.18,W.19
DEL,C,1,0,2.04388904066247e-81,1.00049265808218e-89,0,1.42396288277955e-32,0.679943951628353,1.83741802862013e-65,7.05265410616256e-180,1.13804544354308e-50,0,0,0.0394229972951254,0,0.0182302869645433,1.11253692934195e-308,0,0.0801144577923217,0,0.00140085837885739,0.00332445273680546
DEL,C,1,1,0,4.79329550269182e-207,0,0.017997504426146,0.158686253288377,0.0176713823364727,0,0,0.000500407558872885,0,0,0,1.39769712648085e-57,0,0,0.264802134809563,1.35427387485048e-200,0,0
DEL,C,1,2,0,2.01665017152685e-49,0,0,0,0.0208942439058904,0,0,0,0,0,0,0.00607600303859776,0,0,0.250653997406743,0,0,0
DEL,C,1,3,1.27488863161983e-121,0.00377860139149831,6.39037650197374e-245,0.00529587585187589,0.0141100749206384,0.0201682551540765,0.000240102896106668,7.55617329145493e-132,0.00157256288248088,0,0.0332419925691905,1.13466874880253e-121,0,1.99898242950017e-304,1.48608987040404e-199,0.0794554208303629,0,0,0.00166271522794273
DEL,C,1,4,0.00727232548111926,0,0,0,0.0166118474779869,0,0.000638020535868988,3.74220863444016e-306,0.000235992193139638,0,0.0239566530219539,0,0.00190093187163299,0.0613322135965435,0,0.0488826437251035,0,0.00149187168698767,0.00270115743446621
DEL,C,1,5+,0,0,0,0,0,0,0,0,1.11253693149402e-308,0,8.90933761179325e-48,0,0,0.863773189249953,0,0,0,0,0.00962762944464712
DEL,T,1,0,4.15572178134448e-05,0.000321328014898296,0,0.00859736098029415,0.0543997674890273,0.0898353101720253,4.89048502486922e-34,0.15776925280633,7.86486623520848e-183,0,0.00569203619313646,4.88013524114683e-301,0,0,0.990245615954887,0.0228168829788215,0,3.70543951983458e-130,0.00581637871510467
DEL,T,1,1,0,0.79482982282358,0,0,0,3.29617817061109e-24,0,0,0,0,0,0,0,0,0,7.45541017224305e-79,0,0,0
DEL,T,1,2,0.0218666515331211,1.06909060877577e-11,0.987602344070506,1.03869559137731e-101,0.0092737621356057,0.132118307750634,0,0.10788774886668,1.04009776877432e-155,0,1.54600279353362e-191,8.70593680495917e-254,4.86139921584624e-17,0,2.19712329988807e-242,0.00888258050063057,0,1.59863403216591e-252,0.00319081397557354
DEL,T,1,3,2.89886223727702e-41,3.13363935989886e-162,0,7.02999079413516e-183,3.0810970837607e-96,8.36849718043435e-73,0,0.699371186352328,0.00219583096993011,0,9.55733639513744e-16,9.53804787335304e-268,5.64475217819594e-11,6.30956388682963e-250,0,0.000904360700902954,0,0,0.00981737333596
DEL,T,1,4,0.913302636328835,1.00733925754978e-124,0,6.75946818389527e-217,2.78562175347626e-148,3.35349854978109e-66,2.55176060308938e-280,4.56246827147329e-95,7.45973458400101e-66,0,2.40437472835853e-186,0,7.31750503398213e-106,0,0,3.66568895816541e-98,0,0,0.0283630079363843
DEL,T,1,5+,6.6882117278094e-124,1.59485758322214e-101,0,5.18026197007122e-47,5.54487862204488e-197,9.00095690876128e-44,4.40419696094704e-259,4.6777034488855e-122,0.000469105508460401,5.29565186337116e-228,1.37951553420813e-129,2.67839772747462e-280,6.23853568977279e-119,0,3.610795004762e-250,0.00166230946555435,4.32435245688435e-303,0,0.884112750510477
INS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763437847573944,0
INS,C,1,1,9.12497837950513e-308,0,0,0,0,0,0,0,0,0.168004508750214,0.00134642310512094,0,0.00130024910317491,8.52091697772327e-192,0,0,0,0.0231997620850979,0.000199931527319576
INS,C,1,2,1.11255861770657e-308,0.000761459548765682,0,0.000122878411053968,0,0.00451350471632017,0,5.26330782670184e-05,0,0.10075351571585,7.01779261373816e-136,0,0,4.09960785234642e-204,0,0.000866275785561456,0,0.000253326895583866,1.53261389077604e-05
INS,C,1,3,0,0,0,0,0,0,0.000234339317720338,0,0.000678718317775066,0.0379004271323766,0.0083761015564158,7.79041465084978e-175,0,1.1125369375755e-308,0,0.00699834180138924,0,0.00177069221708638,0.000287098865001897
