MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
4:Ins:R:2	0.00000155	0.00003807	0.00029385	0.00014619	0.00013368	0.00024347	0.00043378	0.00002751	0.00004127	0.00006135
4:Ins:R:3	0.00025228	0.00006163	0.00012298	0.00000003	0.00000225	0.00000000	0.00037341	0.00000366	0.00007084	0.00073369
4:Ins:R:4	0.00014895	0.00037461	0.00029062	0.00012850	0.00000022	0.00002308	0.00000477	0.00017272	0.00028713	0.00140767
4:Ins:R:5	0.00208427	0.00074366	0.00327227	0.00101536	0.00000681	0.00095918	0.00003966	0.00010111	0.00022078	0.00017025
5:Ins:R:0	0.00000000	0.00000002	0.00330545	0.00006551	0.00005895	0.00453002	0.00881423	0.00001900	0.00006234	0.00271291
5:Ins:R:1	0.00004807	0.00166772	0.00207316	0.01113127	0.00022951	0.01129711	0.00576214	0.00129954	0.00236122	0.02447342
5:Ins:R:2	0.00000938	0.00022801	0.00047607	0.00002698	0.00000327	0.00028145	0.00131565	0.00002428	0.00005876	0.00052804
5:Ins:R:3	0.00008628	0.00022689	0.00048795	0.00004117	0.00008258	0.00007551	0.00005889	0.00014996	0.00003982	0.00008429
5:Ins:R:4	0.00000677	0.00020313	0.00025737	0.00001971	0.00000935	0.00007164	0.00001792	0.00016349	0.00000299	0.00001803
5:Ins:R:5	0.00007351	0.00017879	0.00074518	0.00038166	0.00006359	0.00045046	0.00000501	0.00001064	0.00002885	0.00000000
2:Del:M:1	0.00001389	0.00005152	0.01661859	0.00067950	0.00993985	0.01606657	0.00003146	0.00018183	0.20250512	0.00508545
3:Del:M:1	0.00000037	0.00001340	0.00888892	0.01197910	0.00136233	0.01183951	0.00090110	0.00102330	0.00604887	0.00126423
3:Del:M:2	0.00228070	0.00128554	0.01153412	0.00328463	0.00066482	0.00436591	0.00390764	0.00032764	0.04182143	0.00396203
4:Del:M:1	0.00004980	0.00003510	0.00757457	0.00565502	0.00026014	0.00571145	0.00258460	0.00177281	0.01232953	0.00019026
4:Del:M:2	0.00049816	0.00004320	0.00469230	0.00087447	0.00029078	0.00250618	0.00962246	0.00153263	0.03009926	0.00103238
4:Del:M:3	0.00050833	0.00000125	0.00214955	0.00008946	0.00000222	0.00052427	0.00490502	0.00142959	0.04683762	0.00222079
5:Del:M:1	0.00051511	0.00000000	0.00154192	0.33875369	0.00008973	0.00230624	0.06753611	0.00003604	0.00018024	0.00177193
5:Del:M:2	0.00000000	0.00000002	0.00078801	0.11374365	0.00121048	0.00284705	0.27084143	0.00001788	0.00000704	0.00160799
5:Del:M:3	0.00000000	0.00000001	0.00205203	0.02140082	0.00067873	0.00139953	0.24324413	0.00001356	0.00037530	0.00004538
5:Del:M:4	0.00036839	0.00000016	0.00127546	0.00023726	0.00100277	0.00002712	0.13804130	0.00000103	0.00309381	0.00004614
5:Del:M:5	0.00227924	0.00026181	0.00678088	0.00084389	0.00000000	0.00361309	0.11064823	0.00005437	0.00069763	0.00071786
