Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11,signeR.12,signeR.13,signeR.14,signeR.15,signeR.16
DEL,C,1,0,0.00481861777008426,0.00487866924991034,2.97132256166858e-06,6.03170793901962e-07,0.0274919431311114,0.042762079313802,0.119496104689072,0.0309100353995527,0.000630889468382647,0.00385054167538847,0.00180147220487965,0.347452687034174,0.0110239740283815,0.00900253573645617,0.000181839212604981,0.00245837145580537
DEL,C,1,1,6.23809262698613e-05,5.39173454523938e-05,0.000686957375214979,0.000382600254099772,0.0267455655860405,0.0243929419157872,0.208297279269736,0.00559716039408435,5.86122662928964e-06,1.35773208816971e-05,8.42248300216148e-06,0.103540974413439,0.00156311070240213,0.00106773094847158,4.33597833291465e-05,2.43697132301049e-05
DEL,C,1,2,6.40675495287281e-07,6.98209610194705e-07,4.9602285759396e-07,2.62619976873906e-07,0.0235651023620609,0.00249688061617955,0.176854044782522,0.00802599784036592,2.92232264886297e-06,7.02391887894104e-06,5.78529123765145e-06,6.73656102216277e-05,0.000322213501150347,0.000809610841371314,3.80410069423259e-05,1.68225800788966e-05
DEL,C,1,3,0.00244265741765735,0.00248351427194292,0.00188529333455927,0.00188081994046416,0.0129791953573879,0.00518480844377488,0.0644665011536531,0.00102302471530966,0.00211695197959874,0.00255195798953978,0.00216475350256872,0.0109286967309393,0.000351420738033301,0.000394809884616079,9.23348868506928e-05,0.00192865244973601
DEL,C,1,4,0.00386548576953045,0.00395154998858065,0.000640409445319673,3.57428928119413e-06,0.00303174315141995,0.00128789498429415,0.043178933243408,0.00246854604417964,0.00182666760500201,0.00399229746353051,0.00265301491369184,0.0132023908882801,0.00219151377713802,0.000884672217004191,8.39706326934943e-05,0.0040045728732273
DEL,C,1,5+,0.0144913589866506,0.0146238060809085,0.00343616098489149,0.00347177549532921,0.00255026558269193,6.42326513698669e-06,0.0220278376055467,0.00133698148463322,0.00820385074175596,0.0149476703991473,0.0102192756836541,6.58177082416722e-06,0.00154610284928693,0.00217278553038365,0.000119920077131689,0.014876761356234
DEL,T,1,0,0.00790644063991929,0.00802640668707728,0.00120292579589081,0.000571711344244061,0.0985831598737958,0.0355645882324978,0.0414369983751137,0.00452157400712353,0.00330103866477263,0.00792165848364606,0.00477287315736154,0.110813223388797,0.0186931904567286,0.00332673478151846,0.000225555194837185,0.00733710434823238
DEL,T,1,1,6.45055114343729e-07,7.11190972197882e-07,5.01943511558681e-07,2.27873120211679e-07,0.142968350872914,0.00880765046165283,0.00826289299338851,3.77182410454877e-05,2.72439183801336e-06,7.33018065776219e-06,5.79390888270651e-06,0.0373651343199098,0.00033015883671959,0.0124850928783528,3.87046617779453e-05,2.00233550779471e-05
DEL,T,1,2,0.00705137788100742,0.00718484997673753,0.00081383715932898,9.85532912403997e-07,0.107578727186263,0.00827894030294366,0.0216410791431899,0.0120339606162203,0.00299335804117429,0.00723022441049004,0.00441777789866124,0.0909641666088648,0.0111912631659268,9.00941211534385e-05,0.000117570456430351,0.0063873961528705
DEL,T,1,3,0.0201342241394222,0.0203667681485692,0.00217050265443199,0.00193129620007852,0.0875550013164401,0.0091760798878792,0.022582199652736,0.0224634746664297,0.00919907809327232,0.0203687481799812,0.0127083951037241,0.118303631490555,0.0170692652158208,7.96900938606797e-05,0.00011550591045871,0.019689753755514
DEL,T,1,4,0.0468706112112047,0.0472084080365226,0.00426573308017591,0.00454219739494793,0.0495845101885711,2.01299383005194e-06,0.0176300101766235,0.0179175064846543,0.0220661824487923,0.0472140874607356,0.0299552437996923,0.0997664734335178,0.0119818353929008,9.45440957892856e-05,0.000467066207425871,0.0473498070569175
DEL,T,1,5+,0.811524141373537,0.815543434138078,5.03120531981853e-06,4.7731281404134e-07,0.0205523918705661,8.067001970234e-06,0.00573399458447587,0.00565684344274536,0.344276123373337,0.821794117689478,0.492714896301715,6.97680075245087e-06,0.00637274391577487,0.000524788577691685,0.000391960063272894,0.839371684319836
INS,C,1,0,5.33501913866532e-07,6.86751028442031e-07,5.68236429363703e-07,2.38972540242421e-07,0.000530406170799371,0.00262818500012307,0.00200079705166222,0.00201997243356646,2.47096747961634e-06,6.30394821578644e-06,4.50586207418897e-06,3.34072865312409e-06,0.472490390569672,7.01135222933628e-05,3.76485904661603e-05,1.44656021426473e-05
INS,C,1,1,0.00022273252184878,0.000226820369588495,1.08579352914415e-06,3.83413174673249e-07,0.00106597539886666,0.00183050514973729,0.00176591858908508,0.00172954836777001,3.92820745287327e-06,1.53830872229688e-05,5.63255979750673e-06,3.5068931547596e-06,0.0130647630639411,7.62183228733263e-05,0.169819584338678,1.58561898274341e-05
INS,C,1,2,2.16927652738914e-05,1.89098602635185e-05,8.0445296513086e-07,3.36936947695581e-07,0.0029846941661191,0.000801415802060603,0.00195341058243968,5.10062705731588e-05,3.86263369005806e-06,1.40140659110046e-05,6.39969376134397e-06,3.06429845940237e-06,0.000527830220169844,3.57585904773427e-05,0.0981659899158773,1.69644505959485e-05
INS,C,1,3,0.000498786507072892,0.000507649802216033,0.000792732066087879,0.000304112691789349,0.00023056293182836,9.30092532846855e-07,0.00646774438963979,8.01277331016147e-06,1.90120684376006e-05,0.000377525158461225,0.000438778023237196,3.36581637507286e-06,0.00207650617168206,0.000296683499981607,0.0387034229491891,2.25174205342179e-05
INS,C,1,4,0.00286469384547288,0.00293216640640361,0.00176456555142231,0.00174884009124691,1.06148884555936e-06,1.55516071220866e-06,0.00723337237187476,0.000258677610135072,0.00235711743955012,0.00316411589393896,0.00245777869465569,2.89605307961185e-06,0.00142438346668507,4.46493370907342e-05,0.0124849319846176,0.0023346099516284
INS,C,1,5+,0.00895280128069451,0.00895266446479884,0.0243608043063714,0.02485506002355,0.000197849617466493,3.22413843127791e-06,0.00711958468870424,4.70550086293877e-05,0.0183157075775886,0.00917818111952849,0.0153799766402898,9.02798418724203e-06,0.00176261703012447,0.000160635816730312,0.00114878808645565,0.00912579390091576
INS,T,1,0,0.00133814055327281,0.00136016107680648,0.00221014019902449,0.00201525631145294,0.0106307896613548,0.0047669910647283,0.0161360460414615,0.00614894151025925,0.0016160548149511,0.00121876931505918,0.00153439957100942,0.0117983245884284,0.0333239081966125,0.00164446053620339,0.000138977606703713,0.000437014246550504
INS,T,1,1,1.81514967388137e-06,3.40999833082255e-06,1.10018038543796e-05,5.36380187066733e-07,0.0122015777470711,0.00446613571921411,0.0437080354389066,0.000931715569723239,3.62198584256851e-06,1.3645356423123e-05,7.85889130272461e-06,0.0100051875585321,0.00319751525916923,0.000260652658245734,0.328535031378139,1.85105649199461e-05
INS,T,1,2,0.000670557984561573,0.000686746957159987,0.000130509535784409,4.05075435618021e-07,0.0268576449020212,0.000274649584755656,0.0425970336958733,0.00072263216932106,4.86889247957198e-06,0.00064214260493696,1.24165712679843e-05,0.00146856790475613,0.00190314095362829,4.59029999942294e-05,0.173088550494796,2.1226327477056e-05
INS,T,1,3,0.00108531168283721,0.00107076292093324,0.00425545813392019,0.0043410832783763,0.0176937835052358,0.000704767683745166,0.0260269878277607,0.000927007450048033,0.00292807028198573,0.000908463469085031,0.00236155147092112,0.000626202905493712,0.00104905110757124,7.83605373354773e-05,0.114079408260199,0.000328385416761368
INS,T,1,4,0.00348355786625733,0.00344877034101555,0.0166702601938171,0.0169888154181169,0.0115523477378933,2.06425916239243e-06,0.00662727447688588,0.00130462804446343,0.0113514981679632,0.00333717286829823,0.00893876978001638,0.000274425132222682,0.00463663997546284,0.000114473527640238,0.0510879321241046,0.00304663189980761
INS,T,1,5+,0.00630601706320618,1.07827373784002e-05,0.893733572708492,0.903032158386481,1.63299156478469e-06,3.06670774051674e-06,0.0226399299262617,0.0129162052039175,0.528007444491847,0.000356223167839617,0.362367742380569,1.45738133575279e-05,0.241641074715316,0.000312644987622885,9.55135433249237e-05,9.93792430055525e-05
DEL,repeats,2,0,0.000215151707914923,0.000221166291924386,0.000624985222011261,0.000285572045829322,0.0279967517867992,0.00923704900261077,0.00749399472629566,0.00182669545670216,5.94329713160236e-06,1.78555334719281e-05,9.01389081649667e-06,0.0138027611471492,0.000578929330975767,0.0723507850297521,4.4558938146409e-05,2.19977667537802e-05
DEL,repeats,2,1,0.00354853850404289,0.00361073302692968,0.00115324026659973,0.00109719995250422,0.0225334941655708,0.0104278453794319,0.00969239424358809,0.00250616953148133,0.0019423790458958,0.00356808221802754,0.00265880187180336,0.00297081901635717,0.00646072184078409,0.233135906922613,0.00119551507541036,0.00312925740671187
DEL,repeats,2,2,0.00185836573139045,0.00192088945381438,0.000391935813086992,5.248176505881e-07,0.00457130007207132,1.57675422563276e-06,0.0120445003331974,0.00232242465652562,0.00104840276104373,0.00205789009066887,0.00124605311060808,7.29231277191496e-06,0.00286136112179085,0.0560198271003892,4.23177272277527e-05,0.00176848365780605
DEL,repeats,2,3,0.00079000868726492,0.000805325296761106,0.000383094169464093,3.47363430679879e-07,1.47706281309514e-06,9.45831196376592e-07,0.00711160288314914,0.000316712996177463,5.53093836936615e-06,0.000620006897223562,0.000408702221315168,3.68334650276651e-06,0.000901384055024232,0.0136024975041433,3.23807508270037e-05,3.11975502648039e-05
