Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID1 1),W.2 (ID11 0.998),W.3 (ID6 0.996),W.4 (ID5 0.993),W.5 (ID13 0.984),W.6 (False Positive) (ID14 0.888),W.7 (ID2 1),W.8 (ID8 0.998),W.9 (ID9 0.994),W.10 (ID3 0.991),W.11 (ID4 1)
DEL,C,1,0,7.99389217669963e-79,3.44745839817426e-58,0.0246736999014395,0.0217686181274223,1.12988310383182e-62,0.00138857937351185,0.0047725157526583,0.036461720829346,0.37626900121553,0.110605190196302,0.00586900382712527
DEL,C,1,1,0.000629721351942046,0,0.000491896323181578,0.0271854601931803,5.09053193843857e-120,0,3.0528537344841e-05,0.0215577565753666,0.107753429787726,0.233909247856409,2.15428370457179e-33
DEL,C,1,2,0,0,0.00738631705639576,0.0259881939169452,0.00530641196788574,4.05261337453363e-110,0,8.30807123751117e-32,0,0.206094506535149,0
DEL,C,1,3,0.00187948875915654,5.75448215188749e-193,6.60850233786862e-79,0.0141699066052702,0.00371479035725852,0,0.00248279996766055,0.00467491829172413,0.0105920942794001,0.0737406341008896,0.000229689195136984
DEL,C,1,4,0.000615815786308973,6.81725339260929e-251,0.00206234249486064,0.00235368540062987,0.00261639464946762,0.00182436665056161,0.00388743781760532,0.000400723948360925,0.0137457628206444,0.0499310883999721,0.000583830419776165
DEL,C,1,5+,0.00338303505006399,4.31526890690269e-149,0.00102013446774331,0.00298491137026157,0.000277879784130526,0.000232072672397204,0.0146297590083585,0.000428168369162824,3.74712185337946e-180,0.0255006975160948,0.00198419297423611
DEL,T,1,0,0.00122524345182149,0.000241049160190638,1.59454657528897e-61,0.108822746203077,0.0340531113972047,0.0211705555758759,0.007912925719145,0.0343026768813043,0.11451569483563,0.0326322671316053,0.00271216586485204
DEL,T,1,1,0,0,4.16619315703407e-229,0.0881692682557278,0.712887525235132,0,0,1.23647192428373e-24,1.05029933668614e-47,2.84161385808157e-09,0
DEL,T,1,2,0.000841549052490951,1.95637241700871e-128,0.0108813854466392,0.124138997234484,5.67898488703696e-37,0.0116450398567121,0.00705804230812839,0.00775936983995513,0.0953179822247784,0.0109545683799855,1.24958510384175e-210
DEL,T,1,3,0.0022370426404821,1.55038736406382e-89,0.0223094351520108,0.0949540575260377,0.0480702635727487,0.0181580159965787,0.0202523283855064,0.00764802747705955,0.12316890559316,0.0112333537710326,1.80548946996403e-267
DEL,T,1,4,0.00431903553711525,0.000244137354033853,0.0178092907709403,0.0571911786111649,3.60414176188871e-22,0.0091192316060239,0.047140031688991,1.22523622353957e-21,0.105120958439766,0.0086291947554225,3.87070394884207e-140
DEL,T,1,5+,1.38236358148251e-19,3.17590150241273e-76,9.63344954239263e-10,0.0318467999651405,1.20925934980419e-62,6.52918002742984e-140,0.815044819324581,0.0111483819415757,2.73442026126592e-49,0.00858737345182012,1.44010761967858e-86
INS,C,1,0,0,0,3.93600110596384e-242,0,0,0.70268492034493,0,0,0,0,0
INS,C,1,1,0,0.177689797731213,0.00190687862921638,0,1.13693727548251e-76,0.0179520283921319,0.000209422698191642,4.1084961681025e-91,0,2.49727148750178e-289,1.9799085972081e-184
INS,C,1,2,0,0.100077723981662,0,0.00298557879934451,8.54187304494845e-225,0,1.93391134875415e-05,1.92037288017975e-272,0,0.000854945535316191,0
INS,C,1,3,0.000606903047361881,0.0376280725195284,0,0,0,0.00193484633639606,0.000478513865086843,0,0,0.00672283054320136,0.000214437327894772
INS,C,1,4,0.00173656993024845,0.0118902714887081,0.000158324198006357,1.66880539717241e-308,0,0.00111311392950029,0.00293138146248644,0,0,0.00826028322473191,0
INS,C,1,5+,0.024407023100938,0.00146119146183961,1.67446725267935e-308,0.000356637011613343,0.000155117818326465,0,0.00904750478076888,1.96703302748293e-104,1.48241927307184e-71,0.00769710996013516,7.74371930966508e-05
INS,T,1,0,0.00231005863109275,0.000380632533060494,0.00634766982650269,0.00447130202466925,0.0555711247027032,0.0489364823126364,0.00132467367989985,0.00331462905669927,0.010373237982392,0.0192907127824889,8.84668473265434e-45
INS,T,1,1,0,0.327796589279143,3.16373893235064e-76,0.012130928829358,1.17883155682466e-131,0.00104664189655366,0,0.00239890351558826,0.0112809840809796,0.0451070262820046,3.28611290485746e-204
INS,T,1,2,6.6938588642153e-05,0.169504497365472,0.000102332250472866,0.0305712611669439,4.20602797846449e-104,0.00104341624563816,0.000672732954993207,2.1262521940151e-283,0.000483018765386297,0.0450946715334801,0
INS,T,1,3,0.00426494419235045,0.112525749609489,0.000578481475168023,0.0189459721602073,0.00976357968597966,0,0.00108823420066444,1.806582356885e-31,0.000403260151472123,0.0276210546030123,0
