Signature,NumberOfPostSamples
low confidence hdp.1,3525
low confidence hdp.2,3187
low confidence hdp.3,2864
low confidence hdp.4,1431
low confidence hdp.5,971
low confidence hdp.6,962
low confidence hdp.7,517
low confidence hdp.8,453
low confidence hdp.9,400
low confidence hdp.10,397
low confidence hdp.11,394
low confidence hdp.12,390
low confidence hdp.13,376
low confidence hdp.14,363
low confidence hdp.15,336
low confidence hdp.16,335
low confidence hdp.17,332
low confidence hdp.18,308
low confidence hdp.19,269
low confidence hdp.20,264
low confidence hdp.21,249
low confidence hdp.22,232
low confidence hdp.23,229
low confidence hdp.24,224
low confidence hdp.25,202
low confidence hdp.26,200
low confidence hdp.27,200
low confidence hdp.28,200
low confidence hdp.29,200
low confidence hdp.30,199
low confidence hdp.31,199
low confidence hdp.32,199
low confidence hdp.33,198
low confidence hdp.34,198
low confidence hdp.35,198
low confidence hdp.36,197
low confidence hdp.37,194
low confidence hdp.38,188
low confidence hdp.39,171
low confidence hdp.40,135
low confidence hdp.41,134
low confidence hdp.42,112
low confidence hdp.43,112
low confidence hdp.44,105
low confidence hdp.45,93
low confidence hdp.46,87
low confidence hdp.47,81
low confidence hdp.48,49
low confidence hdp.49,47
low confidence hdp.50,35
low confidence hdp.51,34
low confidence hdp.52,32
low confidence hdp.53,29
low confidence hdp.54,27
low confidence hdp.55,27
low confidence hdp.56,26
low confidence hdp.57,22
low confidence hdp.58,21
low confidence hdp.59,18
low confidence hdp.60,18
low confidence hdp.61,14
low confidence hdp.62,14
low confidence hdp.63,12
low confidence hdp.64,11
low confidence hdp.65,10
low confidence hdp.66,9
low confidence hdp.67,9
low confidence hdp.68,9
low confidence hdp.69,7
low confidence hdp.70,7
low confidence hdp.71,7
low confidence hdp.72,4
low confidence hdp.73,4
low confidence hdp.74,4
low confidence hdp.75,3
low confidence hdp.76,2
low confidence hdp.77,2
low confidence hdp.78,2
low confidence hdp.79,2
low confidence hdp.80,2
low confidence hdp.81,2
low confidence hdp.82,2
low confidence hdp.83,2
low confidence hdp.84,2
low confidence hdp.85,2
low confidence hdp.86,2
low confidence hdp.87,2
