MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	0.00213874	0.00000000	0.00050601	0.00076909	0.02659880	0.09817311	0.02083351	0.40426831	0.00389431	0.00356417	0.00003124	0.00525259
1:Del:C:1	0.00000167	0.00005478	0.00003414	0.00470608	0.02104262	0.24326762	0.00106651	0.09324792	0.00566913	0.00022313	0.00019068	0.00000291
1:Del:C:2	0.00000000	0.00000001	0.00000000	0.00491657	0.00004392	0.22127310	0.00437632	0.00002174	0.00655977	0.00001422	0.00362311	0.00000086
1:Del:C:3	0.00138185	0.00096314	0.01097144	0.01077849	0.00533848	0.07156506	0.00001205	0.00806686	0.00737784	0.00107134	0.00090077	0.00032188
1:Del:C:4	0.00264041	0.00031604	0.00953951	0.00018295	0.00004453	0.04640784	0.00192756	0.01173760	0.00044648	0.00119330	0.00029912	0.00216762
1:Del:C:5	0.00956856	0.00080379	0.05144910	0.00023508	0.00000000	0.02532231	0.00061480	0.00007286	0.00163512	0.00324578	0.00244631	0.00550028
1:Del:T:0	0.00405416	0.00007092	0.02713818	0.14463039	0.03828079	0.03136163	0.00043648	0.10720770	0.06093406	0.00310430	0.00094693	0.01982559
1:Del:T:1	0.00000000	0.00000001	0.00000000	0.00279822	0.01786345	0.00451921	0.00000001	0.00725557	0.46416308	0.00197732	0.00005381	0.00000002
1:Del:T:2	0.00312160	0.00007052	0.02164814	0.17773160	0.00359639	0.01193864	0.01058510	0.08495616	0.03685486	0.00041673	0.00044805	0.00995512
1:Del:T:3	0.00753719	0.00033799	0.08493639	0.12974732	0.00228748	0.00540343	0.01842550	0.12904376	0.06289687	0.00038209	0.00153444	0.01758997
1:Del:T:4	0.01827865	0.00034633	0.23325565	0.09686295	0.00000000	0.00444644	0.01289568	0.08897558	0.00977241	0.00048772	0.00033528	0.01534362
1:Del:T:5	0.91124362	0.00040058	0.02758904	0.01845098	0.00021990	0.00047191	0.00049795	0.00816348	0.00237412	0.00199012	0.00249575	0.01154288
1:Ins:C:0	0.00000000	0.00000000	0.00000000	0.00000007	0.00000019	0.00000013	0.00000956	0.00000014	0.00184496	0.00000014	0.00000023	0.55312669
1:Ins:C:1	0.00017423	0.00000000	0.00002262	0.00026746	0.00013816	0.00012711	0.00087116	0.00000000	0.00005709	0.00000000	0.14005409	0.02267448
1:Ins:C:2	0.00000260	0.00000000	0.00000221	0.00137326	0.00017049	0.00040886	0.00000530	0.00000619	0.00110147	0.00000001	0.09327352	0.00450478
