Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K,ID83L
DEL,C,1,0,0.00213874,0,0.00050601,0.00076909,0.0265988,0.09817311,0.02083351,0.40426831,0.00389431,0.00356417,3.124e-05,0.00525259
DEL,C,1,1,1.67e-06,5.478e-05,3.414e-05,0.00470608,0.02104262,0.24326762,0.00106651,0.09324792,0.00566913,0.00022313,0.00019068,2.91e-06
DEL,C,1,2,0,1e-08,0,0.00491657,4.392e-05,0.2212731,0.00437632,2.174e-05,0.00655977,1.422e-05,0.00362311,8.6e-07
DEL,C,1,3,0.00138185,0.00096314,0.01097144,0.01077849,0.00533848,0.07156506,1.205e-05,0.00806686,0.00737784,0.00107134,0.00090077,0.00032188
DEL,C,1,4,0.00264041,0.00031604,0.00953951,0.00018295,4.453e-05,0.04640784,0.00192756,0.0117376,0.00044648,0.0011933,0.00029912,0.00216762
DEL,C,1,5+,0.00956856,0.00080379,0.0514491,0.00023508,0,0.02532231,0.0006148,7.286e-05,0.00163512,0.00324578,0.00244631,0.00550028
DEL,T,1,0,0.00405416,7.092e-05,0.02713818,0.14463039,0.03828079,0.03136163,0.00043648,0.1072077,0.06093406,0.0031043,0.00094693,0.01982559
DEL,T,1,1,0,1e-08,0,0.00279822,0.01786345,0.00451921,1e-08,0.00725557,0.46416308,0.00197732,5.381e-05,2e-08
DEL,T,1,2,0.0031216,7.052e-05,0.02164814,0.1777316,0.00359639,0.01193864,0.0105851,0.08495616,0.03685486,0.00041673,0.00044805,0.00995512
DEL,T,1,3,0.00753719,0.00033799,0.08493639,0.12974732,0.00228748,0.00540343,0.0184255,0.12904376,0.06289687,0.00038209,0.00153444,0.01758997
DEL,T,1,4,0.01827865,0.00034633,0.23325565,0.09686295,0,0.00444644,0.01289568,0.08897558,0.00977241,0.00048772,0.00033528,0.01534362
DEL,T,1,5+,0.91124362,0.00040058,0.02758904,0.01845098,0.0002199,0.00047191,0.00049795,0.00816348,0.00237412,0.00199012,0.00249575,0.01154288
INS,C,1,0,0,0,0,7e-08,1.9e-07,1.3e-07,9.56e-06,1.4e-07,0.00184496,1.4e-07,2.3e-07,0.55312669
INS,C,1,1,0.00017423,0,2.262e-05,0.00026746,0.00013816,0.00012711,0.00087116,0,5.709e-05,0,0.14005409,0.02267448
INS,C,1,2,2.6e-06,0,2.21e-06,0.00137326,0.00017049,0.00040886,5.3e-06,6.19e-06,0.00110147,1e-08,0.09327352,0.00450478
INS,C,1,3,0.00031824,0.00065185,0.0017675,5.034e-05,0,0.00592771,2.85e-06,0,0.00037256,0.00029659,0.03299605,0.00310907
INS,C,1,4,0.00148899,0.00118204,0.01186456,0.00015571,0.0002389,0.00623376,0.00027372,8.39e-06,0.0003778,0.00031834,0.00984804,0.00263788
INS,C,1,5+,0.00358408,0.0154952,0.07888728,0,0,0.0070025,0,0,0.01235232,0.00432642,0.00822396,0.00260975
INS,T,1,0,0.00073563,0.00162851,0.00667961,0.00032786,0.00327102,0.02001608,0.00639698,0.01224163,0.0277024,0.00144752,0.00342272,0.03537294
INS,T,1,1,0,0,0,0.00267503,0.00173694,0.04921596,1.626e-05,0.00388197,0.00417155,0.00037141,0.29342711,0.0124831
INS,T,1,2,0.00024562,0,0.00240736,0.0361269,4.43e-06,0.04132186,0,0,0.00693338,2.18e-06,0.15449023,0.00718449
INS,T,1,3,0.00067797,0.00306801,0.00610882,0.01949299,6.779e-05,0.02663384,2.756e-05,3.35e-06,0.01271167,0.00073275,0.1102764,0.00484223
INS,T,1,4,0.00094668,0.01296991,0.02910107,0.00904402,0.00045485,0.00714611,0.00058955,1.791e-05,0.02878806,0.00262803,0.05626512,0.00798949
INS,T,1,5+,0.00136861,0.94030126,0.16876266,0.0014506,0.00253288,0.00606269,0.00516748,0.00873343,0.01824993,0.01391751,0.04412332,0.10777422
DEL,repeats,2,0,1.747e-05,7.161e-05,2.306e-05,0.03129429,0.0078359,0.00690268,0.00075727,0.01113176,0.02565001,0.07143493,9.86e-06,0.00122897
DEL,repeats,2,1,0.00163231,2.622e-05,0.00975177,0.02106334,0.00630444,0.00841403,0.00083846,0.00017411,0.00739125,0.22656701,0.00136803,0.00885397
DEL,repeats,2,2,0.00131522,4.654e-05,0.00413927,0.00086499,3.649e-05,0.01379691,0.00148928,4.06e-05,0.00224054,0.04930184,0.00109374,0.00475146
DEL,repeats,2,3,0.00062576,0.00027365,0.00159456,6.8e-06,0,0.00708252,0.00018001,0,2.028e-05,0.00917365,4.589e-05,0.00059343
DEL,repeats,2,4,0.0005253,4.73e-06,0.00307417,0.00100829,4.465e-05,0.00300377,0.00017634,0.00021663,0.00024321,0.0031567,0.00014683,0.00025015
DEL,repeats,2,5+,0,0,0,0.01668437,0.00124334,0.00118683,0,0,0.0346992,0.00084016,0.00486458,0.00015832
DEL,repeats,3,0,1e-06,2.851e-05,1.284e-05,0.02343491,0.01271787,0.0011204,0.00094678,0.00145275,0.00978784,0.00473691,0.00059051,0.0010926
DEL,repeats,3,1,0.00317235,0.00264743,0.02121559,0.00192101,2.074e-05,1.1e-06,0.00440517,0.00123852,0.00230462,0.09990765,0.00184378,0.0072519
