"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID11","ID13","ID14"
"ID83A",0.00257629664795789,0.998613133515202,0.0291099645648533,0.00384615718010084,0.139653433938314,0.0234174133771222,0.0281279243386227,0.00950933469335846,0.0165123672730882,0.014023330033937,0.0767463684481861
"ID83B",0.999581625286577,0.00437089915320588,0.0817347344710906,0.00299773761132649,0.00754526276503054,0.0382142457231052,0.050884040292329,0.0147153462546428,0.0578561582457903,0.0221911307337095,0.451587182715237
"ID83C",0.0376260665013228,0.170987286128466,0.130727342279847,0.0552271357714723,0.502201867638956,0.0803498102098928,0.0404388655628315,0.412428486029065,0.0250774011827035,0.118927925224931,0.0681879515242438
"ID83D",0.00857478272418999,0.0575987820558511,0.257628020160884,0.161857257910071,0.889633077044448,0.0838559956727546,0.130729836444155,0.445452809867254,0.221273534303359,0.234704107217707,0.0611295420477296
"ID83E",0.00513983293800691,0.00210213026418604,0.0544586940541534,0.0274911419785911,0.139235695538125,0.359875656971189,0.987463560248934,0.0570209027280042,0.00963575170107045,0.0714291198905991,0.0267905677730605
"ID83F",0.0106322814338721,0.00810060228037957,0.975160304236922,0.0658437792333124,0.266828601962258,0.0504396388001023,0.084843454612058,0.390659977509848,0.203050334515688,0.0880718112979609,0.0220923262724467
"ID83G",0.710122020276057,0.0504035870446774,0.143738189696497,0.0614399983096653,0.138785167504446,0.0887339391659792,0.100790798096604,0.0808418219387381,0.20754966984632,0.0484052548129983,0.32949680613144
"ID83H",0.0111054193423007,0.00460633546001266,0.0407394026680952,0.0188538162891854,0.0927586002035823,0.996607309015786,0.426167563182124,0.068076904946737,0.00510651251451666,0.039373435899726,0.0209919251644314
"ID83I",0.00755744953099469,0.029320296160495,0.557364486848966,0.0355155374896799,0.43838769112451,0.104258129225417,0.136415752106846,0.986723294535108,0.0187222275606634,0.19689241234283,0.050465499316243
"ID83J",0.00606591416570323,0.00774967481736499,0.0763557530180279,0.0350683308303577,0.560075637143139,0.0214037711719371,0.0528125930649681,0.169769680172635,0.0162263668976621,0.988469523458204,0.0181331532125417
"ID83K",0.0050293100367701,0.0078200923735785,0.057817005756339,0.99005899107972,0.216132372836682,0.0275977259493125,0.0446075167682132,0.0578818587476503,0.00530326336041942,0.0398538875103375,0.0198823345269951
"ID83L",0.244557748935865,0.102929281096727,0.0433735261026327,0.013682362171994,0.0543631321803557,0.0250431116893658,0.0314859246093159,0.02944187689624,0.0318920688053219,0.0277231304893936,0.97457274958309
