"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.911961013566984
"SBS96B","SBS2",0.999742002082287
"SBS96C","SBS7b",0.99708792149124
"SBS96D","SBS4",0.990593812742953
"SBS96E","SBS5",0.914169599817696
"SBS96F","SBS40",0.932244291315331
"SBS96G","SBS3",0.940356306745912
"SBS96H","SBS44",0.998289482386325
"SBS96I","SBS1",0.999852774979006
"SBS96J","SBS17b",0.99923004230668
"SBS96K","SBS12",0.949788591887037
"SBS96L","SBS18",0.988765069130833
"SBS96M","SBS7c",0.998176872857
"SBS96N","SBS17a",0.999758095706858
"SBS96O","SBS7d",0.993940590513462
"SBS96P","SBS13",0.999912647034975
"SBS96Q","SBS22",0.975233055763583
"SBS96R","SBS28",0.972322140969664
