"ex.sig","ref.sig","sim"
"hdp.4","SBS1",0.999440652478754
"hdp.2","SBS2",0.999961470881158
"hdp.16","SBS3",0.998330568727342
"hdp.12","SBS4",0.998506164746041
"hdp.7","SBS5",0.999511558262164
"hdp.14","SBS7a",0.997871198768548
"hdp.6","SBS7c",0.999517059361076
"hdp.19","SBS7d",0.998376916669378
"hdp.8","SBS12",0.997883542456294
"hdp.13","SBS13",0.999669861839742
"hdp.20","SBS16",0.995685575546409
"hdp.11","SBS17a",0.9993510809125
"hdp.3","SBS17b",0.999255504742674
"hdp.10","SBS18",0.99921488005758
"hdp.17","SBS22",0.995445072497623
"hdp.5","SBS28",0.995776979839412
"hdp.18","SBS29",0.988515776480494
"hdp.21","SBS35",0.986705299690542
"hdp.23","SBS38",0.990196767943508
"hdp.1","SBS40",0.999646157825559
"hdp.15","SBS41",0.996417409685507
"hdp.9","SBS44",0.997005722871451
