Signature,NumberOfPostSamples
low confidence hdp.1,3585
low confidence hdp.2,3400
low confidence hdp.3,3396
low confidence hdp.4,2968
low confidence hdp.5,2600
low confidence hdp.6,2289
low confidence hdp.7,2195
low confidence hdp.8,1870
low confidence hdp.9,1600
low confidence hdp.10,1593
low confidence hdp.11,1200
low confidence hdp.12,800
low confidence hdp.13,800
low confidence hdp.14,623
low confidence hdp.15,603
low confidence hdp.16,598
low confidence hdp.17,433
low confidence hdp.18,400
low confidence hdp.19,391
low confidence hdp.20,349
low confidence hdp.21,202
low confidence hdp.22,200
low confidence hdp.23,200
low confidence hdp.24,147
low confidence hdp.25,142
low confidence hdp.26,119
low confidence hdp.27,116
low confidence hdp.28,106
low confidence hdp.29,93
low confidence hdp.30,93
low confidence hdp.31,77
low confidence hdp.32,73
low confidence hdp.33,72
low confidence hdp.34,50
low confidence hdp.35,48
low confidence hdp.36,27
low confidence hdp.37,21
low confidence hdp.38,19
low confidence hdp.39,17
low confidence hdp.40,14
low confidence hdp.41,13
low confidence hdp.42,13
low confidence hdp.43,11
low confidence hdp.44,8
low confidence hdp.45,8
low confidence hdp.46,8
low confidence hdp.47,7
low confidence hdp.48,6
low confidence hdp.49,6
low confidence hdp.50,5
low confidence hdp.51,4
low confidence hdp.52,4
low confidence hdp.53,4
low confidence hdp.54,4
low confidence hdp.55,4
low confidence hdp.56,4
low confidence hdp.57,3
low confidence hdp.58,3
low confidence hdp.59,3
low confidence hdp.60,3
low confidence hdp.61,2
low confidence hdp.62,2
low confidence hdp.63,2
low confidence hdp.64,2
low confidence hdp.65,2
low confidence hdp.66,2
low confidence hdp.67,2
low confidence hdp.68,2
low confidence hdp.69,2
low confidence hdp.70,2
low confidence hdp.71,2
low confidence hdp.72,2
low confidence hdp.73,2
low confidence hdp.74,2
low confidence hdp.75,2
low confidence hdp.76,2
low confidence hdp.77,2
