"ex.sig","gt.sig","sim"
"SBS96B","SBS3",0.928549113360283
"SBS96C","SBS40",0.925815138435031
"SBS96D","SBS4",0.984445258470998
"SBS96E","SBS7a",0.935751420632914
"SBS96F","SBS1",0.999548122432109
"SBS96G","SBS12",0.940639922918147
"SBS96H","SBS17b",0.999516966387251
"SBS96I","SBS2",0.997194654127448
"SBS96J","SBS18",0.98850200540426
"SBS96K","SBS7b",0.98427709497391
"SBS96L","SBS17a",0.999697079327635
"SBS96M","SBS44",0.994054248333658
"SBS96N","SBS13",0.99817927406354
"SBS96O","SBS7c",0.995503976302036
"SBS96P","SBS7d",0.958770938633562
"SBS96Q","SBS22",0.973176953738283
"SBS96R","SBS28",0.956857946274619
