Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID11 0.996),W.2 (False Positive) (ID5 0.434),W.3 (False Positive) (ID9 0.233),W.4 (False Positive) (ID5 0.361),W.5 (False Positive) (ID5 0.844),W.6 (ID1 1),W.7 (ID8 0.985),W.8 (ID13 0.974),W.9 (ID4 0.989),W.10 (ID3 0.98),W.11 (False Positive) (ID14 0.887),W.12 (False Positive) (ID5 0.391),W.13 (ID6 0.991),W.14 (False Positive) (ID9 0.886),W.15 (ID2 1)
DEL,C,1,0,6.00718557193824e-307,3.78346495171328e-214,1.20693439622397e-08,0.027897053837412,7.07333575422739e-09,0,0.0117071180488657,1.05390069661286e-28,0.00884282709857238,0.0955187108810971,0.000559289620889902,2.25748583528825e-104,0.0200807979230628,0.620558405977207,0.00226676589655043
DEL,C,1,1,2.87850674344284e-206,2.66585565042698e-152,0,0,0.0251561262293831,0.000407601453757719,0.0196138436393415,2.22607412571381e-234,0,0.2476335830405,0,0,0.000698677559207524,0.142113062694421,0
DEL,C,1,2,0,0,0,0,0.0285880449229502,0,0,0.0015898750949253,0,0.222629566467601,0,0,0.00526926599824058,0,0
DEL,C,1,3,0,8.07111868423119e-135,0.0121306857642683,0.00951718996003999,0.0154319310961832,0.00194666140604925,0.00523192006404304,0.00177962128316967,9.39163722604703e-05,0.0787466644151164,3.74358742686788e-111,4.03467813342543e-244,0,0.0127277739121879,0.00161962313643122
DEL,C,1,4,1.15296385150708e-167,1.48701705992505e-80,2.41247888809291e-71,0.0359698375554999,3.22153534215374e-296,0.000283621658276569,4.48844755287163e-148,0.000865130910438857,0.00171519369012973,0.0490336935310266,0.00226274872883237,0.0059446372751074,0.00175612675865536,0.0191823683391019,0.0019337657094846
DEL,C,1,5+,0,0,4.62714527192277e-236,0.117428955019567,7.99812917379729e-225,0.001102295497444,0,0,0.00159368589827965,0.0278707106711737,0.00576228179259659,2.11196510560994e-212,0.000667755250584597,0,0.00966918373262935
DEL,T,1,0,8.34355034127359e-287,0.989318920019575,3.09259044456511e-131,0.0491318442969956,0.103468878046882,7.9262543448209e-63,0.0137836217531395,1.21143052546106e-31,5.3342242296101e-41,0.0308656859381732,0.0106902360237573,8.52736803313398e-19,2.36345105402414e-70,1.47610363634407e-07,0.00350426583771285
DEL,T,1,1,0,0,0,0,0.0808957930217561,0,1.66880539388045e-308,0.795583171305372,0,4.07657199884238e-50,0,0,0,0,0
DEL,T,1,2,0,0,0,0.0575431193646605,0.199390815421252,1.03656869742051e-57,1.37769790997089e-35,2.48981460520188e-182,0,1.20458682886541e-41,0.00619939348905719,0.00919696514042695,0.00839352106102922,0.136914554619831,0.00471472140581702
DEL,T,1,3,0,1.27166163954294e-204,7.19658254542519e-169,0.0255874169561334,8.77212716018694e-10,2.52597292850751e-17,1.85173339493229e-100,8.00957091809796e-106,1.24180014618795e-195,5.43615404747822e-37,2.29226612879499e-153,0.913490866450458,3.34436670264643e-26,1.27003008453005e-66,0.0140926882054313
