Signature,NumberOfPostSamples
low confidence hdp.1,3510
low confidence hdp.2,3440
low confidence hdp.3,3387
low confidence hdp.4,3000
low confidence hdp.5,2589
low confidence hdp.6,2002
low confidence hdp.7,2001
low confidence hdp.8,2001
low confidence hdp.9,1800
low confidence hdp.10,1666
low confidence hdp.11,1657
low confidence hdp.12,1600
low confidence hdp.13,1471
low confidence hdp.14,1400
low confidence hdp.15,1200
low confidence hdp.16,1073
low confidence hdp.17,1000
low confidence hdp.18,1000
low confidence hdp.19,1000
low confidence hdp.20,931
low confidence hdp.21,802
low confidence hdp.22,800
low confidence hdp.23,791
low confidence hdp.24,736
low confidence hdp.25,705
low confidence hdp.26,663
low confidence hdp.27,600
low confidence hdp.28,554
low confidence hdp.29,512
low confidence hdp.30,511
low confidence hdp.31,479
low confidence hdp.32,474
low confidence hdp.33,382
low confidence hdp.34,369
low confidence hdp.35,358
low confidence hdp.36,351
low confidence hdp.37,333
low confidence hdp.38,330
low confidence hdp.39,309
low confidence hdp.40,276
low confidence hdp.41,257
low confidence hdp.42,252
low confidence hdp.43,243
low confidence hdp.44,237
low confidence hdp.45,231
low confidence hdp.46,219
low confidence hdp.47,217
low confidence hdp.48,215
low confidence hdp.49,208
low confidence hdp.50,200
low confidence hdp.51,200
low confidence hdp.52,200
low confidence hdp.53,200
low confidence hdp.54,200
low confidence hdp.55,195
low confidence hdp.56,185
low confidence hdp.57,173
low confidence hdp.58,173
low confidence hdp.59,173
low confidence hdp.60,165
low confidence hdp.61,160
low confidence hdp.62,151
low confidence hdp.63,150
low confidence hdp.64,148
low confidence hdp.65,148
low confidence hdp.66,147
low confidence hdp.67,145
low confidence hdp.68,140
low confidence hdp.69,136
low confidence hdp.70,132
low confidence hdp.71,127
low confidence hdp.72,127
low confidence hdp.73,110
low confidence hdp.74,102
low confidence hdp.75,98
low confidence hdp.76,97
low confidence hdp.77,93
low confidence hdp.78,91
low confidence hdp.79,90
low confidence hdp.80,88
low confidence hdp.81,88
low confidence hdp.82,87
low confidence hdp.83,83
low confidence hdp.84,83
low confidence hdp.85,82
low confidence hdp.86,78
low confidence hdp.87,74
low confidence hdp.88,73
low confidence hdp.89,71
low confidence hdp.90,71
low confidence hdp.91,70
low confidence hdp.92,69
low confidence hdp.93,59
low confidence hdp.94,55
low confidence hdp.95,53
low confidence hdp.96,50
low confidence hdp.97,50
low confidence hdp.98,50
low confidence hdp.99,49
low confidence hdp.100,48
low confidence hdp.101,47
low confidence hdp.102,43
low confidence hdp.103,43
low confidence hdp.104,40
low confidence hdp.105,35
low confidence hdp.106,34
low confidence hdp.107,33
low confidence hdp.108,33
low confidence hdp.109,29
low confidence hdp.110,28
low confidence hdp.111,28
low confidence hdp.112,27
low confidence hdp.113,23
low confidence hdp.114,21
low confidence hdp.115,19
low confidence hdp.116,18
low confidence hdp.117,17
low confidence hdp.118,17
low confidence hdp.119,17
low confidence hdp.120,16
low confidence hdp.121,16
low confidence hdp.122,16
low confidence hdp.123,15
low confidence hdp.124,15
low confidence hdp.125,12
low confidence hdp.126,11
low confidence hdp.127,11
low confidence hdp.128,10
low confidence hdp.129,10
low confidence hdp.130,10
low confidence hdp.131,10
low confidence hdp.132,8
low confidence hdp.133,8
low confidence hdp.134,7
low confidence hdp.135,7
low confidence hdp.136,7
low confidence hdp.137,7
low confidence hdp.138,6
low confidence hdp.139,6
low confidence hdp.140,6
low confidence hdp.141,4
low confidence hdp.142,4
low confidence hdp.143,4
low confidence hdp.144,4
low confidence hdp.145,4
low confidence hdp.146,4
low confidence hdp.147,4
low confidence hdp.148,4
low confidence hdp.149,4
low confidence hdp.150,4
low confidence hdp.151,4
low confidence hdp.152,4
low confidence hdp.153,4
low confidence hdp.154,4
low confidence hdp.155,3
low confidence hdp.156,2
low confidence hdp.157,2
low confidence hdp.158,2
low confidence hdp.159,2
low confidence hdp.160,2
low confidence hdp.161,2
low confidence hdp.162,2
low confidence hdp.163,2
low confidence hdp.164,2
low confidence hdp.165,2
low confidence hdp.166,2
low confidence hdp.167,2
low confidence hdp.168,2
low confidence hdp.169,2
low confidence hdp.170,2
low confidence hdp.171,2
low confidence hdp.172,2
low confidence hdp.173,2
low confidence hdp.174,2
low confidence hdp.175,2
low confidence hdp.176,2
low confidence hdp.177,2
low confidence hdp.178,2
low confidence hdp.179,2
low confidence hdp.180,2
low confidence hdp.181,2
low confidence hdp.182,2
low confidence hdp.183,2
low confidence hdp.184,2
low confidence hdp.185,2
low confidence hdp.186,2
low confidence hdp.187,2
low confidence hdp.188,2
low confidence hdp.189,2
low confidence hdp.190,2
