Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3200
low confidence hdp.3,3044
low confidence hdp.4,2800
low confidence hdp.5,1994
low confidence hdp.6,1801
low confidence hdp.7,1596
low confidence hdp.8,1400
low confidence hdp.9,1196
low confidence hdp.10,1085
low confidence hdp.11,1061
low confidence hdp.12,998
low confidence hdp.13,800
low confidence hdp.14,740
low confidence hdp.15,581
low confidence hdp.16,402
low confidence hdp.17,396
low confidence hdp.18,393
low confidence hdp.19,45
low confidence hdp.20,40
low confidence hdp.21,7
low confidence hdp.22,4
low confidence hdp.23,2
low confidence hdp.24,2
