Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11
DEL,C,1,0,0.00230691627856041,0.0138599619585302,0.0125956422928841,0.232404444288643,0.0194958669507815,0.0168668953958657,0.0547490328387633,0.445383158186784,0.00939182307580387,0.0580791251943734,0.0657540943534588
DEL,C,1,1,0.000334447382623145,0.00739599382734288,0.000702211790321099,0.101695209757626,0.0308401008208733,0.0245401959128632,0.0014176785466226,0.0234600104155533,0.00189145933362433,0.000902895715544855,0.00317770716206307
DEL,C,1,2,9.32300468611255e-06,0.00686301849908142,5.36002482391833e-05,0.0884478849568586,0.0244968610199888,0.0213254509763516,5.89906509332892e-05,0.0045255351615889,0.00402298850574713,1.43316780245215e-05,0.00024443901246639
DEL,C,1,3,0.00246312249607087,0.00126196424566827,0.00494176260221231,0.0564136291950664,0.0143628260715644,0.0139841026028022,0.00847752741638075,0.0099902894295779,0.00129492215917358,0.0208454256866665,0.0095331214861892
DEL,C,1,4,0.00210319369511521,0.00126877552868876,0.0154056682435864,0.0509652581238743,0.00302294772778832,0.00260825312103309,0.0183917626216206,0.0718400280173835,0.00221155245162229,0.007667447743119,0.0178440479100464
DEL,C,1,5+,0.00742284318443934,0.00103601128360172,0.0284918949559948,0.0290560709277084,0.00149522031447219,0.00305399506601159,0.217525170930168,0.0714011193308576,0.00198360735244192,0.201768529068226,0.361036421412857
DEL,T,1,0,0.00597472549593488,0.0106891129420916,0.036707710496253,0.0400277869356216,0.0716833848940893,0.107991091422443,0.109206918271308,0.0182636044636786,0.0179591638779766,0.0491934848191701,0.0938645807870936
DEL,T,1,1,8.33673325296518e-06,0.00222728954770175,7.16287922782359e-05,0.011015991114989,0.0689055151958205,0.0925575132714583,0.000196001195036412,0.0203831013333273,0.0144599641107716,4.29950340735645e-05,0.000488878024932779
DEL,T,1,2,0.00597244611306716,0.012836786159376,0.0187969760584402,0.00884357270327188,0.0841411993642844,0.0788125788048657,0.00980196267604428,0.00217407618818039,0.0118191958872884,0.0111787088591268,0.00806648741139086
DEL,T,1,3,0.0114866321632939,0.0101137562972582,0.0911996089192755,0.0141205170440925,0.158129348189644,0.0739994999510075,0.111090813252725,0.00545565771490038,0.00604539502400698,0.00660690356930441,0.00268882913713029
DEL,T,1,4,0.0374663805752592,0.0150748223980657,0.473238463898707,0.01881372905215,0.0514898104320911,0.0456829065778155,0.00460697954546752,0.0357403570851915,0.00756341238663369,0.00443565434858941,0.00684429234905891
DEL,T,1,5+,0.343634733892557,0.0181717160170862,0.0188444049973737,0.00667373785043443,0.034784295480605,0.0181281519579357,0.0109265908922241,0.0113661430842318,0.0182477326737475,0.00737364834361631,0.0153996577853825
INS,C,1,0,5.2327178814208e-06,0.000946949974062634,4.54874034216096e-05,0.00333755280845008,0.000407746314175692,0.000230685026976414,0.000108466680748306,0.00228778310178816,0.000487414520587807,2.14975170367823e-05,0.000488878024932779
INS,C,1,1,6.93787160361782e-05,0.00217482753225945,0.00144318495032616,0.00231152532708362,0.000960048297475224,0.00114847665449601,0.00124451244227004,0.00291999354144731,0.00025946942140744,0.00190611317726136,0.0024443901246639
INS,C,1,2,1.61063604318706e-05,0.000657243402924262,6.82311051324145e-05,0.00135616577977987,0.00290362224159074,0.00292313805661915,0.00024167137640412,0.00410936785778449,2.42494786362093e-05,8.5990068147129e-05,0.0024443901246639
INS,C,1,3,0.000624786515041644,0.000502612142174544,0.00180264638224327,0.00509335968630935,0.00111520064342809,0.000314026525723173,0.00300091150070313,0.00425718684547458,0.000950579562539405,0.00309564245329664,0.00317770716206307
INS,C,1,4,0.00219091705980793,0.00140660562465459,0.0171249672799261,0.00645373008152091,0.00030440879652718,0.000502296006533408,0.00699705237037756,0.00615609230272419,4.36490615451768e-05,0.00386955306662081,0.00122219506233195
INS,C,1,5+,0.022216281824147,0.0013979779994953,0.0599947647881733,0.0112973964008087,0.000517670237472325,0.00478300926130827,0.0138951526811251,0.0172720801770189,0.000761433629176973,0.0978925267464941,0.0227328281593742
INS,T,1,0,0.00208443262074245,0.0025174804767438,0.00288255617018252,0.0223660718537369,0.00774261197832414,0.00636159975180846,0.0106392493344523,0.0143793762948375,0.00276201561666424,0.00872799191693359,0.0139330237105842
INS,T,1,1,3.47551094469656e-05,0.00130240813062551,0.000195124318945746,0.0448088906036065,0.0124156667856646,0.0118982423780337,7.42140447225251e-05,0.0110272964816807,0.00168048886948931,2.14975170367823e-05,0.00024443901246639
INS,T,1,2,0.000425044632686341,0.000805578010926146,0.00612700069167203,0.03171146287588,0.0346964678859343,0.0251978641045792,0.00207418740378339,0.0107430291976613,0.00299723555943547,0.00250804365429126,0.00219995111219751
INS,T,1,3,0.00267268599811459,0.00209360676628617,0.00224261219735015,0.0245313474850219,0.0169482027531494,0.018433872105868,0.00342336067835443,0.0220705119312664,0.00172413793103448,0.00561085194660017,0.0136885846981178
INS,T,1,4,0.0090267999783097,0.00176657436419549,0.00754834336748934,0.00920729726712155,0.0099632664471446,0.0119577251320619,0.00412173386843563,0.0108521878347247,0.00512148988796741,0.0119311219554142,0.00488878024932779
INS,T,1,5+,0.490884239708242,0.0390029201938013,0.0132939016716274,0.0882629325358816,0.00130498473520817,0.144248682953109,0.0129018262363774,0.0223115705881149,0.00872738736117174,0.0101038330072877,0.0102664385235884
DEL,repeats,2,0,0.000347808620899422,0.00324901227314492,0.000899485666440732,0.0107696411771059,0.0334142699896216,0.0226747450440653,0.00134536742612372,0.0122416863190116,0.120013094718464,0.00248654613725448,0.000733317037399169
DEL,repeats,2,1,0.00300911962181838,0.00416402489793368,0.0156550862163113,0.0123032113332927,0.0213353863088917,0.0233933098413484,0.0361498514767643,0.024612998519536,0.0171662059265726,0.039025159260772,0.0828648252261061
DEL,repeats,2,2,0.00121905888779885,0.00062215772727647,0.00341640909540047,0.0103992297549793,0.00492463956824624,0.00394409035177863,0.0225705842167659,0.0115844603583587,0.0703550123672341,0.0238335805547793,0.0266438523588365
DEL,repeats,2,3,0.000672626158835031,0.000288374586903253,0.00259423814666567,0.00734951580053953,0.000142670044926192,0.000108841321144284,0.00644520434551776,0.01655572662129,0.000640186235995926,0.00662123524732893,0.0193106819848448
DEL,repeats,2,4,0.000438978456322418,0.000255801517880799,0.00356216293990081,0.00290640242364165,0.000890306760249576,0.00081682747923475,0.00416550112557968,0.0043981834183482,0.00651583490954945,0.0072303315633711,0.00439990222439501
DEL,repeats,2,5+,7.91756789387755e-06,0.000246386811128026,6.20597958267388e-05,0.00113175076336566,0.0247045452626029,0.0169695006218296,3.42526360257808e-05,0.00113934327434977,0.00379504340656676,2.8663356049043e-05,0.00171107308726473
DEL,repeats,3,0,7.62963142825591e-05,0.00462334755246686,0.000252191594884747,0.0017465871187199,0.0194550206125283,0.0145517135009618,0.000563265570201729,0.00420488166521501,0.00147921819680877,0.000265136043453648,0.00219995111219751
DEL,repeats,3,1,0.0050524603391559,0.00195541340189258,0.0115574061778967,0.000735605068476468,0.00589477993889197,0.00629792593786138,0.0364923778370222,0.000825512192792346,0.137300548038217,0.0596556097770707,0.0222439501344415
DEL,repeats,3,2,0.00143240583664585,0.00174120611899027,0.00559134491205017,0.000518434148528901,0.00107926755132364,0.00111050464173772,0.00353563320755004,0.000757288044627689,0.00514816431446724,0.00414902078809897,0.00342214617452945
DEL,repeats,3,3,0.000496004122658425,0.000141856321040168,0.0010294298646299,5.53692128534385e-05,0.000687641996133461,0.000712353949451626,0.00196762364725874,5.23051802595701e-05,0.00939909791939473,0.00116086591998624,0.00195551209973112
DEL,repeats,3,4,4.77793716502507e-06,5.92732984627933e-05,2.88456704624842e-05,0.000173605025113205,0.00658459969818327,0.00534690879917827,2.66409391311629e-05,0.000113706913607761,0.000305543430816237,1.43316780245215e-05,0
DEL,repeats,3,5+,5.15600788106489e-06,0.000412854568148915,6.12277091787825e-05,0.000189511642529472,0.00958364514740987,0.00629921355265571,8.18257416171431e-05,0.000791400118710018,0.0022358019302585,3.58291950613038e-05,0.000733317037399169
DEL,repeats,4,0,3.68892912425817e-05,0.00210299120066996,0.000136392869710833,0.000465192572399932,0.00962595218046412,0.00977690962804873,0.000964782581392826,0.00100516911629261,0.0122653862941947,0.000515940408882774,0.00268882913713029
DEL,repeats,4,1,0.00172040257441063,0.00245248570054379,0.0101566576466163,0.000572182304830364,0.00258593440141816,0.00239276699809956,0.00706746056665278,0.000411619027260095,0.0389931616470246,0.0084341925174309,0.00146663407479834
DEL,repeats,4,2,0.000255274443327239,0.000537728090191317,0.00357672445624004,8.37377025130227e-05,0.000197698401792735,0.000168879516848553,0.00564978202003018,6.1401733348191e-05,0.0129152723216451,0.00203509827948205,0.00293326814959668
