Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID1 0.463),ID83D (False Positive) (ID5 0.857),ID83E (ID8 0.986),ID83F (ID3 0.985),ID83G (ID6 0.994),ID83H (ID9 0.991),ID83I (ID13 0.986),ID83J (ID4 0.996),ID83K (ID11 0.997),ID83L (ID14 0.964)
DEL,C,1,0,0.00204327,0,0.00012203,0.00170549,0.02602937,0.09796232,0.02100082,0.4024924,0.00275647,0.0036829,0.00055564,0.00530479
DEL,C,1,1,8e-07,2.812e-05,1.989e-05,0.00336554,0.02054574,0.24169025,0.0011805,0.09663925,0.00509686,0.00011466,0.0002189,4.37e-06
DEL,C,1,2,0,6e-08,0,0.00358797,7.83e-06,0.22497734,0.00437428,0,0.0065725,5.713e-05,1.265e-05,1e-08
DEL,C,1,3,0.00138342,0.00095759,0.01083129,0.01261263,0.00563917,0.07043627,6.05e-06,0.00838344,0.00717452,0.00110159,0.00099254,0.00021526
DEL,C,1,4,0.00258316,0.00034816,0.00991701,0.00201512,0.00012043,0.04536821,0.00190454,0.01186307,0.00026677,0.00100186,0.00019714,0.00208865
DEL,C,1,5+,0.00918234,0.00082872,0.05335312,0.00251064,0.00066657,0.02467295,0.00057282,3.374e-05,0.00294532,0.00270337,0.00202358,0.00501316
DEL,T,1,0,0.00412462,6.065e-05,0.02778477,0.14458342,0.03786132,0.03139417,0.00052173,0.10704883,0.06059212,0.00451944,0.00013689,0.01985021
DEL,T,1,1,0,1e-08,0,0.00074364,0.01568792,0.00435635,0,0.00577213,0.46031284,0.0015335,8.615e-05,3e-08
DEL,T,1,2,0.00303859,4.444e-05,0.02206126,0.17706102,0.00343734,0.01208304,0.01061836,0.08490951,0.03734402,0.00220198,0.00025399,0.00999566
DEL,T,1,3,0.00768966,0.00031642,0.08776814,0.12765788,0.0019103,0.00537275,0.0186482,0.12855514,0.06384037,0.00132681,0.00086387,0.01782036
DEL,T,1,4,0.01834981,0.00023338,0.24529049,0.09468474,0,0.004149,0.01303377,0.08828266,0.01128427,0.00084792,0.000616,0.01597269
DEL,T,1,5+,0.91269388,0.0001513,0.02355365,0.01340275,0.00029903,0.00037351,0.00049643,0.00858058,0.00211815,0.00105854,0.00302909,0.01281465
INS,C,1,0,0,0,0,1e-07,4.4e-07,1.3e-07,1.92e-06,1.4e-07,1.15e-06,1.9e-07,7.84e-06,0.55365506
INS,C,1,1,0.00017244,0,4.146e-05,0.00019594,0.00010878,0.00012421,0.00088438,0,0.00049506,0.00078099,0.14082272,0.02037148
INS,C,1,2,2.7e-06,0,1.17e-06,0.00126013,0.00014794,0.00041087,6.82e-06,0,0.00150351,0.00049064,0.09364059,0.00340043
INS,C,1,3,0.0003158,0.00066038,0.00170369,0.00017819,0.00012088,0.00595946,2.63e-06,0,0.00031393,0.00046424,0.03307637,0.00256442
INS,C,1,4,0.00142503,0.00121337,0.01220445,0.00056671,0.0004101,0.00614247,0.00026295,4.12e-06,0.00075747,0.00030623,0.00963126,0.00233786
INS,C,1,5+,0.00338951,0.01564775,0.07918783,0.00053767,0.00428623,0.00677883,0,0,0.01002166,0.0039506,0.01028022,0.00117366
INS,T,1,0,0.00070901,0.00170955,0.00703483,0.0049405,0.00347837,0.01966179,0.00633353,0.01215239,0.02542586,0.00137932,0.00123746,0.03520946
INS,T,1,1,0,1e-08,0,0.00126586,0.00167751,0.05049756,9.04e-06,0.00391523,0.00595112,0.00174089,0.29426905,0.00932254
INS,T,1,2,0.00023474,8e-08,0.00248693,0.03609547,1.702e-05,0.04191605,0,0,0.00814514,0.00107044,0.1538678,0.00555598
INS,T,1,3,0.00066253,0.00320336,0.00638528,0.019325,0.00048461,0.02707071,2.581e-05,0,0.01128987,0.00137879,0.10993348,0.00349992
INS,T,1,4,0.00089379,0.01340737,0.02984772,0.00944375,0.00224257,0.00729293,0.0005834,1.744e-05,0.01910797,0.00275705,0.05661141,0.00676322
INS,T,1,5+,0.00129659,0.93970858,0.14791027,0.00476677,0.00243587,0.00557023,0.00585058,0.00890021,0.01835659,0.0175498,0.04243346,0.11649128
DEL,repeats,2,0,1.335e-05,7.355e-05,4.047e-05,0.03069363,0.00779517,0.00693554,0.00074389,0.01097535,0.02597835,0.0709959,8.86e-06,0.00158895
DEL,repeats,2,1,0.00159622,2.825e-05,0.01023234,0.02136246,0.006423,0.00836267,0.000906,0.00032557,0.00770189,0.22353531,0.00121593,0.01021562
DEL,repeats,2,2,0.00129993,5.438e-05,0.00420786,0.00123335,7.402e-05,0.01367226,0.00147995,5.151e-05,0.00241927,0.04866013,0.00105029,0.00507111
DEL,repeats,2,3,0.0006204,0.00028074,0.00155346,0.00025033,9.146e-05,0.00693581,0.00018262,0,9.03e-05,0.00902618,6.624e-05,0.00065295
DEL,repeats,2,4,0.0005048,5.33e-06,0.00334355,0.00106126,4.718e-05,0.00296794,0.0001729,0.00022195,0.00026487,0.00309076,0.0001082,0.00025125
DEL,repeats,2,5+,0,0,0,0.0157353,0.00128437,0.00113154,0,0,0.03586359,0.00124743,0.00468214,0.00015048
DEL,repeats,3,0,6.6e-07,2.231e-05,1.421e-05,0.02350056,0.01257468,0.00110656,0.0009377,0.00148217,0.0097985,0.00495897,0.00060813,0.00110836
DEL,repeats,3,1,0.00309237,0.00265324,0.02177809,0.00247622,0.00037029,3.25e-06,0.00438817,0.00125817,0.00257148,0.09858816,0.00195121,0.00753177
DEL,repeats,3,2,0.00174274,0.00016896,0.00692812,0.00033388,0.0004714,1.146e-05,0.00036405,0.00046225,0.00054468,0.01813039,0.00042008,0.00226591
DEL,repeats,3,3,0.00033229,0.00022595,0.00107736,0.00094132,0.00016086,1.605e-05,1.2e-07,4.087e-05,0.00020434,0.00425729,0.00021581,0.00057767
DEL,repeats,3,4,0,1e-08,0,0.00725974,1.448e-05,0.00017809,0,1e-08,0.00570532,0.00043267,0.00123376,3.515e-05
DEL,repeats,3,5+,0,2e-08,0,0.01071314,4.979e-05,0.00012865,1.237e-05,0,0.00791464,0.00022342,0.00126352,2.234e-05
DEL,repeats,4,0,5.9e-07,4.05e-06,0,0.01420511,0.00792351,0.00049745,0.00161715,0.00122667,0.00618215,0.00854675,0.00014498,0.00019643
DEL,repeats,4,1,0.0009759,0.00014237,0.00880292,0.00061069,0.00013766,5.935e-05,0.00238797,0.00175285,0.00020067,0.06328134,0.00068089,0.00234353
DEL,repeats,4,2,0.0003739,3e-08,0.00119874,5.036e-05,5.29e-06,2.96e-06,0.00049786,0.00022489,1.16e-06,0.01121065,5.934e-05,0.00087169
DEL,repeats,4,3,2e-07,0,3.25e-06,0.00548437,1e-05,1.548e-05,0.00012431,6.3e-07,0.00188069,0.0039019,0.00018558,0.00016775
DEL,repeats,4,4,0,0,0,0.00470885,0.00017178,0.00010064,1.16e-06,0,0.00558835,0.00087639,0.00092427,2.186e-05
DEL,repeats,4,5+,0.00011433,1.01e-06,0.00087601,0.00287385,1.563e-05,0,0,4.61e-06,0.00081717,0.00024008,0.00013606,5.14e-06
DEL,repeats,5+,0,6e-08,0,0,0.00826958,0.30583489,0.00242515,0.01138695,0.00015295,0.01905834,0.00231056,0.00031539,0.00167636
DEL,repeats,5+,1,0.00237994,8e-08,0.00666611,0.00042305,6.7e-07,0,0.00765822,2.11e-05,0.0008177,0.00903113,0.00078419,0.0005883
DEL,repeats,5+,2,0.00025893,2.909e-05,0.0013296,0.00066892,0.00046639,1.74e-06,0.00046638,4.192e-05,0.00012384,0.00291191,8.935e-05,0.00018632
DEL,repeats,5+,3,7.015e-05,1.037e-05,0.00043816,0.00032961,0,1.495e-05,9.148e-05,3.18e-06,0.00015958,0.00140977,6.487e-05,0.00018483
DEL,repeats,5+,4,6.877e-05,5.85e-06,0.00014191,6.466e-05,6.867e-05,3.901e-05,7.208e-05,4.9e-07,0.00011857,0,2.138e-05,0
DEL,repeats,5+,5+,3.09e-06,9.71e-06,0.00016737,0.00099853,1.255e-05,2.97e-06,3.285e-05,4.947e-05,0.00032598,0.0004143,6.571e-05,8.495e-05
INS,repeats,2,0,0.00011563,0.00024268,0.00194838,0.00841027,0.00203898,0.00296946,0.00199417,0.0002445,0.00973233,0.00018861,0.00034053,0.02539167
INS,repeats,2,1,0.00013863,9e-08,0.00029968,0.02730305,0.00182149,0.00320691,0,0.00142847,0.00845919,0.00045737,1.092e-05,9.121e-05
INS,repeats,2,2,0.00043247,2.66e-06,0.00523225,0.01078144,0.00022002,0.00120333,0.00057317,0.00015464,0.0026233,0.00061107,0.00027213,0.00090442
INS,repeats,2,3,0.00023409,0.00044077,0.00144991,0.00153723,0.00015657,0.00134495,0.00052824,0.00027623,0.00063263,0.00010909,0.00044593,0.00147782
INS,repeats,2,4,0.00119518,0.00197689,0.01078038,8.013e-05,0.0003631,0.00012039,3.268e-05,4.774e-05,0.00106061,0.00046904,0.00136697,0.00272421
INS,repeats,2,5+,0.00501909,0.01021901,0.08850312,0.00045883,0.00050468,0,0.00010461,0.00011489,0.01086007,0.00424326,0.00918808,0.00119956
INS,repeats,3,0,2.338e-05,6.6e-07,0.00023156,0.00562087,0.00061562,0.00037681,0.00089673,1.578e-05,0.00155381,0.00012456,3.282e-05,0.00763792
INS,repeats,3,1,0.00075592,0.00012374,0.00376044,0.00796986,0.00062063,0.0001175,7.624e-05,0.0007711,0.00561523,0.00043769,0.00038691,0.00281403
INS,repeats,3,2,0.00017251,1.03e-06,0.00072,0.00154557,0.00012137,2.681e-05,0.00081953,6.514e-05,0.00080698,0.00089772,6.287e-05,0.00010672
INS,repeats,3,3,1.462e-05,0.00013595,0.00013818,3.715e-05,2.837e-05,4.07e-06,0.000279,0,2.211e-05,2.56e-05,0.00015576,0.00063831
INS,repeats,3,4,7.461e-05,7.191e-05,0.00041608,3.731e-05,8.181e-05,2.542e-05,0.00021327,1.13e-05,4.494e-05,0.00015049,0.00010202,0.00049106
INS,repeats,3,5+,0.00147544,0.000996,0.0049573,2.295e-05,4.69e-06,0,1.95e-06,4.869e-05,0.00061958,0.00014022,0.00052294,0.00211659
INS,repeats,4,0,2.19e-06,2.3e-07,8.64e-06,0.00355232,0.00063939,0,0.00148866,5.179e-05,0.0016782,2.332e-05,0.00016081,0.00680186
INS,repeats,4,1,0.00077461,0.00041684,0.00541383,0.00531619,0.00086325,1.154e-05,0.00038216,0.00105768,0.00395033,0.00131759,0.00079317,0.00087457
INS,repeats,4,2,5.98e-06,5.152e-05,9.229e-05,0.00071008,5.696e-05,1.744e-05,0.00044813,2.342e-05,0.00019451,0.0002425,9.822e-05,1.367e-05
