MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	0.00269396	0.00000404	0.00886699	0.04472347	0.11133352	0.02811272	0.32006383	0.01123761	0.00650768
1:Del:C:1	0.00000762	0.00019426	0.00921732	0.02194327	0.21823702	0.00279203	0.08980059	0.00331128	0.00004848
1:Del:C:2	0.00000000	0.00000000	0.00989245	0.00050979	0.18946509	0.00412353	0.00171049	0.00071700	0.00000000
1:Del:C:3	0.00251001	0.00158941	0.00782488	0.00516379	0.06969320	0.00004143	0.01153154	0.00098671	0.00053892
1:Del:C:4	0.00366644	0.00086211	0.00036764	0.00070497	0.04234768	0.00188167	0.01031226	0.00223558	0.00168545
1:Del:C:5	0.01480804	0.00323043	0.00010366	0.00192600	0.02297354	0.00072295	0.00160357	0.00221782	0.00283327
1:Del:T:0	0.00751758	0.00145518	0.10507324	0.04043786	0.03686328	0.00361694	0.09979939	0.01039192	0.01603370
1:Del:T:1	0.00000000	0.00000000	0.21578715	0.01223839	0.00499851	0.00001293	0.01172560	0.03919014	0.00000000
1:Del:T:2	0.00683367	0.00114080	0.11373964	0.01009811	0.01905455	0.01227093	0.08683694	0.00431912	0.00921863
1:Del:T:3	0.02011835	0.00221800	0.09569122	0.01087473	0.01565140	0.02267224	0.11090200	0.00585313	0.01867059
1:Del:T:4	0.04735123	0.00361929	0.04776915	0.00539674	0.01265936	0.01813978	0.09012370	0.00292369	0.01342230
1:Del:T:5	0.81834359	0.00048769	0.00253384	0.00051430	0.00078843	0.00009815	0.01741923	0.00249667	0.04955601
1:Ins:C:0	0.00000000	0.00000000	0.00000006	0.00000014	0.00000011	0.00000008	0.00000111	0.00000311	0.46018948
1:Ins:C:1	0.00023676	0.00000011	0.00609974	0.00235927	0.00469854	0.00118623	0.00155564	0.00020784	0.01099343
1:Ins:C:2	0.00001489	0.00000012	0.00577622	0.00131887	0.00428356	0.00012317	0.00128197	0.00020096	0.00050963
1:Ins:C:3	0.00047892	0.00071328	0.00082698	0.00027660	0.00785124	0.00004044	0.00053667	0.00008511	0.00178354
1:Ins:C:4	0.00286757	0.00160600	0.00001190	0.00113844	0.00727358	0.00008880	0.00052321	0.00001195	0.00115259
1:Ins:C:5	0.00860020	0.02198362	0.00000523	0.00902349	0.00584158	0.00000010	0.00408208	0.00010176	0.00140737
1:Ins:T:0	0.00124635	0.00214641	0.01464556	0.00555285	0.01501121	0.00551032	0.01015915	0.00457190	0.03203494
1:Ins:T:1	0.00000052	0.00000041	0.01628784	0.00505680	0.05762666	0.00025723	0.00826729	0.00096038	0.00276686
1:Ins:T:2	0.00069205	0.00011799	0.02866932	0.00097919	0.05089505	0.00000000	0.00500908	0.00090276	0.00166836
1:Ins:T:3	0.00119153	0.00373361	0.02044992	0.00184275	0.02990488	0.00007979	0.00399838	0.00072897	0.00055340
1:Ins:T:4	0.00316582	0.01557194	0.01460086	0.00693540	0.00710132	0.00087374	0.00556638	0.00143831	0.00507251
1:Ins:T:5	0.00243457	0.90502600	0.00070026	0.04402280	0.00178964	0.00371084	0.03984098	0.00513686	0.23955280
2:Del:R:0	0.00012989	0.00021403	0.02871446	0.00906632	0.00666192	0.00136450	0.01326139	0.06709295	0.00096775
2:Del:R:1	0.00349225	0.00015184	0.01314296	0.00583375	0.00967042	0.00046329	0.00275129	0.22101709	0.00642740
2:Del:R:2	0.00175757	0.00013180	0.00206235	0.00029917	0.01162261	0.00122730	0.00054125	0.04914823	0.00206514
2:Del:R:3	0.00077074	0.00022210	0.00000000	0.00012048	0.00608198	0.00024481	0.00007236	0.00888359	0.00046452
2:Del:R:4	0.00094621	0.00001182	0.00041016	0.00010329	0.00322864	0.00013551	0.00017114	0.00275887	0.00001075
2:Del:R:5	0.00000000	0.00000000	0.02140541	0.00059883	0.00029574	0.00001480	0.00271188	0.00245739	0.00000277
3:Del:R:0	0.00000104	0.00011596	0.01757722	0.01163721	0.00112024	0.00179962	0.00341814	0.00493605	0.00109328
3:Del:R:1	0.00498616	0.00383619	0.00209141	0.00242583	0.00005915	0.00494021	0.00232532	0.08441337	0.00482925
3:Del:R:2	0.00237341	0.00053572	0.00010148	0.00061334	0.00003292	0.00022927	0.00160435	0.01787816	0.00119585
3:Del:R:3	0.00046749	0.00039025	0.00034233	0.00030468	0.00001668	0.00008973	0.00049435	0.00351861	0.00042087
3:Del:R:4	0.00000000	0.00000003	0.00593874	0.00015446	0.00002243	0.00000174	0.00074819	0.00041849	0.00001966
3:Del:R:5	0.00000000	0.00000002	0.00864907	0.00024576	0.00012478	0.00000666	0.00104575	0.00079715	0.00000001
4:Del:R:0	0.00000296	0.00005072	0.01125299	0.00650287	0.00057230	0.00237978	0.00194866	0.00755798	0.00031583
4:Del:R:1	0.00223107	0.00049907	0.00021069	0.00080597	0.00033697	0.00263169	0.00355818	0.05757713	0.00086705
4:Del:R:2	0.00054146	0.00000105	0.00000028	0.00006150	0.00000456	0.00023215	0.00001375	0.01192224	0.00061523
4:Del:R:3	0.00000510	0.00000000	0.00365947	0.00010639	0.00003072	0.00002320	0.00046770	0.00467778	0.00002442
4:Del:R:4	0.00000000	0.00000001	0.00420541	0.00011731	0.00007713	0.00013546	0.00053536	0.00087042	0.00000173
4:Del:R:5	0.00023980	0.00002001	0.00166634	0.00006088	0.00015748	0.00000000	0.00021886	0.00066954	0.00003040
5:Del:R:0	0.00000000	0.00000000	0.01851646	0.25733735	0.00211903	0.02198525	0.00156819	0.00472208	0.00212847
5:Del:R:1	0.00308275	0.00002277	0.00018341	0.00013688	0.00000000	0.00715609	0.00006005	0.01385516	0.00014612
5:Del:R:2	0.00044242	0.00008437	0.00037412	0.00042564	0.00002708	0.00031908	0.00021927	0.00220510	0.00003159
5:Del:R:3	0.00016226	0.00000202	0.00014471	0.00001008	0.00001193	0.00016433	0.00002571	0.00137525	0.00017080
5:Del:R:4	0.00005088	0.00001409	0.00008868	0.00011340	0.00005862	0.00004112	0.00002618	0.00015275	0.00000093
5:Del:R:5	0.00001682	0.00001245	0.00059994	0.00003554	0.00002880	0.00000000	0.00007581	0.00001967	0.00017760
2:Ins:R:0	0.00030682	0.00045824	0.00908665	0.00165315	0.00232267	0.00206953	0.00132934	0.00154909	0.02481027
2:Ins:R:1	0.00026364	0.00000776	0.01835061	0.00159943	0.00355135	0.00019973	0.00270140	0.00069122	0.00003892
2:Ins:R:2	0.00104684	0.00029772	0.00707439	0.00035417	0.00124946	0.00056564	0.00161279	0.00034970	0.00134428
2:Ins:R:3	0.00038766	0.00051465	0.00109305	0.00026049	0.00098743	0.00050808	0.00022676	0.00024058	0.00074988
2:Ins:R:4	0.00191007	0.00280809	0.00002979	0.00071094	0.00011695	0.00006284	0.00077915	0.00005735	0.00251531
2:Ins:R:5	0.01435409	0.01571770	0.00050291	0.00773373	0.00001047	0.00057748	0.00287981	0.00020081	0.00166815
3:Ins:R:0	0.00004837	0.00000044	0.00405561	0.00052403	0.00017148	0.00102186	0.00063541	0.00011294	0.00659278
3:Ins:R:1	0.00127349	0.00033086	0.00631771	0.00084195	0.00022336	0.00016366	0.00082698	0.00081464	0.00239287
3:Ins:R:2	0.00022932	0.00001174	0.00135032	0.00017142	0.00013578	0.00060848	0.00019759	0.00038906	0.00011626
3:Ins:R:3	0.00000061	0.00010710	0.00001665	0.00002996	0.00000000	0.00019145	0.00000174	0.00010300	0.00030770
3:Ins:R:4	0.00011597	0.00009302	0.00000000	0.00011794	0.00001408	0.00020761	0.00000489	0.00005933	0.00044737
3:Ins:R:5	0.00189566	0.00095120	0.00000314	0.00017211	0.00004083	0.00003919	0.00019878	0.00000077	0.00267197
4:Ins:R:0	0.00001075	0.00000024	0.00264549	0.00064079	0.00004817	0.00183960	0.00031753	0.00011593	0.00536923
4:Ins:R:1	0.00116072	0.00082658	0.00394099	0.00136823	0.00024263	0.00053298	0.00098724	0.00115964	0.00187448
4:Ins:R:2	0.00001473	0.00005071	0.00019004	0.00002426	0.00017241	0.00058476	0.00004426	0.00002028	0.00006414
4:Ins:R:3	0.00009784	0.00016397	0.00000000	0.00003439	0.00001551	0.00028104	0.00001010	0.00000512	0.00092340
4:Ins:R:4	0.00029104	0.00029106	0.00003390	0.00006198	0.00000000	0.00011014	0.00003210	0.00003513	0.00201185
4:Ins:R:5	0.00217444	0.00092671	0.00055717	0.00129639	0.00002627	0.00006713	0.00039792	0.00001105	0.00024427
5:Ins:R:0	0.00000000	0.00000003	0.00510951	0.00011702	0.00008000	0.00856660	0.00051786	0.00021812	0.00340295
5:Ins:R:1	0.00012675	0.00129728	0.00727831	0.00979778	0.00041016	0.00495913	0.00181473	0.00188915	0.02816142
5:Ins:R:2	0.00000263	0.00027234	0.00023374	0.00001885	0.00002340	0.00165051	0.00002792	0.00015641	0.00056085
5:Ins:R:3	0.00009278	0.00026571	0.00015919	0.00021189	0.00001884	0.00000726	0.00013013	0.00000345	0.00013841
5:Ins:R:4	0.00000400	0.00028830	0.00010965	0.00000789	0.00003395	0.00001573	0.00009566	0.00006101	0.00019525
5:Ins:R:5	0.00009909	0.00016986	0.00039539	0.00015379	0.00001146	0.00008800	0.00011084	0.00043146	0.00000706
2:Del:M:1	0.00010457	0.00040013	0.02075019	0.00146222	0.00686672	0.00006015	0.00259479	0.18180502	0.00248648
3:Del:M:1	0.00000117	0.00001917	0.01377393	0.01002382	0.00024814	0.00124901	0.00247108	0.00611165	0.00145808
3:Del:M:2	0.00294596	0.00115107	0.00577990	0.00422534	0.00027443	0.00375533	0.00096629	0.04768899	0.00402724
4:Del:M:1	0.00012195	0.00007668	0.00856663	0.00640236	0.00017667	0.00236036	0.00178532	0.00906659	0.00006778
4:Del:M:2	0.00053328	0.00007284	0.00413536	0.00060747	0.00025246	0.00768308	0.00308845	0.02972030	0.00096110
4:Del:M:3	0.00066260	0.00000788	0.00156733	0.00017670	0.00000000	0.00490623	0.00116423	0.04269949	0.00206449
5:Del:M:1	0.00048861	0.00000000	0.00547324	0.29927473	0.00074392	0.07764928	0.00039833	0.00023681	0.00120311
5:Del:M:2	0.00000294	0.00000000	0.00154232	0.09941923	0.00128922	0.26993794	0.00025871	0.00010472	0.00145057
5:Del:M:3	0.00000000	0.00000000	0.00229824	0.01924026	0.00114858	0.22413424	0.00047837	0.00085148	0.00057097
5:Del:M:4	0.00044885	0.00000000	0.00005769	0.00062601	0.00038815	0.12673800	0.00017832	0.00275106	0.00000381
5:Del:M:5	0.00230281	0.00040396	0.00124178	0.00048434	0.00000000	0.10466630	0.00022095	0.00113302	0.00088998
