Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,3194
low confidence hdp.4,2623
low confidence hdp.5,1932
low confidence hdp.6,1404
low confidence hdp.7,1000
low confidence hdp.8,985
low confidence hdp.9,926
low confidence hdp.10,800
low confidence hdp.11,800
low confidence hdp.12,795
low confidence hdp.13,575
low confidence hdp.14,573
low confidence hdp.15,200
low confidence hdp.16,16
low confidence hdp.17,16
low confidence hdp.18,2
low confidence hdp.19,2
