Signature,NumberOfPostSamples
low confidence hdp.1,2599
low confidence hdp.2,2599
low confidence hdp.3,2359
low confidence hdp.4,2195
low confidence hdp.5,2161
low confidence hdp.6,2092
low confidence hdp.7,1400
low confidence hdp.8,1137
low confidence hdp.9,1065
low confidence hdp.10,795
low confidence hdp.11,589
low confidence hdp.12,432
low confidence hdp.13,400
low confidence hdp.14,400
low confidence hdp.15,397
low confidence hdp.16,202
low confidence hdp.17,200
low confidence hdp.18,177
low confidence hdp.19,114
low confidence hdp.20,48
low confidence hdp.21,30
low confidence hdp.22,28
low confidence hdp.23,15
low confidence hdp.24,2
low confidence hdp.25,2
low confidence hdp.26,2
low confidence hdp.27,2
low confidence hdp.28,2
low confidence hdp.29,2
low confidence hdp.30,2
low confidence hdp.31,2
low confidence hdp.32,2
low confidence hdp.33,2
low confidence hdp.34,2
