Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID8 0.999),hdp.2 (ID6 0.999),hdp.3 (ID5 0.936),hdp.4 (ID2 1),hdp.5 (ID4 0.99),hdp.6 (ID13 0.998),hdp.7 (False Positive) (ID5 0.921),hdp.8 (ID14 0.976),hdp.9 (ID9 1),hdp.10 (ID1 1),hdp.11 (ID3 0.985),hdp.12 (ID11 0.975),hdp.13 (False Positive) (ID5 0.118)
DEL,C,1,0,0.0345392900155408,0.0296519114844175,0.0162335124767632,0.00403190089285564,0.0120089641630092,0.0465441588601173,0.0190730501492211,0.010704831936919,0.335455120119009,0.000461302080961451,0.131171121451746,0.00814069691871258,0.00284281574579988
DEL,C,1,1,0.0208886190053795,0.00620028557836799,0.0297841674626703,3.91998138413651e-05,0.00234219189850045,0.0148580923817784,0.0300165763174349,0.00259313477939435,0.0972648254278075,0.000548590156279059,0.1665307845071,0.00997533856872378,0.00429837002511226
DEL,C,1,2,0.00261211232972232,0.0080973179734808,0.023268328963718,1.88411372711639e-06,0.00335171711015859,0.00720971320906,0.0257897828895979,0.000365906602934884,0.00246881108895852,4.26995991969805e-06,0.208415383209139,0.00275879824733452,6.05843889892364e-05
DEL,C,1,3,0.00580005183525474,0.000931198602673067,0.0118000752558068,0.00219908866569984,0.00142428919913912,0.00493792574237896,0.0153173786724042,0.000891033953127154,0.0110625141236829,0.00182393847161328,0.070501576583165,0.0023446256604982,0.00995068328806705
DEL,C,1,4,0.00139629382948734,0.00262539344940381,0.00150735225353204,0.00319859444296092,0.00229185118609013,0.00401461659181017,0.00348822646239547,0.00200266067735999,0.0131398053148894,0.000817242202568927,0.0433539485447855,0.003233740628853,0.00614151149959868
DEL,C,1,5+,0.000681060414868288,0.0018793945038985,0.00144989064721665,0.0126757724185556,0.00222563389069355,0.00140557938410145,0.00317721748462769,0.00399950287178267,0.000730345686252764,0.00283564638096041,0.0253808002166215,0.000769898214244077,0.0250067002766687
DEL,T,1,0,0.0324009854746592,0.00348017078704204,0.0712247077755654,0.00616822807480782,0.00729121672669818,0.0395106048988571,0.191636878457084,0.0195611744641163,0.105949557396762,0.00148037478019038,0.027825432767308,0.0166853901936267,0.00996750166734482
DEL,T,1,1,0.00989583489837482,0.000982996637410356,0.0956865480734363,1.97871357952391e-06,0.00333135804304943,0.515441758813019,0.0745006702552788,0.00061691669805837,0.0391356278791729,4.88738475807533e-06,0.0086764568593079,0.00973429463612211,5.24937292609157e-05
DEL,T,1,2,0.00882471180159706,0.00983727920718813,0.196849924281689,0.0062154633577791,0.00548304436632605,0.0188900906067692,0.088907719185367,0.00770684007327064,0.0849407589003258,0.000352493715879373,0.0103301990665359,0.0224544501961778,0.00915066356469499
DEL,T,1,3,0.0096486204956653,0.0212434094306432,0.0755650328465843,0.0161947182250452,0.00676861812865548,0.0539073731165809,0.072990482207754,0.0153655016254043,0.103947590447619,0.00199187417476679,0.0146770072457249,0.00505382584460834,0.0170029355079498
