Signature,NumberOfPostSamples
low confidence hdp.1,3031
low confidence hdp.2,3000
low confidence hdp.3,2600
low confidence hdp.4,1997
low confidence hdp.5,1993
low confidence hdp.6,1600
low confidence hdp.7,1400
low confidence hdp.8,1397
low confidence hdp.9,1393
low confidence hdp.10,1200
low confidence hdp.11,964
low confidence hdp.12,917
low confidence hdp.13,806
low confidence hdp.14,800
low confidence hdp.15,570
low confidence hdp.16,400
low confidence hdp.17,41
low confidence hdp.18,27
low confidence hdp.19,21
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
