Signature,NumberOfPostSamples
low confidence hdp.1,2800
low confidence hdp.2,2629
low confidence hdp.3,1996
low confidence hdp.4,1400
low confidence hdp.5,1393
low confidence hdp.6,1376
low confidence hdp.7,1295
low confidence hdp.8,1187
low confidence hdp.9,994
low confidence hdp.10,800
low confidence hdp.11,800
low confidence hdp.12,797
low confidence hdp.13,592
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,8
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
