"ex.sig","gt.sig","sim"
"SBS96B","SBS40",0.908917143167304
"SBS96C","SBS3",0.932000737945511
"SBS96D","SBS4",0.984532443457443
"SBS96E","SBS1",0.999548151754555
"SBS96F","SBS7a",0.921604182487872
"SBS96G","SBS2",0.998729839980947
"SBS96H","SBS17b",0.999542168530196
"SBS96I","SBS7b",0.980097887680225
"SBS96J","SBS18",0.987654014880172
"SBS96K","SBS44",0.992369334225546
"SBS96L","SBS13",0.998606920110841
"SBS96M","SBS17a",0.999621073759334
"SBS96N","SBS7c",0.994551757935555
"SBS96O","SBS22",0.974637631643411
"SBS96P","SBS7d",0.965451209415496
"SBS96Q","SBS28",0.933693870986084
