dataset_name,sigs,sigs_prev_prop,mSigHdp,SigProfilerExtractor,Remarks
indel_set1,ID1,0.893655049,0,0,
indel_set1,ID8,0.750670241,0,0,
indel_set1,ID5,0.64253798,0,3,Signature missed by SigProfilerExtractor in 3 runs; 
indel_set1,ID2,0.571045576,0,0,
indel_set1,ID3,0.361930295,0,0,
indel_set1,ID9,0.339588919,0,0,
indel_set1,ID6,0.205540661,0,0,
indel_set1,ID11,0.108132261,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
indel_set1,ID4,0.082216265,0,0,
indel_set1,ID13,0.067917784,0,2,Signature missed by SigProfilerExtractor in 2 runs; 
indel_set1,ID14,0.043789097,0,0,
SBS_set1,SBS5,0.940740741,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set1,SBS1,0.92962963,0,0,
SBS_set1,SBS40,0.377777778,0,0,
SBS_set1,SBS2,0.333333333,0,0,
SBS_set1,SBS13,0.327777778,0,0,
SBS_set1,SBS18,0.288888889,0,0,
SBS_set1,SBS17a,0.2,0,0,
SBS_set1,SBS17b,0.198148148,0,0,
SBS_set1,SBS3,0.194444444,0,0,
SBS_set1,SBS4,0.105555556,0,0,
SBS_set1,SBS7d,0.098148148,0,0,
SBS_set1,SBS7a,0.096296296,2,0,Signature missed by mSigHdp in 2 runs; 
SBS_set1,SBS7b,0.094444444,1,0,Signature missed by mSigHdp in 1 run; 
SBS_set1,SBS7c,0.087037037,0,0,
SBS_set1,SBS12,0.066666667,0,4,Signature missed by SigProfilerExtractor in 4 runs; 
SBS_set1,SBS29,0.042592593,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set1,SBS41,0.031481481,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set1,SBS16,0.024074074,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set1,SBS44,0.02037037,0,0,
SBS_set1,SBS28,0.016666667,0,0,
SBS_set1,SBS38,0.009259259,5,5,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set1,SBS22,0.005555556,0,2,Signature missed by SigProfilerExtractor in 2 runs; 
SBS_set1,SBS35,0.005555556,5,5,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; 
indel_set2,ID1,0.953937593,0,0,
indel_set2,ID2,0.70282318,0,0,
indel_set2,ID8,0.610698366,0,0,
indel_set2,ID5,0.558692422,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
indel_set2,ID9,0.319960376,0,0,
indel_set2,ID3,0.267954433,0,0,
indel_set2,ID6,0.155027241,0,0,
indel_set2,ID11,0.095591877,0,0,
indel_set2,ID4,0.071817732,0,0,
indel_set2,ID13,0.036156513,0,0,
indel_set2,ID14,0.027736503,0,0,
indel_set2,ID12,0.02526003,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
indel_set2,ID10,0.011887073,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS5,0.971296296,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS1,0.95462963,0,0,
SBS_set2,SBS40,0.475,0,4,Signature missed by SigProfilerExtractor in 4 runs; 
SBS_set2,SBS2,0.327777778,0,0,
SBS_set2,SBS13,0.30462963,0,0,
SBS_set2,SBS18,0.215740741,0,1,Signature missed by SigProfilerExtractor in 1 run; 
SBS_set2,SBS3,0.165740741,0,1,Signature missed by SigProfilerExtractor in 1 run; 
SBS_set2,SBS17b,0.149074074,0,0,
SBS_set2,SBS17a,0.131481481,0,0,
SBS_set2,SBS9,0.049074074,0,4,Signature missed by SigProfilerExtractor in 4 runs; 
SBS_set2,SBS7a,0.048148148,5,4,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in 4 runs; 
SBS_set2,SBS7d,0.047222222,0,4,Signature missed by SigProfilerExtractor in 4 runs; 
SBS_set2,SBS7b,0.046296296,1,0,Signature missed by mSigHdp in 1 run; 
SBS_set2,SBS4,0.04537037,0,0,
SBS_set2,SBS12,0.043518519,0,0,
SBS_set2,SBS7c,0.042592593,0,2,Signature missed by SigProfilerExtractor in 2 runs; 
SBS_set2,SBS36,0.028703704,0,4,Signature missed by SigProfilerExtractor in 4 runs; 
SBS_set2,SBS29,0.024074074,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS41,0.02037037,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS44,0.019444444,0,0,
SBS_set2,SBS30,0.018518519,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS37,0.013888889,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS8,0.012037037,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS6,0.011111111,5,5,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS28,0.011111111,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS34,0.009259259,0,5,Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS39,0.009259259,5,5,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS38,0.007407407,5,5,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS26,0.006481481,5,5,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS16,0.005555556,5,5,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; 
SBS_set2,SBS22,0.002777778,0,4,Signature missed by SigProfilerExtractor in 4 runs; 
SBS_set2,SBS35,0.001851852,5,5,Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; 
