Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11,signeR.12,signeR.13,signeR.14,signeR.15
DEL,C,1,0,0.00423452100722786,6.66701543871331e-06,0.00543637843441101,0.00323615567910244,0.0184955629543776,0.00190214264503221,0.0410400377248091,0.00557341432819642,0.118180821409024,0.0285205939646725,8.63380684439167e-05,0.368371104332372,0.00768128960074432,0.0138924536775574,0.00804380292407337
DEL,C,1,1,9.36305315763049e-05,0.000569048816722387,3.74540807459638e-05,9.49235682432988e-05,0.0215855164102277,0.000126142800219348,0.0200307797420339,3.98490543601636e-05,0.213098209642022,0.00519409893168139,0.000287118901041698,0.103760457446658,0.000240668983005952,0.000280578939856932,0.0020350062253882
DEL,C,1,2,2.76836220718702e-06,1.98883289541291e-06,2.47485626191493e-06,2.3327970292312e-06,0.0196704554160606,7.51057500600214e-06,2.41714217558083e-05,1.51649163436538e-05,0.181946001450719,0.00656489032353584,1.93717109845208e-05,5.28013737527677e-05,0.000193945617585208,3.33840675898361e-05,0.000456431532301501
DEL,C,1,3,0.00268466665298404,0.00152898036171786,0.00214616439035886,0.00215920489639082,0.0111038544109441,0.00215643336661101,0.00444824281039593,0.00471954930999501,0.0672283748889414,0.00014320661157386,0.00331811528306729,0.011678524041297,0.000710408311758543,0.00479952164182676,0.000642490826786977
DEL,C,1,4,0.00388933624234933,0.000905678149037763,0.00385986876710136,0.00311134220892297,0.00170705921942571,0.0012763302653885,0.00017142700882829,0.00510407599104773,0.0427201055296327,0.00239469183421354,0.000120361803807512,0.0114863106732732,0.00183385177393242,0.0113332255970481,0.00237908949496016
DEL,C,1,5+,0.0142910524729689,0.00298730427008378,0.0146963997836928,0.0113304459751895,0.00132024800193631,0.0115759464133571,2.24233494103572e-05,0.025155618889287,0.0225170512238156,0.000932037390204709,0.000505226752096814,8.02398945100123e-05,0.00268774920983178,0.027593886705831,0.0022056197721558
DEL,T,1,0,0.00684432411073644,0.0016620895197851,0.00906062746427079,0.00617868431592602,0.0999334277727286,0.00354036726819725,0.0341898130660612,0.0106850552138207,0.0398188081142034,0.00365079226211753,0.000650220208773604,0.104794812292106,0.0151790738008832,0.027608506848366,0.00683118795249348
DEL,T,1,1,1.99181537761369e-06,2.07705736093984e-06,2.65624396118287e-06,2.58683106197412e-06,0.156245085161309,7.00924856878011e-06,0.0033703869186505,7.78413403479227e-06,0.00561659698148898,5.29592925856366e-05,1.66105121520822e-05,0.0302062548773531,0.000130260249698534,3.37976400086063e-05,0.0467431624740516
DEL,T,1,2,0.00639351673189743,0.000633121600307076,0.00829217644639956,0.00670258971208116,0.109804523361414,0.00171693290437823,0.00385683333419332,0.00993452835068084,0.0218799889000992,0.012109390323732,0.013426704740569,0.0904263113569532,0.00951581203910185,0.00238606896462344,0.000203038840913206
DEL,T,1,3,0.0209985612159451,0.00211395973623371,0.0196252875314853,0.0153933023026839,0.0888239694056786,0.00695757842330982,0.00503850004418838,0.0308552715353899,0.0198954649158576,0.0227413244450041,0.00331822975535645,0.120966910493928,0.0188670021375456,0.0739021376899052,0.00139885167226
DEL,T,1,4,0.0400375930235423,0.00429759889271688,0.0538583401068555,0.0386129167518393,0.0470645110674558,0.0175141615906808,1.62146494617605e-05,0.0711748763003612,0.015911622354919,0.0185238540806901,0.000617617934833151,0.0967823878488618,0.014908906702469,0.112970351455071,0.000322973948693962
DEL,T,1,5+,0.823656413092579,1.13970781702631e-05,0.79907835965175,0.786112265713616,0.0100099585544295,0.336981018842037,1.39945252178328e-05,0.721916822936433,0.000171391007182799,0.000180579370712144,0.000136387776948196,5.79557025720699e-05,0.0572058896428159,0.66101969358108,0.000461508705388214
INS,C,1,0,2.05762045463787e-06,1.82708618123461e-06,2.48726277136832e-06,2.63703687298443e-06,0.000295123584947829,6.89208957103301e-06,0.00209413873949133,7.99827966586655e-06,0.00192819236407282,0.00203741904933179,2.02108519894611e-05,4.56866779031849e-05,0.422784203132271,3.12920324896793e-05,0.000515753909023947
INS,C,1,1,0.000204766012577637,4.45578533530114e-06,0.000255579079245226,0.000144935633967164,0.00639035171173908,6.2296967176313e-05,0.00233145094017755,0.000449472154386375,0.00450788514023348,0.00128437409067708,4.45697211665369e-05,3.3659321336305e-05,0.0100593137322685,0.000123474964999683,5.90357562460042e-05
INS,C,1,2,2.78055634680155e-05,3.35220985420457e-06,2.53884216046805e-05,7.1810186997408e-06,0.005863765856593,2.51929601514934e-05,0.00112524827632646,2.65290772686856e-05,0.00415725497313141,0.000139596931950712,3.06157923452314e-05,7.17645019765503e-05,0.000555938370812726,9.66440432307922e-05,7.46067983809658e-05
INS,C,1,3,0.000436047720929509,0.000739210298536229,0.000667622485399253,0.000360166713344916,0.00129984736486305,0.00079488378627701,7.79213696381216e-06,0.000507579580873937,0.00750830484246801,0.000115481439323973,0.000175169102725762,3.11679697393547e-05,0.00172694652356606,0.00119672511267232,0.000103208757116646
INS,C,1,4,0.00304777634349552,0.00175125226298544,0.00298115794540271,0.00238197892600678,3.87019673704615e-05,0.00191734215466629,0.000629610285410858,0.00465318070881035,0.00729710088298385,8.55836402550705e-05,0.00309921421660216,5.106706036292e-05,0.00137639048869066,0.0018738063749081,0.000114091136955424
INS,C,1,5+,0.00869265266628739,0.0238389194993981,0.00971488534742947,0.00887186291541722,9.36533634004116e-06,0.0189446894837977,1.15065625859989e-05,0.0151748718807759,0.00656149672281787,3.81015709193267e-05,0.0208535686232875,4.13050183275755e-05,0.00280706052780955,0.000305309815010936,0.000152595920014
INS,T,1,0,0.00141487682250212,0.00214622895983102,0.00134550309115588,0.00132272987176205,0.0109853078621537,0.00195368177107175,0.00506138835214223,0.00178965659256917,0.0151325152226722,0.00556249528610878,0.00036633844204472,0.0116501628477701,0.0303129192352201,0.00500267856989914,0.00541938075645398
INS,T,1,1,3.28095614264695e-06,5.27298618489184e-06,7.35356297155962e-06,3.58125364879384e-06,0.0199686855429513,7.53524902441829e-06,0.00410332498911706,1.78771374665205e-05,0.05477579082234,0.00040549135213961,4.81958063536546e-05,0.00706560949894891,0.00257724747446956,4.90105068769246e-05,0.000307820879086664
INS,T,1,2,0.000766053606706131,1.75812579291365e-05,0.000746973588826975,0.000572979425995401,0.0309977806027213,0.000276687675238805,1.80487778707181e-05,0.000734135324543179,0.0490694818719102,7.5102251623307e-05,7.75519897624311e-05,5.01136005297458e-05,0.00138926968083787,0.000226522160193612,9.01323002456585e-05
INS,T,1,3,0.00123181590178649,0.00375909543551385,0.0010002503431108,0.00113085152320694,0.0208809156676196,0.00424946303886907,2.85486131837716e-05,0.00156062551677996,0.0288668428506058,0.00020024999329008,0.00417958626738203,0.000105574660852004,0.00054344150937648,0.00193985677852336,0.000184691547688216
INS,T,1,4,0.00321931990088682,0.0172016894779053,0.00380135121155891,0.00341226348454168,0.0134931965774438,0.0116655250700528,1.48056327022448e-05,0.00536673398430538,0.00705380416424253,0.000873798745668056,0.0163933912701381,6.04142966652583e-05,0.00570412483608327,0.000489456954573582,0.000910319058634791
INS,T,1,5+,0.00296112210730656,0.896900726197295,0.00337370976259751,0.0597808713336763,1.05267767250841e-05,0.533481483064933,2.1902217628178e-05,0.000673732053233883,0.000603186039241724,0.000333266306588884,0.890428116641814,6.13972396987673e-05,0.270722643583697,0.000579053165185502,0.0011500711198387
DEL,repeats,2,0,0.000194345879915592,0.000389238104565394,0.000184700219132867,0.00024853181642346,0.0285047581058502,0.000261087227629862,0.00854679764329025,0.000234008057223314,0.00719274618371758,0.00169181907983954,0.000448953862565324,0.0140200543398913,0.00092159903726561,0.000534594930490144,0.0674180996569592
DEL,repeats,2,1,0.00383979279139115,0.000698854582235654,0.00371328642743057,0.00291382416383746,0.0221901002268243,0.000654018155214322,0.00778240844212293,0.00725861305127234,0.0102792463905812,0.00203907478061683,0.00424317648194778,0.000872495821932466,0.0064179862665453,0.00926397081704048,0.222713146377119
DEL,repeats,2,2,0.00192487490517473,0.000117013142975402,0.00208943714518904,0.00149673545777715,0.00426808326514123,0.00122547337941742,1.54502221808697e-05,0.00283705488002092,0.0119175994089522,0.00196566360964733,0.000108023621146593,0.000208493243740663,0.00200674316187753,0.000768286955485399,0.0517105342743201
DEL,repeats,2,3,0.000546577570410121,0.00039685303925316,0.000893241771677852,0.000569853252771662,1.48162970506484e-05,0.000740478508942399,1.14317250241521e-05,0.00139899077014352,0.00666808498092709,0.000389208544232603,6.42078903651404e-05,3.79507162049675e-05,0.000455389977613568,0.00088868076236555,0.0108563738787644
DEL,repeats,2,4,0.000929566613659146,8.05377394865289e-06,0.00103745622002998,0.000825422888319727,0.00064249487587015,0.000144083255195022,2.06411030529887e-05,0.00155493569808483,0.0030762445398607,0.000209075637883228,0.000164201588292684,5.90358044549088e-05,4.68815195308368e-05,0.000133385559103551,0.00274453104013509
