Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13,hdp.14,hdp.15
DEL,C,1,0,0.0350070322815734,0.0236088499493752,0.0461264837363964,0.0303783544988172,0.0117479484355887,0.00420535498242986,0.0103767936609853,0.139151200033494,0.333797384677521,0.0189219414078714,0.000487578004620678,0.00852032356196008,0.0141136934303321,0.00323190468264352,0.0674658990877975
DEL,C,1,1,0.0208975926801555,0.0259167398527841,0.0152356489629817,0.00613251700000224,0.00238915413230532,4.55120177085795e-05,0.00248414031965795,0.14798839520166,0.0975221637987057,0.0293310743248529,0.000568897193565777,0.00909566950722195,0.0335788010771197,0.00403894831008248,0.318442277575196
DEL,C,1,2,0.00262955554613111,0.0283529012535696,0.00713170715930761,0.00839438422339487,0.00324001901515376,4.22355854055561e-06,0.000374220319936459,0.214867707522964,0.00240782022564037,0.0260237734216339,6.59071136246922e-06,0.00294250144569148,0.0216169482431053,0.000124007525333676,0.135680259063634
DEL,C,1,3,0.00580732704110825,0.0126554134616243,0.00525832026346303,0.000866191718885931,0.0016999462332409,0.0023615999477969,0.000823912600733931,0.0715876250262824,0.0109468593970509,0.015565182894441,0.00188527411617842,0.00238970580421777,0.0122783479579716,0.0143158232939184,0.0558189617789784
DEL,C,1,4,0.00138589764061483,0.00301044266507714,0.00405441152043851,0.0025960135387637,0.00249764985876671,0.00349016226690223,0.00182373993945499,0.0435019898793671,0.0130574247261827,0.00361579796127713,0.000790078623373657,0.00343536428572819,0.00122272048524337,0.00649638620850639,0.0406946472140303
DEL,C,1,5+,0.000663605963445397,0.00218884933016374,0.00157230739376671,0.00186849524907525,0.00228254685197379,0.0139888921638525,0.00335934152641357,0.0256493992491646,0.000655267732366157,0.00346489171263366,0.00266054168023759,0.000750177913619495,0.00148321473503222,0.0194847653107847,0.0221685723946599
DEL,T,1,0,0.0323536464261997,0.0862139361113278,0.0385910213983856,0.00279890044677174,0.00785037547554746,0.00681063385837478,0.0197970392776641,0.0283694160658116,0.105845463968975,0.196906302862686,0.00142310034724906,0.0159505144321609,0.0686913851109478,0.0113889638607588,0.0347830877588634
DEL,T,1,1,0.00984611336496216,0.112777766484885,0.508575944464497,0.000868437366290881,0.00334320910725028,4.08409160008384e-06,0.000582680009744628,0.00808213714494268,0.0389303778577921,0.0737238935661851,7.50946880521905e-06,0.00892924916011863,0.0877703504539448,9.98857406598129e-05,0.0204436877198533
DEL,T,1,2,0.00866357852924449,0.108332775209382,0.0192085667809149,0.00957054675367932,0.00576690981359808,0.00696036306774992,0.00813851744886039,0.0113545728227795,0.0845438029079124,0.0848350020206552,0.000310141492491393,0.0199130144402705,0.215925983185423,0.0112439844745231,0.00850546723029625
DEL,T,1,3,0.00950349870823402,0.108780959858718,0.0544364357106123,0.0213225236719448,0.00650990845202842,0.017578986656795,0.0156282910188864,0.0155150582425528,0.106010078123537,0.0731271820556965,0.00199623050300711,0.00610108759801972,0.0529923775717627,0.0103830605720394,0.0101978516667046
DEL,T,1,4,0.0015547906525886,0.0500274891168432,0.0161302729340288,0.0167943355458841,0.00422758641507009,0.0457125128842864,0.0106412460027007,0.0134958153370629,0.0960196368693647,0.0453851814591427,0.00414102074552905,0.00758983270336778,0.0318243058338453,0.0401358313444604,0.0151442215786857
DEL,T,1,5+,0.0106776883277799,0.0252390010204061,0.00695125111400015,0.00297959418947122,0.00206575023873106,0.809544566407394,0.0468937630817029,0.0084681421238304,0.0042856150040318,0.0315509182655913,0.000940913176158234,0.00856945100949858,0.0265706075017659,0.0137281138322768,0.013481718253506
INS,C,1,0,0.00262399691914312,0.000531394445559018,0.00277318158441965,0.00225853072548946,0.000390473706520064,3.25665713982221e-06,0.53467315957624,0.00262820067052383,0.000200199222021765,0.000630754950885088,5.94984304073868e-06,0.000716285343937882,0.000476650581751568,0.000142492604310555,0.00231471540786556
INS,C,1,1,0.00207485938292561,0.00123950219658605,0.00235628998821316,0.00176381497833428,0.000425874577621296,0.000185098649957622,0.0152530242041604,0.00130646735263924,0.000216173849216394,0.00121542000786815,5.38049346953403e-05,0.120962648307677,0.00108178052052313,0.000436347335131332,0.00141953398084417
INS,C,1,2,0.00145980894780772,0.00286754960300767,0.00216782831460961,0.000142318374482897,0.000262149295695023,1.28184689466444e-05,0.000670461236050846,0.00213150591342204,0.000374434390240236,0.0035764791102872,8.28497332899383e-06,0.0661855890449192,0.00223331601160351,0.000160314541440729,0.00110602116416183
