Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (False Positive) (ID5 0.841),ID83D (ID8 0.99),ID83E (ID3 0.977),ID83F (ID6 0.998),ID83G (ID13 0.981),ID83H (ID9 0.994),ID83I (ID4 0.993),ID83J (ID14 0.984)
DEL,C,1,0,0.00218913,2e-08,0.00157572,0.02926749,0.0847438,0.02246209,0.00431535,0.37492659,0.00999442,0.00307405
DEL,C,1,1,0,3.16e-06,0.0048026,0.01926544,0.23271482,0.00107897,0.00428867,0.09632165,0.00045388,6.876e-05
DEL,C,1,2,0,0,0.00549244,1.019e-05,0.21078546,0.0038089,0.00770044,0,0.00140608,0
DEL,C,1,3,0.00229339,0.0018413,0.00892907,0.0047729,0.07511526,1.603e-05,0.00552821,0.01038789,0.00168987,0.00055218
DEL,C,1,4,0.00357077,0.00054048,0.00264425,0.0004388,0.04418842,0.0017505,0.0006639,0.01414007,0.00282774,0.00130016
DEL,C,1,5+,0.01487914,0.00197558,0.00821226,0.00084917,0.02642504,0.00111921,0.00062853,0.00022948,0.00462767,0.00349086
DEL,T,1,0,0.00597118,0.00085447,0.12242277,0.0338771,0.02345399,0.0002467,0.06756063,0.11791764,0.00582544,0.01632259
DEL,T,1,1,0,1e-08,0.00770911,0.00414849,0.00325802,8.2e-06,0.42121969,0.00609824,0.00604287,1e-08
DEL,T,1,2,0.00659027,4.45e-05,0.14230701,0.00366815,0.00256175,0.00783222,0.06352578,0.0895834,0.00159674,0.00570854
DEL,T,1,3,0.01902649,0.00128341,0.1095259,0.00285755,0.00244397,0.01958909,0.07350195,0.11611704,0.00606488,0.01334723
DEL,T,1,4,0.04479341,0.0026275,0.09178251,0.00233314,0.00234284,0.01428044,0.02169289,0.10603464,0.01082704,0.01023834
DEL,T,1,5+,0.82825941,0.00016684,0.00957976,0.00036429,0.00071566,0.00014357,0.00221705,0.00756322,0.00081828,0.06191446
INS,C,1,0,1e-08,2e-08,4e-08,1.2e-07,1.4e-07,1e-08,5e-08,2.3e-07,8e-08,0.52625418
INS,C,1,1,0.00018737,7.92e-06,0.007435,0.00207191,0.00535486,0.00137753,0.00290846,0,4.887e-05,0.01397093
INS,C,1,2,4.51e-06,1e-08,0.00554137,0.00166546,0.00399907,1.299e-05,0.00364367,5.46e-06,4.402e-05,0.00050907
INS,C,1,3,0.00040659,0.00065846,0.00174435,0.00014967,0.0087064,0,0.00039135,4.06e-06,0.00088497,0.00069812
INS,C,1,4,0.00273256,0.00119965,0.00317942,0.00049582,0.00826011,0.00027526,0.0001583,9.666e-05,0.00072073,0.00080026
INS,C,1,5+,0.00781732,0.02022255,0.02974741,0.00308431,0.0082122,2.045e-05,0.00146689,0.00013402,0.00566678,0.00270805
INS,T,1,0,0.00106289,0.00220992,0.00205235,0.00335683,0.01730812,0.00647927,0.02467135,0.01375044,0.00427907,0.03786194
INS,T,1,1,0,0,0.01025292,0.00439209,0.06666691,0.00017795,0.01152302,0.00448299,0.00020222,0.00284987
INS,T,1,2,0.00045782,1.311e-05,0.03393168,0.00017624,0.05524638,0,0.0156542,0,0.00013382,0.00137988
INS,T,1,3,0.00102098,0.00324458,0.02644594,0.00058396,0.03201537,3.53e-05,0.01699938,4.215e-05,0.00088503,0.00031126
INS,T,1,4,0.00336068,0.01411356,0.02712894,0.00161141,0.0084769,0.00036474,0.01352451,0.00200597,0.00326741,0.00461957
INS,T,1,5+,0.0027813,0.91861781,0.0402154,0.00286809,0.00232579,0.00517306,0.00350036,0.00768884,0.00701277,0.1606654
DEL,repeats,2,0,3.213e-05,0.0001169,0.01846809,0.00764143,0.00865799,0.00012353,0.02697047,0.01232324,0.08677483,0.00197364
DEL,repeats,2,1,0.0028831,5.695e-05,0.01585588,0.0076666,0.01177794,0.00038017,0.00871731,0.00041612,0.20252341,0.0092124
DEL,repeats,2,2,0.00172123,0.00041931,0.0020098,0.0001388,0.01341142,0.00166739,0.0022799,6.373e-05,0.04514638,0.00295384
DEL,repeats,2,3,0.00092148,0.00012982,0.0001795,1.037e-05,0.00621685,0.00038851,0,1.284e-05,0.00970594,0.0003968
DEL,repeats,2,4,0.0009129,6.63e-06,0.00058337,0.00021277,0.00322005,0.00013341,0.00014072,0.00018174,0.0032843,0.00044335
DEL,repeats,2,5+,0,1e-08,0.0204595,8.019e-05,0.00079073,2.76e-06,0.0159647,0,0.00101582,0
DEL,repeats,3,0,6.9e-07,1.092e-05,0.01357345,0.01435707,0.00188325,0.00068374,0.01483435,0.00086012,0.00442043,0.00157748
