Type,Subtype,Indel_size,Repeat_MH_size,hdp.0 (False Positive) (ID2 0.651),hdp.1 (ID2 1),hdp.2 (ID1 1),hdp.3 (ID5 0.99),hdp.4 (ID8 0.996),hdp.5 (ID3 0.995),hdp.6 (ID6 0.996),hdp.7 (ID9 0.999),hdp.8 (ID13 0.998),hdp.9 (False Positive) (ID12 0.215),hdp.10 (ID4 0.998),hdp.11 (ID14 0.903),hdp.12 (ID11 0.999),hdp.13 (False Positive) (ID5 0.5),hdp.14 (False Positive) (ID5 0.13),hdp.15 (False Positive) (ID5 0.457),hdp.16 (False Positive) (ID9 0.486),hdp.17 (ID12 0.992),hdp.18 (ID10 0.987)
DEL,C,1,0,0.0282030947512621,0.00226031783952663,0.000361155542430358,0.0172388946331669,0.0384006181616011,0.118271713359638,0.0291207111018517,0.335602328816876,0.0483053349728838,0.0455489146772248,0.00802874674386303,0.0138211747310422,0.00330386904643768,0.0469071114750063,0.00667650963385063,0.0275903753880125,0.0754765608057853,0.0419343768809529,0.00898320055051279
DEL,C,1,1,0.0155324778906126,2.50207026283148e-05,0.000667974544539834,0.0284597820882034,0.0220680823309579,0.20821532387313,0.00530699864343365,0.0969278729416634,0.014177768662034,0.000576601401252948,0.00222418038127091,0.00163094102544755,0.00121297408641318,0.00623259227396319,0.000587647639059659,0.0147515383016344,0.000259194161535859,0.010169735768305,0.0238044387076537
DEL,C,1,2,0.0099508709090676,5.25914704739564e-07,1.40569506167228e-06,0.0269013749843496,0.00281562757549285,0.20542343382251,0.00788889110665087,0.002441627922154,0.00605403556857935,4.39397028778023e-05,0.00143336450969854,0.000882240868834641,0.000198378020957214,0.00238109605106652,7.29897933392745e-05,0.00604946451142096,6.18035864040039e-05,0.00201904546002693,0.0173733287694626
DEL,C,1,3,0.0117462764264353,0.00155873653881899,0.0017385411956961,0.0153215216192479,0.00573006490298367,0.0650968474214383,0.000817798245084906,0.00955952705312,0.00540756598593075,0.0112224761167829,0.00119718444328372,0.000400104790675299,0.000399208982391417,0.00478061832301642,0.0176033360031509,0.0175247310623411,0.00519902603578101,0.00513636473878261,0.00743444451878734
DEL,C,1,4,0.00962523974227948,0.00211633878329878,0.000824900207414746,0.0023953783644306,0.000904114451000514,0.0459128144414573,0.00298983782613684,0.0117546712461396,0.00309363519842034,0.0150231353050286,0.00162509605837209,0.0027387563283104,0.000259630081366375,0.00972852923512136,0.00460295762774973,0.0952499755927852,0.0630916969527342,0.00302863434354683,0.0043779114340375
DEL,C,1,5+,0.0314173807663712,0.0090069288184984,0.0030612070366102,0.00204247138021344,0.000467851561613692,0.0232765016008639,0.0017748210946824,0.00122909074098609,0.00129168594604802,0.214908534354237,0.00232279462703733,0.00479801822929444,0.00072079817414146,0.0027165390565412,0.00685834239104551,0.0599045936942469,0.0295973332224211,0.035853078736223,0.00746154333662355
DEL,T,1,0,0.0456005379200106,0.00553372608851559,0.000808812713741434,0.127860907353853,0.0360556652779526,0.0344745638825998,0.00291317999620998,0.0983335588723357,0.0438100050540708,0.0379159086453626,0.00426082571775464,0.0248633829109304,0.000876027803063078,0.0655136233008668,0.0448390058049045,0.0828021175943741,0.071842347835362,0.0218764746206922,0.0327883209022188
DEL,T,1,1,0.0241165462054937,2.34604837652852e-07,1.18925903650054e-06,0.096176473350194,0.00943443011902029,0.00885739228282224,0.000221940756395062,0.0447470755954546,0.555219613646717,1.96122877544418e-06,0.000607684413330823,0.000409324211296367,0.00102384976310539,0.00448746084790207,9.83200861362375e-06,0.000503193244460972,2.79472062225523e-06,0.00354285324719082,0.00107592241268578
DEL,T,1,2,0.0605166429166785,0.00402093757984844,0.000830036360189379,0.101642151933036,0.007785286892128,0.0110373642948599,0.0114738856177277,0.0783176477603656,0.018555054209803,0.0112588597419419,0.00110810601432376,0.0123428492717281,0.000673881786919254,0.0189137398841421,0.0261154954750466,0.0141273263292538,0.0223068662949901,0.0204939971221714,0.00289675466912186
DEL,T,1,3,0.054794122253151,0.0109782385421308,0.00250198525378384,0.0810121948844183,0.00827223194144223,0.00999036183889477,0.0206414818267737,0.112004587851357,0.0580948994079847,0.0392286792926121,0.00100538332173742,0.021143781925029,0.00152545187866242,0.552473686704315,0.0179256993994807,0.0904962978810092,0.012184204127347,0.0152854540722992,0.00753468179831178
