Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10
DEL,C,1,0,0.00471643619815677,1.98782210085376e-48,0.00799272895536338,2.74975612690543e-89,0.0249421055843944,0.00480218558116308,0.363046931962844,0.00452009021227142,0.108447655154109,0.0381521958588621
DEL,C,1,1,4.30100528152321e-11,0.000695925142314048,0,2.69555009757624e-19,0.0013496409010566,6.40940537078315e-47,0.109605243512445,0.0191734076699965,0.228125867448123,0.0211684125487134
DEL,C,1,2,0,0,0.000220909425879052,0.00952042518427114,0.00845825032411149,5.0929053481031e-146,5.86427036179737e-85,0.0236221010293406,0.200961947595027,5.75170720065773e-06
DEL,C,1,3,0.00247101283468956,0.00191155843129997,0,0.00542093475990728,0.000320127446351482,0.00011709386351773,0.0113001355096909,0.0126478308537673,0.0718735443400165,0.00440855695674676
DEL,C,1,4,0.00384572475804362,0.00073024326655708,0.00206016940112243,0.00386414103479654,0.00230900403126839,0.000486120738171291,0.0139162465865516,0.000829922055505612,0.0488706967420084,0.000126534950176443
DEL,C,1,5+,0.0145808382629905,0.00354568642076265,0.000824473861241606,0.00155039960702171,0.00102804073182402,0.00210805730012798,3.75372315709627e-194,0.00175388216656958,0.0255846231216303,0.000548520954483586
DEL,T,1,0,0.00786137659374586,0.00137548440835045,0.0230449249708652,0.0391114205411602,3.83975439621775e-39,0.00332898429878259,0.114445360730948,0.105971536751212,0.0296918552564093,0.0330766521160585
DEL,T,1,1,0,0,0,0.687663311970013,1.03306615211923e-231,1.59367956279578e-204,1.3143912822782e-47,0.0983435467264422,2.17542172657418e-15,3.0305468468536e-35
DEL,T,1,2,0.00698188131806086,0.0010505167314194,0.0130814259547657,0.00137595037589647,0.0106406634655812,1.17784682983618e-176,0.0964254813637999,0.123240932780464,0.00813293360686611,0.00757878596586511
DEL,T,1,3,0.0201895381831228,0.00235877498294171,0.0203756724281463,0.0500323165213941,0.0222009000691966,2.96137232949275e-260,0.122567496595176,0.0923078998370171,0.00861556128006968,0.00729768203721897
DEL,T,1,4,0.0470893176379607,0.00430571253013957,0.0123570447217492,0.00125759959602861,0.0177455194687746,8.75155958912337e-156,0.104151352236247,0.053576825645209,0.00683958056812993,6.22626630959459e-51
DEL,T,1,5+,0.814296514711151,7.7831523103659e-11,3.14974092784036e-78,1.39077441001634e-50,1.44978239516179e-10,3.33986409937145e-127,4.84733618553702e-31,0.0280477333834392,0.00909931684314154,0.0110186179535191
INS,C,1,0,0,0,0.689741498393228,0,4.26916653569698e-263,0,0,0,0,0
INS,C,1,1,0.000213163244661248,0,0.017679818178569,0,0.00164108474269134,0,0,0.00801175565715431,0.00407093433747078,0.00175600546449592
INS,C,1,2,2.05367086912864e-05,0,0.000643088373104619,0,0,0,0,0.00725863981374721,0.00327771131533281,0.00108479697714862
INS,C,1,3,0.000471025615023245,0.000610511516944748,0.00202434790327144,0,0,0.000131680743561079,0,0.00146720438129335,0.0083493937256156,0
INS,C,1,4,0.00295894004713954,0.00158998378219903,0.00162918883436729,0,7.33764737733453e-05,0,0,0.000196516885423737,0.0089522104219528,1.00813464560533e-297
INS,C,1,5+,0.00909929919686097,0.0239184385054226,0,0.000829308340192084,0,0.000133321933590138,7.01642470929523e-171,0.000158294245333206,0.00790640137769271,9.87328606074149e-51
INS,T,1,0,0.00132653794877543,0.0022881579533938,0.0478566635839303,0.0545147707065615,0.00652236820575599,1.45325276652059e-05,0.0100194337624925,0.00425241386294394,0.0191857915755789,0.00320896670804502
INS,T,1,1,2.20073929019283e-305,1.42672276422644e-05,0.00369527068353939,0,1.2101050881005e-05,3.09548080850907e-131,0.00886015234361529,0.0237265764002738,0.0565660962438431,0.00440146988686597
INS,T,1,2,0.000667186572087454,8.39328525656857e-05,0.00237149336303261,9.71812830438956e-27,0.000251161180990184,0,0.00170586114006307,0.037770495946118,0.0490938196028632,0.000214342553061169
INS,T,1,3,0.00109266646511522,0.00418008918539746,1.53838918913152e-226,0.0085456447741681,0.00079605947084827,0,0.000691302897887831,0.0241789717711783,0.0302432444758709,0.000330788849016598
INS,T,1,4,0.003507407087958,0.0166559771933301,3.22459915129519e-11,0.0131836890490402,0.000985233226829557,2.51486805119136e-77,0.000149936215590129,0.0142673470919575,0.00715116573994225,0.000220455304260346
INS,T,1,5+,0.00317195005492127,0.89792918337556,6.64944356355757e-54,4.47047000995061e-62,1.30872945335593e-10,6.75205397039336e-97,3.68163371809767e-14,0.000346110155063801,8.81268075900969e-08,0.0088065033640565
DEL,repeats,2,0,0.000154456098042975,0.00056497688327733,0,0.0262677394134456,0.00091634861387515,0.0734283251927847,0.0123586463686695,0.0290372217755542,0.00605650100610899,0.00859221459636141
DEL,repeats,2,1,0.00353551909768623,0.000935519530798108,0.00720968015795494,0.00333227607858894,0.00105325562886256,0.237256244331839,0.00277645185215746,0.0248365185742081,0.00946188376947012,0.0110527239146649
