MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	0.00221106	0.00000000	0.00051650	0.00000720	0.02547011	0.09508885	0.02120343	0.40512933	0.00148642	0.00349641	0.00007616	0.00557834
1:Del:C:1	0.00000076	0.00004584	0.00002702	0.00404801	0.02033239	0.24484304	0.00087593	0.09416110	0.00502154	0.00022018	0.00015088	0.00001451
1:Del:C:2	0.00000000	0.00000001	0.00000002	0.00389529	0.00000188	0.22511104	0.00468514	0.00001756	0.00674106	0.00004299	0.00352585	0.00000644
1:Del:C:3	0.00138713	0.00096799	0.01068666	0.01091234	0.00522641	0.07183703	0.00000403	0.00810343	0.00646237	0.00110211	0.00135388	0.00043399
1:Del:C:4	0.00257767	0.00029712	0.01009311	0.00002882	0.00000382	0.04639163	0.00205485	0.01185482	0.00026997	0.00105282	0.00050152	0.00207071
1:Del:C:5	0.00925284	0.00080580	0.05291348	0.00001344	0.00000000	0.02529083	0.00068387	0.00012755	0.00111123	0.00262808	0.00340459	0.00547429
1:Del:T:0	0.00415857	0.00004348	0.03291610	0.15061595	0.03698881	0.03039694	0.00011830	0.10629143	0.05961765	0.00415700	0.00099049	0.01940250
1:Del:T:1	0.00000000	0.00000001	0.00029951	0.00006609	0.00514856	0.00226207	0.00000001	0.00781555	0.49962497	0.00112506	0.00006444	0.00000002
1:Del:T:2	0.00316264	0.00005907	0.02097876	0.18801766	0.00283167	0.01077586	0.01086389	0.08454216	0.03292819	0.00102985	0.00046554	0.00978388
1:Del:T:3	0.00775249	0.00036811	0.08753145	0.13017639	0.00116791	0.00435899	0.01931963	0.12787262	0.06434638	0.00113065	0.00176430	0.01742730
1:Del:T:4	0.01860578	0.00028895	0.24614679	0.08810777	0.00000000	0.00328669	0.01364522	0.08804823	0.00875373	0.00125314	0.00014656	0.01440583
1:Del:T:5	0.91160320	0.00018119	0.02270343	0.01734790	0.00026637	0.00048721	0.00026178	0.00793002	0.00152883	0.00112278	0.00269881	0.01489686
1:Ins:C:0	0.00000000	0.00000001	0.00000000	0.00000008	0.00107120	0.00000375	0.00118015	0.00000014	0.00000029	0.00000023	0.00000023	0.54143738
1:Ins:C:1	0.00017074	0.00000000	0.00003404	0.00019592	0.00013283	0.00051383	0.00085649	0.00000000	0.00004802	0.00391215	0.13346275	0.02022366
1:Ins:C:2	0.00000277	0.00000001	0.00000244	0.00131065	0.00013942	0.00078722	0.00000316	0.00000428	0.00124709	0.00231559	0.08813339	0.00352078
1:Ins:C:3	0.00030996	0.00065695	0.00167616	0.00002688	0.00000039	0.00611365	0.00000283	0.00000149	0.00008844	0.00102742	0.03179154	0.00261791
1:Ins:C:4	0.00147570	0.00115330	0.01205536	0.00006341	0.00020412	0.00633186	0.00025757	0.00000313	0.00017357	0.00049817	0.00982822	0.00264601
1:Ins:C:5	0.00342945	0.01546036	0.08009073	0.00000000	0.00000000	0.00680742	0.00000000	0.00000152	0.00143351	0.00356967	0.01350611	0.00406671
1:Ins:T:0	0.00071681	0.00172068	0.00684116	0.00000000	0.00275331	0.02002448	0.00660998	0.01208903	0.02729528	0.00250783	0.00319805	0.03398042
1:Ins:T:1	0.00000000	0.00000000	0.00015616	0.00203313	0.00158006	0.05164277	0.00000000	0.00447895	0.00462643	0.00684952	0.27889262	0.00945424
1:Ins:T:2	0.00022200	0.00000000	0.00248501	0.03752996	0.00000000	0.04288803	0.00000000	0.00000000	0.00675197	0.00337154	0.14650430	0.00559834
1:Ins:T:3	0.00068312	0.00315958	0.00565498	0.02008407	0.00002578	0.02765331	0.00003037	0.00000000	0.01041016	0.00312818	0.10496697	0.00382623
1:Ins:T:4	0.00090396	0.01323872	0.02849213	0.00931717	0.00020798	0.00761062	0.00065370	0.00000193	0.01711229	0.00365868	0.05664086	0.00788833
