Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3200
low confidence hdp.3,2400
low confidence hdp.4,2400
low confidence hdp.5,2000
low confidence hdp.6,2000
low confidence hdp.7,1942
low confidence hdp.8,1799
low confidence hdp.9,1322
low confidence hdp.10,1200
low confidence hdp.11,399
low confidence hdp.12,378
low confidence hdp.13,205
low confidence hdp.14,200
low confidence hdp.15,193
low confidence hdp.16,2
low confidence hdp.17,2
