"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.910249748229495
"SBS96B","SBS2",0.996777885176157
"SBS96C","SBS7b",0.975782610370868
"SBS96E","SBS4",0.984222634546836
"SBS96F","SBS40",0.914247074824386
"SBS96G","SBS44",0.992589809372516
"SBS96H","SBS1",0.999730651521519
"SBS96I","SBS3",0.928974120385815
"SBS96J","SBS18",0.990227160035642
"SBS96K","SBS17b",0.999504091503652
"SBS96L","SBS7c",0.993336703984887
"SBS96M","SBS17a",0.99971574188764
"SBS96N","SBS7d",0.958717819053966
"SBS96O","SBS13",0.998876456473789
"SBS96P","SBS28",0.951735106900685
