Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2800
low confidence hdp.3,2741
low confidence hdp.4,1800
low confidence hdp.5,1796
low confidence hdp.6,1794
low confidence hdp.7,1593
low confidence hdp.8,1550
low confidence hdp.9,1199
low confidence hdp.10,1011
low confidence hdp.11,815
low confidence hdp.12,600
low confidence hdp.13,400
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,198
low confidence hdp.19,57
low confidence hdp.20,31
low confidence hdp.21,2
