Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16,W.17
DEL,C,1,0,0.00340526912660452,5.75733841849784e-57,2.69891625724698e-126,0.700030763179851,0.0150946235044949,0.00179962570614962,3.26930277046656e-112,2.27807946687876e-11,1.68508811177041e-120,3.5059985740946e-246,2.94297411000297e-46,1.1636406195074e-52,0,0.0262063789138225,0.0821046986547823,4.18656873325466e-118,0
DEL,C,1,1,0,4.7059715953783e-124,8.49573167643792e-186,0.161853642427883,4.52459730758898e-85,0,9.25415840662931e-288,0.0164391922662869,0,1.11253692925361e-308,0,0.0185040048364179,0.000498251937040651,0,0.260386111746751,0,0
DEL,C,1,2,0,4.61770129490354e-31,0,0,0.0058743197563277,0,0,0,0,0,0,0.021900809811538,0,0,0.245215279541865,0,0
DEL,C,1,3,0.00171285159718506,0.00368989953518197,9.25926115072314e-167,0.0147248983016573,0,0,6.34559892693445e-66,0.00497362932171937,0.000151281014029808,1.48829905620787e-139,7.55022826797332e-122,0.0204433983666279,0.00137832253864017,0.025380971538318,0.0776559032131576,7.52881189566982e-149,0
DEL,C,1,4,0.00271852932897244,0,0,0.0170637434106968,0.00178365857135839,0.00162609781570457,0,0,0.000662847469946789,0,0.00706235776143043,0,0.000183248498874425,0.0161791588674443,0.0479502682327051,0.0670264080787332,0
DEL,C,1,5+,0.00950788254073392,0,0,2.59812303513782e-211,0,0,0,0,0,0,3.4783575965685e-202,1.03013494824239e-190,0.000486448595566174,2.3743804977633e-32,0.000452544876938834,0.854568026265113,0
DEL,T,1,0,0.00608580635283376,2.33687240201141e-11,5.33097951438366e-67,4.33958296274465e-47,1.5915641778373e-113,1.78281778313932e-137,0.988564887033475,0.00179807907931478,3.45034169189856e-79,2.58524257178953e-205,0.0227188477291705,0.0982604778227551,1.48827398015055e-128,0.0208163093972395,0.0350360320387273,1.69810124228446e-114,0
DEL,T,1,1,0,0.788861672304655,0,0,0,0,0,0,0,0,0,1.3959077219293e-60,0,0,3.09187024789211e-51,0,0
DEL,T,1,2,0.00318414299894645,0.00646495483466106,1.5467428876776e-22,0.037728814326361,0.00224094326650844,8.28139429597645e-136,5.18229886558703e-38,2.77275377309146e-90,4.86594017674258e-205,0.972690118864976,0.0599865463057428,0.133248364067887,3.11772914768881e-96,3.08824718127802e-32,0.00490776292132642,1.01334796775123e-131,0
DEL,T,1,3,0.00906436613584477,1.07655470756808e-55,0.981820206697867,1.7293517427354e-69,8.80435269020625e-45,4.08124673487747e-293,3.75778909556129e-100,2.09885119678594e-115,8.67831123424483e-235,7.59243730879908e-180,0.0621417810833152,8.49137526324897e-27,4.34201853749313e-10,0.0669360973546539,2.49667855250525e-26,4.20011704806818e-97,0
DEL,T,1,4,0.0282520218354076,1.32462940367299e-94,1.03720726316896e-141,1.15668380737021e-121,1.82638970397046e-72,0,4.82343116172997e-183,3.24959374897508e-148,5.15955142655118e-184,4.94660963604385e-247,0.797999070760703,1.5210773458908e-64,4.58873597461663e-41,4.15018093541566e-124,2.25072830023184e-70,1.22667303597827e-283,0
DEL,T,1,5+,0.883232859818899,4.3188242353143e-70,1.1019335526867e-128,1.98572496177236e-147,1.99882292602238e-86,0,6.75998822677684e-161,8.27925516251701e-59,1.03174029254413e-189,6.18639761252689e-184,1.20697812370864e-74,0.00294394166579902,2.61384918173037e-53,2.10990587884226e-68,3.64150258478217e-08,1.61779346580139e-215,6.69215066933557e-171
INS,C,1,0,0,0,0,0,0,0.759255726277891,0,0,0,0,0,0,0,0,0,0,0
INS,C,1,1,0.000204104254288762,0,0,0,0.00121348532878044,0.0230527257379439,0,0,0,0,7.65831110287421e-151,0,0,0.000868682935045231,0,4.85259790730806e-07,0.167875729898619
INS,C,1,2,1.59803014973016e-05,0.000762926076460475,9.66429627587396e-197,0,0,0.000235988000544492,3.54558136620115e-163,0.000110579464826583,0,0,2.66822374583227e-186,0.00441027465185853,0,1.31754636125349e-308,0.000873602295360228,3.99510258566207e-06,0.100695364061068
INS,C,1,3,0.000297016435770239,0,0,0,0,0.00181651151675432,0,0,0.000244724888141702,0,1.99477786687532e-304,0,0.000629392875611574,0.00652880831231938,0.00691001789144543,1.27384988495021e-138,0.0379542936815396
INS,C,1,4,0.00171099990626372,0,0,0,0.000160744649758346,0.00219158906936782,0,7.39767669127061e-118,0,0,0.00493042105681352,0,0.00143212488641568,0.0216064596876921,0.0058268251456957,0.0196750120809094,0.00980484005329592
INS,C,1,5+,0.00713956863944232,0,0,0,0,0,0,0,0,0,7.3653040094035e-194,0,0.0190540352699369,0.172833320808994,0.0073481632139142,6.43253765408412e-134,0
INS,T,1,0,0.000852069072659172,0.0430364412466312,8.26908434501832e-147,0.0190845074149086,0.00701473820197344,0.0462753246248539,7.81861200725029e-153,0.00185903968718175,0.000948019333865331,0,6.95640534896937e-121,0,0.00196263129743161,0.0189893855838159,0.0220113853378455,1.70775817010982e-132,0.000113841716797223
