Type,Subtype,Indel_size,Repeat_MH_size,hdp.0 (False Positive) (ID2 0.736),hdp.1 (ID2 0.999),hdp.2 (ID1 1),hdp.3 (ID5 0.999),hdp.4 (ID8 0.999),hdp.5 (ID6 0.999),hdp.6 (ID3 0.999),hdp.7 (ID9 0.998),hdp.8 (ID13 0.999),hdp.9 (ID4 0.997),hdp.10 (False Positive) (ID9 0.222),hdp.11 (ID14 0.915),hdp.12 (ID11 0.999),hdp.13 (False Positive) (ID5 0.579),hdp.14 (ID12 0.993),hdp.15 (ID10 0.987)
DEL,C,1,0,0.0105823714332255,0.00245109111854726,0.000365945913452638,0.0195283675176703,0.0385777704696,0.0284938101398671,0.122043487370179,0.327569146703524,0.0496013787275164,0.00862254935551026,0.0489131789727577,0.0132569201132109,0.00301659632626885,0.0444805296329816,0.0466857657648544,0.00915174472812406
DEL,C,1,1,0.00211333260864491,3.69235459352197e-05,0.000707495214340894,0.0289377031845171,0.0220537300497261,0.0057932831247673,0.211308702721101,0.0947448626060885,0.0154497347241186,0.00220907437063845,0.000609560645030522,0.00208423865900766,0.00119335028370994,0.00346124764844568,0.0124142648770569,0.0235770954151673
DEL,C,1,2,0.00133656710866216,5.79520586867996e-07,1.77752523307309e-06,0.0271293258170715,0.00295717884446478,0.00781362420603139,0.190029107860875,0.00265969117793544,0.00688304933026973,0.00144988153824205,5.69914244904176e-05,0.00122769130169399,0.000213552407650306,0.00129090911336497,0.00201462023668971,0.0171967312306862
DEL,C,1,3,0.00493265330176118,0.00159855403299227,0.00176637953682911,0.0147162578488134,0.00572099279532353,0.000906631135200685,0.0616699301414004,0.00952449815176539,0.00600464908584044,0.00118874982722917,0.0130708411111607,0.000426493472560262,0.000404582813016383,0.00694046690213482,0.005251029868957,0.00738277988257794
DEL,C,1,4,0.00665621114679382,0.00214921148842945,0.000848788095463799,0.00244308913751671,0.00100219526601076,0.00278389920534336,0.0438266789857064,0.0114486073919134,0.00316792584102251,0.00169589847963785,0.0170054662881169,0.00261867781123347,0.000253306377097602,0.0163917074574298,0.00285695278118738,0.00435840497977648
DEL,C,1,5+,0.0206843107942337,0.0088163260695592,0.00306958806193653,0.00216228213441086,0.000507999373883134,0.00166534662085174,0.0232774350643581,0.00140421158917791,0.00141353182345225,0.00233258471627175,0.214253523092129,0.00493359565945645,0.000784526341160791,0.00361382834975697,0.0344292509006025,0.00689582729412905
DEL,T,1,0,0.0155456244252387,0.00530566926099181,0.000790672147832819,0.107145880001901,0.0359321274232488,0.00411358734678499,0.034515508720732,0.0961387835483731,0.0491623236327644,0.00527357711182537,0.0422109122284472,0.0237232490963415,0.000811164749092447,0.181569217657623,0.0238631965445534,0.0331160603026704
DEL,T,1,1,0.00330683509523753,2.05609016584946e-07,1.56929254202523e-06,0.0991984127056669,0.00962320426343688,0.000316674847018764,0.0110479724902136,0.0451470197110892,0.522355723289907,0.000764427244962898,1.74088714498086e-06,0.000509360440583119,0.00102171405473547,0.00429163099895274,0.0037730443734962,0.00122189331417557
DEL,T,1,2,0.0174182202234196,0.00355489617654048,0.000772820068758071,0.114479017399868,0.00846384582617458,0.0119654713860771,0.0148994460575997,0.0784231504152205,0.0217070419659254,0.0013608020874461,0.00781672937215048,0.012303088683355,0.000752439786506257,0.0195545479905483,0.0211400628828484,0.00255025559461339
DEL,T,1,3,0.0276055616702209,0.0107777125325353,0.00236970594934257,0.0844021348246074,0.00869545935899559,0.0202466542651808,0.0129507205537248,0.112711695914454,0.0607251660030088,0.000948107406385167,0.0309914495528595,0.0206032513379315,0.00162646433353713,0.471283004683548,0.0160191270122642,0.00908551488492003
DEL,T,1,4,0.095933385463646,0.0263657307000378,0.00445721968543668,0.0521845665404452,0.000776673578363347,0.0173194428547211,0.0133790960814704,0.0880508751870264,0.0174033647256774,0.00128925043487396,0.00645990089554654,0.0200290044614677,0.00115457940342558,0.0477231969972389,0.0379913447140773,0.00877167321075597
DEL,T,1,5+,0.323549332419412,0.864362833177234,0.00256829071326988,0.0265125467139679,0.00834976074250891,0.00488777001193707,0.00750254844553526,0.00190112668941085,0.00825031691677686,0.00578788084001115,0.0426921489514057,0.0520325573015269,0.00702344677923001,0.026894205057459,0.00570924746825028,0.00315743614387688
INS,C,1,0,2.56552207888511e-05,2.04733845269855e-07,1.65629601658942e-06,0.000459485247691431,0.00298244828795298,0.00211589492964739,0.0024539381329309,7.22850144866795e-05,0.00197195562875414,0.000182375808093627,6.53373174100214e-07,0.581527997471516,0.000352408663937894,0.000106255285153345,0.00135099147472933,0.00042813369078446
INS,C,1,1,0.000479417054438941,0.000136891003112826,2.13265228150383e-05,0.00122460037797198,0.0020375120560472,0.00162504391250672,0.00150694230105143,0.000247871168992644,0.00162546011351834,7.95396794209008e-05,0.000990988535697193,0.0199827917700615,0.165236806155002,0.000901945486711985,0.0025686595136755,0.00197505885820839
INS,C,1,2,0.000143554502135751,7.83955953962978e-06,5.03506188476487e-06,0.00311591933809418,0.0013335076800148,0.000291569399698839,0.00158544115245212,0.000673925579108746,0.0017283314278972,0.000104446496876612,8.57310137753574e-05,0.00117698375549957,0.0930176410997214,0.000434414078126273,0.00401686160469549,0.00120610409411964
INS,C,1,3,0.00110765178656837,0.000280071461389038,0.000812503737984805,0.000499516126504156,9.66054719139345e-05,0.000246815649232248,0.00648539428752874,0.000206414615488761,0.000183730350280565,0.000421775202511349,0.00177060614017571,0.00185275459647971,0.0383058699237844,0.00235231822092229,0.00158672221825473,0.00311012707965825
INS,C,1,4,0.00551417998803745,0.00145638761038685,0.00187362721858037,0.000137564381538949,0.000745045431297274,0.000439892786604963,0.00634328808448419,0.000213226880489179,0.000154738941406485,9.47435995479647e-05,0.00614523754294736,0.00241722598496082,0.0106336832677188,0.00334751549272574,0.00368743593754844,0.00306545938763722
INS,C,1,5+,0.0349414910633145,0.00619727427306132,0.0202471339123576,0.000338373438078888,0.00110511634781266,0.000427511862330944,0.00836307697980674,0.000848313110241942,0.0010309543304948,0.000340092021933271,0.0558619784039993,0.00137337728032815,0.00196987498125791,0.00218102614893957,0.0168847956063369,0.0131390126743939
INS,T,1,0,0.00369272131992497,0.000754967721496016,0.00225960533910366,0.00578023736887412,0.00411390055964694,0.00674545914800353,0.0206502535010398,0.0126670489150909,0.0373649932403099,0.00160144476490224,0.00790920089797501,0.0364499202741017,0.000888494652239587,0.00972970378077635,0.00431787180497098,0.0081083850840539
INS,T,1,1,0.000560587427297072,2.19153356580947e-06,2.31950885133672e-05,0.0139954522398077,0.00506811414442629,0.0012051246476984,0.0466689168742424,0.00941115993186654,0.00516490752344,0.00118249038318135,1.54065522202605e-05,0.00263676331070304,0.296206169791801,0.000731547874993816,0.00241573888244856,0.0346284591581559
INS,T,1,2,0.00237597704525452,0.000342396183012038,0.000206902621704178,0.0314392169993137,0.00120620308070398,0.000328643174143752,0.037733779842547,0.00226263634425365,0.00453736909049669,0.000384311242468253,0.000682504959898222,0.00335478765031129,0.161208292571699,0.00413289489985497,0.00224582557944149,0.00191998809619394
