Signature,NumberOfPostSamples
low confidence hdp.1,3482
low confidence hdp.2,2800
low confidence hdp.3,1616
low confidence hdp.4,1200
low confidence hdp.5,798
low confidence hdp.6,599
low confidence hdp.7,374
low confidence hdp.8,200
low confidence hdp.9,198
low confidence hdp.10,197
low confidence hdp.11,197
low confidence hdp.12,195
low confidence hdp.13,183
low confidence hdp.14,124
