Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3000
low confidence hdp.3,2106
low confidence hdp.4,1996
low confidence hdp.5,1429
low confidence hdp.6,1196
low confidence hdp.7,1196
low confidence hdp.8,1000
low confidence hdp.9,987
low confidence hdp.10,979
low confidence hdp.11,917
low confidence hdp.12,600
low confidence hdp.13,600
low confidence hdp.14,400
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,200
low confidence hdp.19,70
low confidence hdp.20,8
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
