prog,down_samp_thres,seed,ex.sig,gt.sig,sim
mSigHdp,1k,145879,hdp.6,ID1,1
mSigHdp,1k,145879,hdp.1,ID2,0.997
mSigHdp,1k,145879,hdp.14,ID3,0.969
mSigHdp,1k,145879,hdp.10,ID4,0.998
mSigHdp,1k,145879,hdp.3,ID5,0.977
mSigHdp,1k,145879,hdp.4,ID6,0.999
mSigHdp,1k,145879,hdp.2,ID8,0.998
mSigHdp,1k,145879,hdp.5,ID9,0.997
mSigHdp,1k,145879,hdp.13,ID10,0.987
mSigHdp,1k,145879,hdp.8,ID11,0.999
mSigHdp,1k,145879,hdp.12,ID12,0.993
mSigHdp,1k,145879,hdp.9,ID13,0.999
mSigHdp,1k,145879,hdp.7,ID14,0.915
mSigHdp,1k,200437,hdp.6,ID1,1
mSigHdp,1k,200437,hdp.1,ID2,0.997
mSigHdp,1k,200437,hdp.2,ID3,0.998
mSigHdp,1k,200437,hdp.7,ID4,0.998
mSigHdp,1k,200437,hdp.15,ID5,0.98
mSigHdp,1k,200437,hdp.4,ID6,0.999
mSigHdp,1k,200437,hdp.5,ID8,0.975
mSigHdp,1k,200437,hdp.9,ID9,0.998
mSigHdp,1k,200437,hdp.14,ID10,0.987
mSigHdp,1k,200437,hdp.11,ID11,0.999
mSigHdp,1k,200437,hdp.13,ID12,0.992
mSigHdp,1k,200437,hdp.8,ID13,0.999
mSigHdp,1k,200437,hdp.10,ID14,0.917
mSigHdp,1k,310111,hdp.5,ID1,1
mSigHdp,1k,310111,hdp.1,ID2,0.998
mSigHdp,1k,310111,hdp.3,ID3,0.998
mSigHdp,1k,310111,hdp.11,ID4,0.998
mSigHdp,1k,310111,hdp.14,ID5,0.964
mSigHdp,1k,310111,hdp.4,ID6,1
mSigHdp,1k,310111,hdp.2,ID8,0.999
mSigHdp,1k,310111,hdp.9,ID9,0.998
mSigHdp,1k,310111,hdp.13,ID10,0.987
mSigHdp,1k,310111,hdp.6,ID11,0.999
mSigHdp,1k,310111,hdp.12,ID12,0.993
mSigHdp,1k,310111,hdp.7,ID13,0.999
mSigHdp,1k,310111,hdp.8,ID14,0.916
mSigHdp,1k,528401,hdp.8,ID1,1
mSigHdp,1k,528401,hdp.1,ID2,0.997
mSigHdp,1k,528401,hdp.4,ID3,0.998
mSigHdp,1k,528401,hdp.7,ID4,0.998
mSigHdp,1k,528401,hdp.2,ID5,0.998
mSigHdp,1k,528401,hdp.5,ID6,1
mSigHdp,1k,528401,hdp.3,ID8,0.999
mSigHdp,1k,528401,hdp.10,ID9,0.998
mSigHdp,1k,528401,hdp.13,ID10,0.987
mSigHdp,1k,528401,hdp.11,ID11,0.999
mSigHdp,1k,528401,hdp.12,ID12,0.993
mSigHdp,1k,528401,hdp.9,ID13,0.999
mSigHdp,1k,528401,hdp.6,ID14,0.915
mSigHdp,1k,1076753,hdp.7,ID1,1
mSigHdp,1k,1076753,hdp.1,ID2,0.997
mSigHdp,1k,1076753,hdp.9,ID3,0.98
mSigHdp,1k,1076753,hdp.11,ID4,0.998
mSigHdp,1k,1076753,hdp.5,ID5,0.984
mSigHdp,1k,1076753,hdp.4,ID6,0.999
mSigHdp,1k,1076753,hdp.2,ID8,0.998
mSigHdp,1k,1076753,hdp.12,ID9,0.998
