Approach,Noise_level,Run,CPU_time
mSigHdp,1k,seed.145879,215578.996
mSigHdp,1k,seed.200437,217963.591
mSigHdp,1k,seed.310111,217590.811
mSigHdp,1k,seed.528401,217693.407
mSigHdp,1k,seed.1076753,214882.135
mSigHdp,3k,seed.145879,224279.814
mSigHdp,3k,seed.200437,222580.092
mSigHdp,3k,seed.310111,227477.877
mSigHdp,3k,seed.528401,221544.186
mSigHdp,3k,seed.1076753,224862.779
mSigHdp,5k,seed.145879,244250.34
mSigHdp,5k,seed.200437,230412.49
mSigHdp,5k,seed.310111,234324.887
mSigHdp,5k,seed.528401,234001.759
mSigHdp,5k,seed.1076753,238117.67
mSigHdp,10k,seed.145879,275883.174
mSigHdp,10k,seed.200437,259964.591
mSigHdp,10k,seed.310111,264016.392
mSigHdp,10k,seed.528401,264620.484
mSigHdp,10k,seed.1076753,267399.744
mSigHdp,non_hyper,seed.145879,207256.241
mSigHdp,non_hyper,seed.200437,190703.055
mSigHdp,non_hyper,seed.310111,194851.994
mSigHdp,non_hyper,seed.528401,194389.369
mSigHdp,non_hyper,seed.1076753,198765.277
