Signature,NumberOfPostSamples
low confidence hdp.1,3548
low confidence hdp.2,3503
low confidence hdp.3,3346
low confidence hdp.4,3214
low confidence hdp.5,2997
low confidence hdp.6,2690
low confidence hdp.7,2298
low confidence hdp.8,2236
low confidence hdp.9,2202
low confidence hdp.10,1800
low confidence hdp.11,1600
low confidence hdp.12,1486
low confidence hdp.13,1209
low confidence hdp.14,1200
low confidence hdp.15,1089
low confidence hdp.16,1009
low confidence hdp.17,983
low confidence hdp.18,968
low confidence hdp.19,807
low confidence hdp.20,624
low confidence hdp.21,611
low confidence hdp.22,590
low confidence hdp.23,528
low confidence hdp.24,502
low confidence hdp.25,475
low confidence hdp.26,469
low confidence hdp.27,414
low confidence hdp.28,386
low confidence hdp.29,374
low confidence hdp.30,373
low confidence hdp.31,367
low confidence hdp.32,330
low confidence hdp.33,316
low confidence hdp.34,278
low confidence hdp.35,276
low confidence hdp.36,258
low confidence hdp.37,258
low confidence hdp.38,257
low confidence hdp.39,243
low confidence hdp.40,242
low confidence hdp.41,235
low confidence hdp.42,229
low confidence hdp.43,228
low confidence hdp.44,216
low confidence hdp.45,214
low confidence hdp.46,204
low confidence hdp.47,203
low confidence hdp.48,201
low confidence hdp.49,200
low confidence hdp.50,200
low confidence hdp.51,200
low confidence hdp.52,198
low confidence hdp.53,197
low confidence hdp.54,196
low confidence hdp.55,195
low confidence hdp.56,181
low confidence hdp.57,177
low confidence hdp.58,173
low confidence hdp.59,147
low confidence hdp.60,132
low confidence hdp.61,131
low confidence hdp.62,130
low confidence hdp.63,112
low confidence hdp.64,104
low confidence hdp.65,71
low confidence hdp.66,67
low confidence hdp.67,59
low confidence hdp.68,52
low confidence hdp.69,49
low confidence hdp.70,47
low confidence hdp.71,45
low confidence hdp.72,40
low confidence hdp.73,40
low confidence hdp.74,38
low confidence hdp.75,35
low confidence hdp.76,35
low confidence hdp.77,34
low confidence hdp.78,33
low confidence hdp.79,32
low confidence hdp.80,31
low confidence hdp.81,29
low confidence hdp.82,27
low confidence hdp.83,26
low confidence hdp.84,26
low confidence hdp.85,25
low confidence hdp.86,24
low confidence hdp.87,20
low confidence hdp.88,18
low confidence hdp.89,17
low confidence hdp.90,16
low confidence hdp.91,16
low confidence hdp.92,14
low confidence hdp.93,14
low confidence hdp.94,14
low confidence hdp.95,11
low confidence hdp.96,10
low confidence hdp.97,10
low confidence hdp.98,8
low confidence hdp.99,6
low confidence hdp.100,6
low confidence hdp.101,6
low confidence hdp.102,6
low confidence hdp.103,6
low confidence hdp.104,5
low confidence hdp.105,4
low confidence hdp.106,4
low confidence hdp.107,4
low confidence hdp.108,4
low confidence hdp.109,4
low confidence hdp.110,4
low confidence hdp.111,4
low confidence hdp.112,4
low confidence hdp.113,4
low confidence hdp.114,4
low confidence hdp.115,3
low confidence hdp.116,2
low confidence hdp.117,2
low confidence hdp.118,2
low confidence hdp.119,2
low confidence hdp.120,2
low confidence hdp.121,2
low confidence hdp.122,2
low confidence hdp.123,2
low confidence hdp.124,2
low confidence hdp.125,2
low confidence hdp.126,2
low confidence hdp.127,2
low confidence hdp.128,2
low confidence hdp.129,2
low confidence hdp.130,2
low confidence hdp.131,2
low confidence hdp.132,2
low confidence hdp.133,2
low confidence hdp.134,2
low confidence hdp.135,2
low confidence hdp.136,2
low confidence hdp.137,2
low confidence hdp.138,2
low confidence hdp.139,2
low confidence hdp.140,2
low confidence hdp.141,2
low confidence hdp.142,2
low confidence hdp.143,2
