Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16
DEL,C,1,0,7.1611521748778e-96,0,8.69476266662408e-107,0,0.00315439587555875,7.97977864965329e-175,0,0.0270146582145794,2.5969759998458e-71,3.04745840460558e-147,3.41651859006368e-08,3.27643775689581e-262,0.0213666036405246,0.000725397493594459,0.550453878220676,0.0832391534633194
DEL,C,1,1,0,0,7.85897135274063e-65,0.000500555810445466,9.48313708768098e-245,0,0,0,0.0185219389694286,7.89861280578602e-71,0.0186879648088962,2.28906658125483e-45,0.00084665512603158,0,0.133133971358204,0.254004476957135
DEL,C,1,2,0,0,0.00130285773140444,0,0,0,0,0,0.0217914299826914,0,0,0,0.00538554082067137,0,0,0.23847442842003
DEL,C,1,3,0.000388438257676937,0,0.00344892870489381,0.00160115214857987,0.0016021551432346,8.98491340784084e-186,0,0.0188566873811017,0.0176283098443371,2.93693481126241e-165,0.00532011060072453,0.00172454582588728,0,0,0.0125236776390279,0.0754754824378849
DEL,C,1,4,0.000826469585892195,0,0,0.000350863756600061,0.00267281342315473,6.18257032864046e-70,0,0.0258121135539922,0,0,0,0,0.00203604945132941,0.00220905998859919,0.0153635849666447,0.0503972785205109
DEL,C,1,5+,0.0017519089840055,0,0,0.00127897419238372,0.0102713600148704,1.31002132272272e-296,0,0.110873579538532,0,0,0,0,0.000794953727307773,0.00468742550453749,1.18757137520023e-187,0.0275266940233213
DEL,T,1,0,0.000463281668508323,0,0.0368261255223044,5.17489849850676e-81,0.00564879132409883,4.60505929570916e-19,0,0.0537209606099144,0.163796333262358,0.109418828166793,0.0393852179111696,1.04482505177098e-172,0,0.0210246345807472,0.123899437579469,0.0264822103888672
DEL,T,1,1,0,0,0.779249597320178,0,0,0,0,0,0,0,0,0,0,0,0,6.88167134670405e-60
DEL,T,1,2,0,0,0.00245376712462618,0.000594713939602516,0.00386905100680787,0.047585742382633,0,0.0231846256588149,0.215333068424743,4.32959823970477e-22,7.09147312047169e-183,0,0.0109349784799186,0.0112493469077708,0.105800296684974,0.00635966161250932
DEL,T,1,3,0,0,4.16622445636307e-77,0.000360696851901683,0.00889824473162875,5.53010442446492e-21,0,0.0985071482976493,3.43256233040321e-40,0.871645638457006,1.16783956067574e-182,0,0.0113672745471067,0,6.06351067230967e-78,3.23583527937358e-36
DEL,T,1,4,7.31904026955653e-209,0,3.8659043606525e-108,1.26247646406889e-54,0.0282839831442841,0.916604062081658,0,1.75358906535564e-98,1.0366311247592e-72,2.57007942633147e-111,5.42469764878088e-186,0,9.23621676103627e-82,0,8.37390245573208e-120,8.07405985421322e-77
DEL,T,1,5+,3.58487945556041e-229,3.39322588492418e-223,8.15339137597546e-86,0.000269733197745563,0.885852537187988,4.40673684490239e-99,0,3.17790027709997e-29,0.0112617670419158,2.6333926110599e-124,6.44410244527041e-91,2.85437952183606e-216,2.0132998519724e-107,0,3.1421782460168e-190,4.29618523075857e-46
INS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740250379284976,0,0
INS,C,1,1,0,0.168471083768359,0,0,0.000185310246112353,0,0,0.00104499262258449,0,0,0,0,0.00117739637246737,0.0225535160616521,0,0
INS,C,1,2,0,0.10064738151629,0.000533831093616424,0,1.46629917869448e-05,2.02474912963758e-308,0,2.80633098015473e-05,0.00381366127197674,3.28710327007048e-136,4.17123875124534e-33,3.52111401644396e-97,0,0.000282637278286634,0,0.000761029467344655
INS,C,1,3,0.000238329221202846,0.0382099284748822,0,0.000697452882767252,0.000271511783621396,0,0,0.00474046033932126,0,0,0,0,0,0.00176255584555748,0,0.00685003647296057
INS,C,1,4,0,0.0103126592410799,0,0.00159878532027798,0.00159753996927289,0.00333137378173245,0,0.0210385981381947,0,0,1.71199478931115e-05,0,0.000243498672758906,0.00224748405676333,0,0.00658958786020066
INS,C,1,5+,0,0,0,0.0208196628300138,0.00629337954102117,2.69452797062014e-212,0,0.127987333726803,0,0,0,0,0,0,0,0.0068642520607906
INS,T,1,0,0.000915417990057431,0.000283766303160368,0.0429760556388409,0.00216988748008907,0.000794372453105378,1.08989802108808e-184,0,0.0133157132759159,0,7.02424406306736e-246,0.00221912249220222,2.02924860622804e-226,0.00692303005593771,0.044789778108244,0.0155575713216779,0.0215765444449572
INS,T,1,1,4.12610835832251e-166,0.318972996399801,1.12541485912156e-05,0,0,0,0,0,0.0129679794826943,0,0.00206468989583057,8.96128410852067e-211,0,0,0.00842724278559321,0.052083129234228
INS,T,1,2,0,0.169362282524296,6.03372093055048e-19,2.56608289416045e-05,0.000409708472345859,0.00574716419596554,0,0.00231933534093194,0.048455739758105,2.48300585899568e-222,0,0,0,0.00150076839277574,0,0.0447326372184646
INS,T,1,3,4.39701551763121e-67,0.120240561195429,0.0082237342977951,0.00353525188227473,0.000701822639725358,1.17756478213027e-203,0,0.0111892775676936,0.0275624051664127,1.4077047190389e-128,0,0,8.49830618784704e-05,0,0,0.0290049691325708
INS,T,1,4,0.000364436886183663,0.0577881772488308,0.019199908996939,0.0147304522972729,0.00185651538414052,1.62351837510204e-295,0,0.0457956270623052,0.013742153688926,6.23752526725076e-84,5.17926505423648e-96,0,0.000772246713866042,0.00328236640465209,0,0.00757342671713194
INS,T,1,5+,9.70569781606623e-119,5.45035821667076e-244,1.68533819699105e-77,0.922161812171027,0.00188893428203657,1.89339582302172e-81,0,1.23262659824926e-54,4.24539921001225e-33,2.04155903692742e-90,4.1748892632394e-43,5.21601758735187e-213,2.13941077535644e-43,0,2.17860288513937e-78,1.48791926459276e-40
DEL,repeats,2,0,0.0748685106851558,0,0.0285521037046203,0.000183776331055405,8.13431181511389e-05,4.40968467148106e-261,0,0.000451787157443345,0.0422344179399686,7.67156275183177e-13,0.00873528076173849,7.26122113194167e-70,0.000695122901176244,0,0.0155439103939877,0.00617293328442352
DEL,repeats,2,1,0.237577923075643,0.000852236470605998,0.0044305112744925,0.000460634773814231,0.00182474713368117,0.00159852263015765,0,0.0246944789327292,0.0280605411690808,9.70233159574381e-128,0.00776012907597529,1.44224615543713e-113,0.000952094328555258,0.00503891956295897,4.26319676103862e-259,0.00902409387096217
DEL,repeats,2,2,0.052699655737964,0.000546317716217495,0.00258590662392565,0.00027418500887699,0.00139513427263706,8.1657812070277e-145,0,0.00927827285578978,0.00192774652552733,1.01057054482048e-252,0,0,0.00163152028234898,0.00431684923497043,0,0.0148568692270262
DEL,repeats,2,3,0.00994106047977216,0,0,0.000288620736954035,0.000477574178197829,0,0,0.00540889527885869,0,0,0,0,0.000212314929951703,0.000258399467486154,0,0.00787914525136393
DEL,repeats,2,4,0.00333443854320883,0,0,7.39503934239816e-130,0.000497540136942466,2.42956989030908e-40,0,0.00788410649462324,0.00120595652738637,0,8.89986310404778e-290,3.43461093691669e-05,0.000245342798374445,3.04576662805256e-05,0.000104299342330246,0.00316778680911741
DEL,repeats,2,5+,0.000590497249711798,0.00517440292525785,0,0,0,0,0,0,0.0486929199849354,0,6.4060428498806e-96,0,0,0,0,0
DEL,repeats,3,0,0.00473193636161029,0.000551808312036242,0.00541629128079309,8.47117469292692e-05,2.45220095261799e-06,0,0,0,0.0317146714857389,7.82972687399429e-51,0.0152638833975106,0.00514748094848001,0.000637857324014787,0.00141541620940198,0.00280235859410945,0.000563086867763244
DEL,repeats,3,1,0.104835990015347,0,0.00053294797291292,0.0035449340536152,0.00375830170532399,3.3972912606861e-123,0,0.0386399064517916,0.00276387988289449,4.78086456921994e-16,5.24127776411454e-246,0,0.00492518628404019,0.00397934938106212,0.000556077754120277,1.83511420903869e-254
DEL,repeats,3,2,0.0191141073664885,2.58286170308678e-64,0.000105502495939102,0.000319140770905163,0.0016566339610241,0.00417383655897391,0,0.0140166726461227,0,5.45929087601975e-279,0.000274469505299958,0,0.000337682662964111,0.00186909018477106,1.08532422380848e-218,0
DEL,repeats,3,3,0.00450008742735866,2.68225513481224e-05,0,0.000246925774504295,0.000326135422017465,7.70347791581163e-76,0,0.00242477686387828,0.00109310909281149,0,3.45751594429737e-241,0.000974577794544186,0,0.000593721137017496,0,0
DEL,repeats,3,4,0.000269031410903228,0.00177111491157287,0,0,0,0,0,0,0.0130196768662128,0,0,0,0,0,0,0
DEL,repeats,3,5+,0,0.00127632069784885,1.39589815638347e-98,0,0,0,0,0,0.0185065828634295,0,0,0,6.46226513329892e-05,0,0,0
DEL,repeats,4,0,0.00874255559923913,4.0487449247038e-196,0.00203762027510935,2.87122303289351e-05,4.8689289201897e-06,0,0,0,0.0202205503941551,0.000166920149503056,0.00835134049131865,0.00759018678112387,0.00148224988239084,0,0.00225174414339397,4.15442125686493e-05
DEL,repeats,4,1,0.0683086918416795,0.000315864359216038,0,0.00034851393284086,0.00141222663058809,0.00470871121224227,0,0.0121234515102562,1.11253693097196e-308,0,2.92980958328269e-278,0.00110922505287692,0.00243972311624415,6.46393644044989e-239,0.00151830823827167,1.49657285282934e-09
DEL,repeats,4,2,0.0124502022187151,0,0,0,0.000329363691975381,2.4276277126629e-260,0,0.00370559112604637,0,0,0,0,0.000523163589368715,0.000453138401910283,9.58750625475402e-05,0
DEL,repeats,4,3,0.00378842779155009,0.000253058583103626,0,0,2.73730692518724e-06,0,0,1.13253266457134e-05,0.00785146181411645,0,0,0,0.00018312749078,0.000128596575584591,0,0
DEL,repeats,4,4,0.000567320184834362,0.000793247847494177,0,0,0,0,0,0,0.00990764440040733,0,0.00026154909331846,2.14883491279715e-189,0,0,0,0
DEL,repeats,4,5+,0.000140206315535853,0.000111000357702599,0,1.39067378566536e-05,0.000132083503262176,0,0,0.0021478516104393,0.00377154339210297,0,3.01283530646368e-05,0,0,0,0,0
DEL,repeats,5+,0,0,0,6.19231555083885e-117,0,0,0,0,0,1.77190698504709e-190,0,0.201147166438969,0.836927372898652,7.74004471415627e-67,0,0,2.39862002966224e-201
DEL,repeats,5+,1,0.00989117425977766,9.53650323308404e-05,0.00102984263304001,1.5906892825105e-244,0.00222008828544662,0,3.13317674965601e-147,0.0192785163234281,0,0,0,0,0.00827342874182754,0,0,0
DEL,repeats,5+,2,0.00309263482659353,0,0,6.41880295943624e-05,0.00023589372398343,0.000537136176457589,0,0.0029396015757536,0.000667138628555934,5.21409821139795e-308,0.000484141180563671,0.000243195881084329,0.000487907268205327,0.000104620227175491,0,0
DEL,repeats,5+,3,0.0014380618130496,2.22622570572235e-06,2.02766269624475e-257,2.22566032779001e-05,9.70789599123582e-05,1.06444554947121e-77,0,0.000813589633476858,0.000481249680856279,0,0,0,0.000109938871616224,0.000116970159381298,0,0
DEL,repeats,5+,4,0,0,3.37006021279065e-05,3.46393724579705e-220,5.7542181620538e-05,1.80013997337756e-135,0,0.000595451622309435,0.000130873938737849,0,5.24093036052338e-05,0.000164373194280108,7.3744213007688e-05,0,0,3.60536080453192e-05
DEL,repeats,5+,5+,0.000386402637312147,5.5269451050479e-05,0,8.65971704992412e-06,1.06714922403317e-05,0,0,0.00031206356823614,0.00131180169612098,0.000105903982817304,0,5.02991935044156e-05,4.0548914958712e-05,0.000107748381280947,5.07547039297091e-05,0
INS,repeats,2,0,0,0,0.0120928749337272,0.000348060623967291,0.000195694162975079,2.18467056591684e-33,0.0044221183998128,0.0034307541023915,0.0102507349383267,1.14696969646198e-143,0.00201778527148106,0.0011768898176223,0.00222576241949793,0.0334103283072329,8.04659839947627e-05,0.00306289479896847
INS,repeats,2,1,1.65154977734416e-103,0,0.00230825504042906,0,0.000202811823611324,0.000599692899098517,0.0144240452740374,0.00104442521413113,0.0359341013745162,1.94052665459477e-93,0.00181729850034778,0.000908884968985798,0,0,0.00261835612463248,0.00261121675485931
INS,repeats,2,2,0.000276732565808161,4.86903016487871e-05,1.68070803804595e-05,6.64751863579029e-44,0.000709665328431917,0.00169195013947212,4.01929433332284e-255,0.00810571725897761,0.0127633512127223,0.00287258658968656,1.13600666003984e-65,0.000155536681584078,0.000658740015997715,0.000964471759255892,0,0.00100800094311239
INS,repeats,2,3,0,0.000142945865823829,0.000299306932046476,0.000554200280736021,0.000277427028946058,2.70906986803748e-91,0,0.00265635906775568,0.00164945564277985,0.0014640486867502,1.3407397533111e-271,0.00026320577658004,0.000508430631747287,0.00164990513889792,3.50904923119257e-46,0.00145035743623785
INS,repeats,2,4,2.1344279453335e-05,0.000312930373388046,0,0.00205600111811999,0.00143181772124034,8.19529565241532e-32,0,0.0228249784423083,0,0,0,0,7.71241968981994e-198,0.00267318961727249,1.11260011630937e-308,0.000182949416520219
INS,repeats,2,5+,0,0,4.1933465664333e-152,0.0143952128392848,0.00787504756364712,6.71609943873015e-254,0,0.131090890508828,0.000526497389708192,7.62209763069806e-273,2.72003314492465e-34,0.00235352273496886,0.000327145916432023,0,0,0
INS,repeats,3,0,0,0,8.19580997463373e-05,4.71583270522644e-19,2.91738077872783e-05,0,0.0120725938158673,0.000497898203592728,0.00733450353861698,6.00139380337461e-306,0.000767789242282852,0.000231160982756689,0.000933937191269352,0.0103297840089612,0,0.00030095111734429
INS,repeats,3,1,0.000150987172987053,8.88049388659434e-48,0.00489398628217708,0.000176351488900188,0.000893633148835904,5.82849034915164e-165,0.0220419434824967,0.00490371492643173,0.00899425776989266,0.00604370210163443,0.000566994128186048,0,3.24497241104469e-05,0.00299131682219787,4.2138217251538e-214,1.56491562462613e-167
INS,repeats,3,2,0.000903823973097474,0,0.000562423172234713,3.86366138726733e-06,0.000167792587062134,0,0,0.00163137256306465,0.00178445787942886,0.00104299692173845,9.1652576928556e-05,1.11253692925696e-308,0.00087866644600792,0,0,0
INS,repeats,3,3,0,0.000121366872164071,0,0.000173624935689896,0,0,0,0.000247323864724197,1.98844895140168e-05,0,1.49100419430815e-218,0,0.000310266657391241,0.000699305899932992,0,0
