Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2641
low confidence hdp.3,2597
low confidence hdp.4,2389
low confidence hdp.5,1419
low confidence hdp.6,1385
low confidence hdp.7,800
low confidence hdp.8,772
low confidence hdp.9,600
low confidence hdp.10,600
low confidence hdp.11,596
low confidence hdp.12,426
low confidence hdp.13,400
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,196
low confidence hdp.17,52
low confidence hdp.18,17
low confidence hdp.19,2
