Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11,signeR.12,signeR.13
DEL,C,1,0,5.68515616436686e-06,0.0011875835054447,0.00401356550730674,0.00210447303074961,0.0184649412775529,0.0058945037649957,0.0303830714259576,0.00302584559084045,0.103488643269635,0.0218515536916349,0.367106052657124,0.00535318610986474,0.0119660743863503
DEL,C,1,1,0.000363963363721559,7.00492103008974e-06,6.18514679623958e-05,9.67251204615043e-05,0.0215024946965151,0.000148223674525945,0.00811110831950675,6.81874057172444e-05,0.221006665308597,0.000160398706914441,0.0993071359967921,0.000640006346364319,0.00038567068271219
DEL,C,1,2,2.02111334197367e-06,2.67055892139327e-06,3.19867528653962e-06,3.0804447388916e-06,0.0171597998065076,5.14151050711744e-06,0.00295735832522796,6.34032539749561e-06,0.194174511225118,1.41445912496654e-05,3.986577443358e-05,0.00010357941667304,0.00153238127640736
DEL,C,1,3,0.00220394776965861,0.00160803136011974,0.00164446247057522,0.00168396206500229,0.0103454686353138,0.00363070258885962,0.00121597667930071,0.000695751918304378,0.0703071281751117,0.00863153825362626,0.0118157688691349,0.000709728415711514,0.000538048027421482
DEL,C,1,4,0.000601327704982031,8.57276736640323e-05,0.00354778587945531,0.00163789718711352,0.001481727760774,0.00590075645306676,0.00131889512397987,0.00644596796955014,0.0435326359860645,0.0220704893259901,0.0133930859691906,0.00195981960064844,0.00213694528346058
DEL,C,1,5+,0.00255070605830045,0.00857737912108664,0.0219018990192521,0.000329924767218608,0.000309431268501091,0.00838648021811348,8.23889925778472e-05,0.00887346744264053,0.0247065180939209,0.10348414002916,6.5861598326205e-05,0.00460290615848669,0.00214907270750954
DEL,T,1,0,0.00175618135564104,3.66997570108242e-05,0.00706986689948019,0.00450298562240797,0.0992349641236656,0.00811018906282108,0.00991132216917367,0.0110017917545652,0.0316230087794652,0.0407169130969253,0.121858955684527,0.0171360964420828,0.00282193753420392
DEL,T,1,1,1.96717008662999e-06,2.28772097391698e-06,2.49589984831888e-06,3.06640859161578e-06,0.143313973432224,3.71357033762777e-06,1.74770282511125e-05,7.27182324429073e-06,0.00175137175933654,1.28434537406395e-05,0.0239096981700963,0.000117481157034785,0.0300237954639502
DEL,T,1,2,1.2268456365502e-05,0.00115812748267799,0.0103147161290157,0.00286833886629973,0.104681043088895,0.00852331442227237,0.00673723052827337,0.012803036424607,0.00888748289146278,0.034385167720893,0.0849695533814805,0.00680908398023851,0.000237290996908293
DEL,T,1,3,0.00292119864135163,0.0079699212530445,0.0158424077434834,0.000717588227147162,0.0796824296338067,0.00980203441174759,0.0134973147220326,0.0745768067776407,0.0101339934169894,0.120511148096659,0.11002101790948,0.0146135215203888,0.00327725202246475
DEL,T,1,4,0.00239793669516962,0.0331589203017202,0.0358994608719567,0.0330863040924625,0.0381007285933585,0.0525867714776356,0.00808639407344766,0.000180277766287586,0.0105632127859463,0.296060989928177,0.0975838999022486,0.0149588962395018,0.00115697282986097
DEL,T,1,5+,1.48549677599781e-05,0.91541225525447,0.809749497013063,0.809070384196873,0.00467591857039244,0.488998785274074,2.0573846610682e-05,0.436162950803715,0.000105288199897262,0.000383939363479534,5.99930972399188e-05,0.0931514340370969,0.00040524915173558
INS,C,1,0,2.07098227883686e-06,2.37763185774202e-06,2.73723930936217e-06,2.80807338277814e-06,0.000461103027049086,4.37883543414553e-06,0.00175286123727535,5.90482101112008e-06,0.00185530143776136,1.31617499222247e-05,2.79330013034008e-05,0.481580086226659,0.000544638868266041
INS,C,1,1,6.97772469192197e-06,4.99257358065174e-05,0.000209859135055858,9.17919484351449e-05,0.00631624696777876,0.000176658892647461,0.00147201584828063,0.000126647309355606,0.00534679556243178,0.00189365032791502,2.85589471350744e-05,0.0139266289616134,9.23701969880837e-05
