Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K,ID83L
DEL,C,1,0,0.00208216,0,0.00012058,0.00043144,0.02650734,0.0205884,0.09902937,0.4045517,0.00342614,0.00317633,6.842e-05,0.00527565
DEL,C,1,1,6.6e-07,6.325e-05,5.214e-05,0.00286527,0.02069139,0.00104478,0.24644067,0.09014502,0.00541574,0.00024636,0.00013016,0
DEL,C,1,2,0,6e-08,0,0.00327095,7.288e-05,0.00436363,0.22420927,0,0.00613155,3.695e-05,0.00357271,2e-08
DEL,C,1,3,0.00144328,0.00099108,0.01046229,0.01543591,0.00579584,7.12e-06,0.06996034,0.0079602,0.00627537,0.00080701,0.0007858,0.00031625
DEL,C,1,4,0.00261069,0.00027962,0.00985091,0.00304736,0.00014598,0.00197305,0.04525921,0.01172274,0.00016224,0.00089264,0.00025771,0.00217418
DEL,C,1,5+,0.00936715,0.00074053,0.05391496,0.00196236,0.0009301,0.0006612,0.02460338,5.597e-05,0.00062293,0.00206858,0.00199788,0.00548682
DEL,T,1,0,0.00456517,5.455e-05,0.02484832,0.14993244,0.03689809,0.0004644,0.03173613,0.10782695,0.06234266,0.0031432,0.0010331,0.02066528
DEL,T,1,1,0,1e-08,5e-08,0.00220629,0.00536837,0,0.00339493,0.00549013,0.48640717,0.00053513,5.596e-05,2e-08
DEL,T,1,2,0.00357452,9.816e-05,0.01828257,0.18769654,0.00315531,0.01043734,0.011674,0.08658961,0.03569718,0.00066565,0.00043302,0.01057998
DEL,T,1,3,0.00864016,0.00023685,0.08422144,0.12877019,0.00145387,0.01851482,0.00560544,0.13019036,0.0647425,0.00010659,0.00153686,0.01880101
DEL,T,1,4,0.02157834,8.52e-05,0.23139979,0.0821396,0,0.01325944,0.00479131,0.09088317,0.01151585,0.00023656,9.902e-05,0.01527098
DEL,T,1,5+,0.90579283,0.0003756,0.02139127,0.01299057,0.00037588,0.00043906,0.00044645,0.00947359,0.00116028,0.00157037,0.00300603,0.00969449
INS,C,1,0,0,0,0,9e-08,0.00111273,2.9e-07,1.3e-07,1.5e-07,5e-08,8e-08,2.3e-07,0.57149457
INS,C,1,1,0.00017266,0,5.8e-06,0.00012994,6.946e-05,0.00083498,6.342e-05,0,0.00049944,0.00150439,0.14218186,0.018134
INS,C,1,2,2.81e-06,1e-08,1e-08,0.00112137,8.915e-05,3.51e-06,0.00039408,6e-08,0.00155411,0.00088763,0.09434043,0.00192539
INS,C,1,3,0.00030478,0.0006538,0.0018212,0.0004115,0.00017592,3.75e-06,0.00571855,0,0.00017691,0.00052575,0.03361453,0.00205733
INS,C,1,4,0.00152172,0.00117999,0.01201068,0.0005213,0.00043333,0.00025449,0.00610748,5.54e-06,0.00017754,0.00010539,0.01001049,0.00253773
INS,C,1,5+,0.00349262,0.01572949,0.08213134,0.0004758,0.00601065,0,0.00660274,1.278e-05,0.00262533,0.00151079,0.00684232,0.00291624
INS,T,1,0,0.00073736,0.00174789,0.00682935,0.00133281,0.0029907,0.00638307,0.01984106,0.011768,0.02685163,0.00109151,0.00215522,0.03593565
INS,T,1,1,0,0,0,0.00163782,0.00148552,7.77e-06,0.04993566,0.00381135,0.00551355,0.00294659,0.29781561,0.00481605
INS,T,1,2,0.00028709,3.6e-07,0.00200181,0.03960869,6.81e-06,0,0.04082435,0,0.00779225,0.00131951,0.15640738,0.00332966
INS,T,1,3,0.00070454,0.0032531,0.00589638,0.02164738,0.00055509,3.329e-05,0.02633157,0,0.01084428,0.00146828,0.11086034,0.00196751
INS,T,1,4,0.00091811,0.0133812,0.0311688,0.00962725,0.00209253,0.0006222,0.00717469,2.19e-06,0.01737722,0.0018392,0.0565093,0.00666801
INS,T,1,5+,0.00137339,0.93910052,0.17289974,0.00294751,0.0149287,0.00434436,0.0051405,0.00724541,0.01012639,0.00806834,0.03974552,0.11958904
DEL,repeats,2,0,1.479e-05,6.323e-05,2.944e-05,0.03177246,0.00731858,0.00078408,0.00685958,0.01097844,0.0274277,0.07272071,3.178e-05,0.00048326
DEL,repeats,2,1,0.00171658,1.876e-05,0.00993017,0.02131208,0.00627175,0.00086183,0.00833555,0.00014792,0.00732129,0.22916331,0.00148932,0.00658399
DEL,repeats,2,2,0.00131896,4.309e-05,0.00421935,0.00150947,7.679e-05,0.00148486,0.01345454,3.716e-05,0.00217351,0.0502133,0.00100445,0.00422731
DEL,repeats,2,3,0.00059296,0.00023886,0.0018036,0.00046581,3.817e-05,0.00018686,0.00685601,0,5.809e-05,0.00923754,0.00012241,0.00048059
DEL,repeats,2,4,0.00052709,2.29e-06,0.00331397,0.00101435,6.534e-05,0.00019189,0.00297737,0.00019517,0.00013651,0.00317865,0.00013241,0.00021087
DEL,repeats,2,5+,0,0,0,0.01782666,0.00036257,0,0.00075358,0,0.03552922,0.00172344,0.00492272,5.16e-05
DEL,repeats,3,0,1.24e-06,2.331e-05,1.094e-05,0.02429508,0.01224163,0.0009457,0.00108676,0.00160452,0.01075259,0.00483172,0.00065161,0.00104281
DEL,repeats,3,1,0.00317532,0.00274442,0.02200464,0.00169915,0.00060612,0.00453944,9.99e-06,0.00110621,0.00117908,0.09947593,0.00160821,0.0061055
DEL,repeats,3,2,0.00176966,0.00016797,0.00684255,9.605e-05,0.00046153,0.00038983,1.046e-05,0.00046098,0.0003013,0.0185766,0.00046493,0.00203751
DEL,repeats,3,3,0.00034352,0.00024344,0.00100943,0.00090476,0.00024228,1.94e-06,1.927e-05,3.09e-05,0.00012648,0.00441085,0.00018935,0.00046507
DEL,repeats,3,4,0,0,0,0.00724104,1.9e-07,0,0.00017953,0,0.00641902,0.00034044,0.00123522,1.656e-05
DEL,repeats,3,5+,0,2e-08,0,0.01169463,5.46e-06,7.06e-06,8.426e-05,0,0.00717154,8.813e-05,0.00124779,6.46e-06
DEL,repeats,4,0,1e-06,6.13e-06,5.5e-07,0.01482256,0.00777043,0.00156049,0.00042277,0.00123553,0.00676021,0.00842999,0.00012407,5.605e-05
DEL,repeats,4,1,0.00098571,0.00012697,0.00884448,0.00029996,0.00023253,0.00235059,6.038e-05,0.00169924,9.072e-05,0.06489523,0.00061473,0.00112347
DEL,repeats,4,2,0.0003826,0,0.0011201,2.656e-05,1.92e-06,0.00048093,1.12e-06,0.00023198,1.25e-06,0.01152535,5.045e-05,0.00056152
DEL,repeats,4,3,1.3e-07,0,2.08e-06,0.00581743,4.44e-06,0.00014152,4.99e-06,0,0.00189372,0.00383277,0.00015178,9.619e-05
DEL,repeats,4,4,0,0,0,0.00464002,0.00013474,1.88e-06,8.579e-05,0,0.00606737,0.00077985,0.00092439,3.78e-06
DEL,repeats,4,5+,0.00012438,2.7e-06,0.00084329,0.00303754,1.771e-05,0,0,1.44e-06,0.00081045,0.00016274,9.915e-05,1.411e-05
DEL,repeats,5+,0,1.2e-07,0,0,0.00281245,0.30392428,0.01269529,0.00244745,0.00023769,0.02156507,0.00246874,0.0003739,0.00164942
DEL,repeats,5+,1,0.00239634,2e-08,0.00650041,0.00016559,0,0.00774319,0,1.929e-05,0.00071297,0.00938091,0.0003772,0.0003733
DEL,repeats,5+,2,0.00027903,2.965e-05,0.00118179,0.00064654,0.00049412,0.0004854,2.28e-06,4.197e-05,8.069e-05,0.00297007,4.834e-05,0.00013462
DEL,repeats,5+,3,7.017e-05,8.42e-06,0.00048992,0.00031727,4.9e-06,9.981e-05,1.744e-05,3.88e-06,0.00013773,0.00141793,6.308e-05,0.00018505
DEL,repeats,5+,4,6.935e-05,1.088e-05,0.0001098,6.8e-05,7.367e-05,6.899e-05,3.402e-05,3.23e-06,0.00012069,5.3e-07,1.197e-05,4.11e-06
DEL,repeats,5+,5+,3.48e-06,8.62e-06,0.0001526,0.00102762,2.006e-05,2.948e-05,1.66e-06,6.395e-05,0.0003143,0.00040379,5.197e-05,9.521e-05
INS,repeats,2,0,0.0001346,0.00025175,0.00185941,0.00787219,0.00198687,0.00205455,0.00297533,0.00023998,0.01010605,7.051e-05,0.00084435,0.02592799
INS,repeats,2,1,0.00015195,2.3e-07,0.00018416,0.0292328,0.00176516,0,0.00303787,0.00132775,0.00863757,0.00018145,3.771e-05,7.595e-05
INS,repeats,2,2,0.00047874,2.38e-06,0.00515252,0.01119241,0.00021932,0.0005495,0.00119342,0.000211,0.00244914,0.00044235,0.00027322,0.00103702
INS,repeats,2,3,0.0002489,0.00044873,0.00137894,0.00169431,0.00010269,0.00049421,0.00136112,0.00026027,0.0005969,7.739e-05,0.00036351,0.00150205
INS,repeats,2,4,0.00122727,0.00201072,0.01078066,2.612e-05,0.00043264,3.553e-05,0.00012175,4.634e-05,0.00024248,0.00016992,0.00112586,0.00295684
INS,repeats,2,5+,0.0053096,0.01065402,0.08816981,0.00069703,0.00447994,0.00013851,0,6.251e-05,0.00282045,0.00190991,0.00684009,0.00238585
INS,repeats,3,0,3.344e-05,1.02e-06,0.00015958,0.00586003,0.00065631,0.0008848,0.00038212,1.489e-05,0.00153216,8.413e-05,0.0001879,0.0078135
INS,repeats,3,1,0.00079987,0.00012527,0.00346453,0.008249,0.00064282,8.023e-05,0.00010277,0.00077662,0.00555102,0.0003058,0.00038619,0.00308347
INS,repeats,3,2,0.00017235,2.6e-06,0.00075425,0.00162707,0.00011147,0.00081114,3.443e-05,7.273e-05,0.00078353,0.00091031,3.45e-05,0.0001066
INS,repeats,3,3,1.451e-05,0.00013753,0.00012676,2.01e-05,1.938e-05,0.00029591,2.88e-06,0,8.62e-06,8.8e-06,0.00015671,0.00060658
INS,repeats,3,4,7.664e-05,8.109e-05,0.00038585,3.497e-05,8.023e-05,0.0002102,2.908e-05,5.87e-06,7.7e-07,0.00015073,9.941e-05,0.00053047
INS,repeats,3,5+,0.00145431,0.00095593,0.00524316,1.633e-05,0.00020174,0,0,5.044e-05,0.00015452,6.213e-05,0.00050152,0.00239811
INS,repeats,4,0,3.23e-06,3e-08,6.03e-06,0.00354709,0.00060943,0.00149057,1.82e-06,8.678e-05,0.00176107,1.577e-05,0.00026502,0.0070625
INS,repeats,4,1,0.00078431,0.00042661,0.0054563,0.00506125,0.00103221,0.00039982,6.01e-06,0.00112425,0.00374442,0.00123967,0.00083516,0.00096085
INS,repeats,4,2,8.13e-06,4.926e-05,0.00010314,0.00067373,5.396e-05,0.00048265,1.466e-05,3.236e-05,0.00019545,0.00025192,5.934e-05,3.212e-05
INS,repeats,4,3,0.00013382,6.637e-05,0.00045735,1.377e-05,2.069e-05,0.00032814,5.673e-05,0.00013717,1.607e-05,6.339e-05,5.837e-05,0.00066228
INS,repeats,4,4,0.00010661,0.00013019,0.00182153,9.36e-06,0.00019407,6.465e-05,2.2e-07,3.936e-05,5.294e-05,0.00034668,0.00021054,0.00197457
INS,repeats,4,5+,0.0015174,0.00050694,0.00748107,0.00119074,0.00089475,0.00015842,1.095e-05,7.6e-06,0.00025507,0.00026975,0.00047026,0.00043583
INS,repeats,5+,0,0,4e-08,1e-08,0.00435362,4.71e-06,0.00852241,0.00030902,3.03e-06,0.00668833,1.211e-05,0.00103857,0.00404539
INS,repeats,5+,1,1.029e-05,0.00118015,0.00203468,0.00419859,0.01015893,0.00629464,0.00012069,0.00139363,0.01251911,0.0022896,0.00270359,0.03684467
INS,repeats,5+,2,5.7e-07,0.0001384,0.00057173,0.00045074,4.213e-05,0.00116194,6.031e-05,9.873e-05,7.697e-05,0.00015126,0.00085261,0.00094207
INS,repeats,5+,3,3.159e-05,0.00020036,0.00065611,0.0002898,4.795e-05,2.47e-06,2.071e-05,7.442e-05,3.865e-05,3.25e-06,7.869e-05,2.854e-05
INS,repeats,5+,4,1e-07,0.00021747,0.00032837,0.00024674,4.465e-05,8.06e-06,1.5e-06,8.69e-06,4.931e-05,6.502e-05,0.00015177,0.00045096
INS,repeats,5+,5+,2.558e-05,2.275e-05,0.00096994,0.00090921,0.00030733,4.488e-05,3.353e-05,6.145e-05,8.464e-05,0.00012776,0.00020533,0.000307
DEL,MH,2,1,5.33e-06,6.32e-06,3.946e-05,0.02830658,0.00010981,1.98e-06,0.00697253,0.00020246,0.01427868,0.20641055,9.021e-05,0.00139987
DEL,MH,3,1,0,7.18e-06,4.8e-07,0.01646268,0.0116256,0.00064166,0.0006776,0.00249653,0.00696589,0.00751546,0.00016052,0.00107047
DEL,MH,3,2,0.00163087,0.00052789,0.01093287,0.01000237,0.00267499,0.00424468,0.0001853,0.00040018,0.00228159,0.05749642,0.00151351,0.00384854
DEL,MH,4,1,8.719e-05,4.5e-07,0.00014255,0.01288088,0.0062334,0.00248801,1.818e-05,0.00214142,0.00358175,0.0114742,3.5e-06,6.483e-05
DEL,MH,4,2,0.00030923,8.8e-07,0.00113504,0.00850238,0.00023896,0.00884624,4.685e-05,0.00207624,0.00073799,0.03177968,9.372e-05,0.00107797
DEL,MH,4,3,0.00042562,1.77e-06,0.00149966,0.00201233,0.0001634,0.00502683,8.34e-06,0.00061931,0.00069511,0.0378742,0.00048564,0.00296728
DEL,MH,5+,1,0.0004164,0,5.99e-06,0.00064846,0.35806297,0.06385503,9.001e-05,3.573e-05,0.00353808,0,1e-08,0.00034719
DEL,MH,5+,2,1e-08,3e-08,5e-08,0.00030374,0.10105075,0.30796816,0.00182928,1.1e-07,0.00053937,9e-08,1.546e-05,0.00106981
DEL,MH,5+,3,1e-08,2e-08,0,0.00566521,0.02279538,0.23028052,0.0009336,8e-08,0.00117964,0.00010024,3.88e-06,0.0001412
DEL,MH,5+,4,0.0002904,0,0.00076129,0.00224646,0.00114851,0.12923019,0.00037186,4.56e-05,0,0.003066,2.978e-05,2.491e-05
DEL,MH,5+,5+,0.0011687,0.00013561,0.01021816,0.00177848,7.203e-05,0.10361144,0,1.204e-05,0.00324689,9.218e-05,0.00037239,0.00017254
