Down_samp_level,Approach,mean(PPV),mean(TPR),mean(aver_Sim_TP_only),mean(Composite),sd(Composite)
10k,mSigHdp,0.964,0.930,0.988,2.88,0.0248
10k,SigProfilerExtractor,0.943,0.722,0.974,2.64,0.0253
1k,mSigHdp,1.000,0.852,0.993,2.84,0.0570
1k,SigProfilerExtractor,0.942,0.713,0.972,2.63,0.0245
3k,mSigHdp,0.991,0.887,0.992,2.87,0.0362
3k,SigProfilerExtractor,0.942,0.713,0.973,2.63,0.0253
5k,mSigHdp,1.000,0.887,0.991,2.88,0.0378
5k,SigProfilerExtractor,0.943,0.722,0.973,2.64,0.0253
